Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
43,0,0.049706,0.011592,1.482740,2279.054443,-3076.645020,1015.647766,-0.032989,-0.136196,-1.659914,2439.841553,-966.502441,1020.280579
44,0,0.049389,0.022655,1.482888,2277.949707,-3078.050293,1015.314819,-0.039109,-0.135193,-1.658428,2439.920654,-965.413269,1020.393738
45,0,0.022839,0.015903,1.466219,2276.866943,-3080.252930,1015.793091,-0.036727,-0.135521,-1.658662,2440.025146,-964.463196,1020.611023
46,0,0.052247,0.010488,1.461251,2275.926025,-3082.092773,1015.151367,-0.036896,-0.135808,-1.658116,2440.247314,-963.316956,1020.706421
47,0,0.022801,0.013701,1.464994,2274.235352,-3083.259521,1015.176086,-0.028363,-0.136505,-1.660264,2440.296631,-962.149536,1020.521973
48,0,0.015268,0.018654,1.466366,2273.118652,-3084.575195,1015.044800,-0.036795,-0.136035,-1.659322,2440.492676,-961.065430,1020.618652
49,0,0.022738,0.012533,1.459328,2271.969482,-3086.475098,1014.911987,-0.039271,-0.136897,-1.658956,2440.755127,-960.050598,1020.918152
50,0,0.007471,0.014103,1.465644,2270.706055,-3087.718506,1014.739624,-0.040777,-0.136371,-1.658197,2440.945801,-958.927917,1020.979553
51,0,0.018575,0.016206,1.455096,2269.406006,-3089.435303,1014.419556,-0.038242,-0.136660,-1.658120,2441.208984,-957.826843,1021.269470
52,0,0.007170,0.018784,1.460805,2268.242920,-3090.483154,1014.266846,-0.033378,-0.135873,-1.658873,2441.427734,-956.668640,1021.335510
53,0,0.008941,0.022744,1.455105,2267.014404,-3092.169922,1013.920166,-0.037957,-0.134541,-1.658098,2441.687256,-955.620117,1021.608459
54,0,-0.000082,0.023518,1.456234,2265.742676,-3093.544922,1013.739319,-0.039455,-0.132696,-1.657910,2441.903809,-954.507507,1021.587585
55,0,-0.002258,0.021171,1.456038,2264.413086,-3094.933838,1013.586304,-0.037678,-0.132461,-1.658936,2442.168701,-953.479553,1021.682739
56,0,-0.003491,0.026997,1.452722,2263.196045,-3096.318359,1013.386353,-0.028612,-0.130200,-1.660618,2442.363525,-952.503601,1021.801819
57,0,-0.007978,0.027290,1.451073,2262.064209,-3097.681641,1013.269287,-0.028438,-0.126597,-1.660319,2442.640381,-951.670349,1022.016785
58,0,-0.009380,0.031287,1.450050,2260.609863,-3099.114746,1012.788757,-0.025568,-0.121748,-1.659649,2442.855713,-950.773926,1022.021790
59,0,-0.010808,0.035435,1.450429,2259.564209,-3100.314941,1012.490051,-0.023155,-0.117008,-1.659216,2443.146484,-949.921631,1021.993042
60,0,-0.013481,0.036939,1.449489,2258.456055,-3101.873535,1012.166138,-0.016414,-0.113832,-1.659537,2443.483643,-949.129944,1022.161865
61,0,-0.008286,0.036225,1.448541,2257.158936,-3103.305176,1011.951111,-0.006566,-0.111226,-1.660647,2443.818359,-948.289246,1022.244202
62,0,-0.008915,0.038032,1.450346,2255.550049,-3104.515625,1011.293274,-0.003619,-0.108686,-1.660759,2444.141846,-947.348267,1022.350647
63,0,-0.007322,0.040633,1.450274,2254.450684,-3105.791504,1011.062866,-0.008673,-0.107517,-1.659769,2444.484863,-946.381897,1022.503113
64,0,-0.006409,0.042604,1.448774,2253.171875,-3107.057861,1010.714172,-0.008776,-0.107650,-1.660700,2444.852539,-945.418396,1022.547974
65,0,-0.001160,0.045505,1.448024,2251.807861,-3108.475342,1010.231140,-0.004040,-0.108152,-1.662144,2445.093018,-944.340271,1022.544617
66,0,-0.003302,0.038051,1.449006,2250.184082,-3109.837402,1009.795654,-0.003532,-0.109661,-1.661125,2445.643066,-943.217285,1022.790894
67,0,-0.001845,0.042438,1.447455,2249.036133,-3110.987793,1009.549011,-0.009489,-0.109167,-1.659600,2445.859131,-942.298889,1023.257263
68,0,-0.003937,0.044447,1.445908,2247.926270,-3112.205566,1009.477478,-0.010128,-0.109572,-1.658834,2446.317627,-941.212219,1023.589233
69,0,-0.003848,0.041009,1.445272,2246.235596,-3113.271973,1008.973816,-0.007385,-0.110486,-1.659491,2446.711182,-940.217773,1023.801575
70,0,-0.006505,0.046748,1.446633,2245.031738,-3114.305664,1008.780334,-0.012851,-0.111335,-1.659007,2447.153076,-939.303650,1024.264038
71,0,-0.004892,0.043381,1.446252,2243.404297,-3115.477539,1008.416504,-0.015383,-0.111528,-1.658620,2447.510254,-938.284912,1024.642578
72,0,-0.010908,0.040220,1.443753,2242.296387,-3116.758789,1008.535767,-0.015347,-0.112461,-1.658159,2447.922852,-937.403564,1025.200928
73,0,-0.007079,0.043366,1.445588,2240.706787,-3117.638428,1008.051147,-0.008444,-0.113095,-1.658279,2448.372559,-936.608093,1025.767944
74,0,-0.005269,0.038449,1.446285,2239.014893,-3118.649170,1007.666931,-0.009126,-0.113223,-1.658059,2448.835449,-935.777771,1026.295044
75,0,-0.006581,0.038491,1.444918,2237.374023,-3119.928711,1007.391235,-0.011602,-0.112612,-1.657928,2449.219482,-934.939880,1026.696777
76,0,-0.002560,0.040677,1.439893,2236.157715,-3120.805176,1007.233398,-0.015709,-0.112722,-1.657877,2449.733398,-934.227173,1027.232910
