Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
1,0,,,,,,,0.013883,-0.131094,-1.651817,2377.029785,-1282.842285,1045.614624
2,0,,,,,,,0.013398,-0.129730,-1.651454,2376.201172,-1283.133789,1045.389282
3,0,,,,,,,0.016388,-0.127563,-1.651893,2375.153320,-1283.221313,1045.166626
4,0,0.038172,0.057867,1.578943,2251.396484,-3339.571045,1011.033386,0.009897,-0.124378,-1.649778,2374.289551,-1283.673584,1045.219727
5,0,0.042373,0.060751,1.579082,2252.454346,-3340.409180,1010.451538,0.010415,-0.121736,-1.651441,2373.534912,-1284.152710,1045.059814
6,0,0.036287,0.062196,1.580393,2253.605713,-3341.544189,1009.840515,0.002133,-0.117756,-1.651411,2372.673096,-1284.565430,1044.947021
7,0,0.034555,0.065006,1.581596,2254.706543,-3342.704346,1009.223938,-0.002156,-0.114157,-1.651377,2371.753174,-1284.885254,1044.758423
8,0,0.034194,0.060865,1.585721,2255.777100,-3343.837402,1008.852844,-0.002092,-0.112328,-1.651211,2370.720947,-1285.277100,1044.592896
9,0,0.065190,0.018248,1.619093,2254.054443,-3344.758301,1009.504822,-0.002589,-0.111456,-1.650664,2369.854004,-1285.783569,1044.531006
10,0,0.067736,0.017592,1.619270,2255.346191,-3346.072021,1009.067993,-0.002872,-0.110235,-1.650228,2368.946777,-1286.084351,1044.479736
11,0,0.066266,0.020195,1.620160,2256.552490,-3347.230225,1008.594421,-0.003474,-0.109039,-1.649897,2367.966064,-1286.606079,1044.419434
12,0,0.066557,0.018200,1.624473,2257.703857,-3348.243652,1008.073792,-0.009044,-0.108527,-1.647940,2366.920898,-1287.091309,1044.335693
13,0,0.066343,0.011563,1.626956,2258.867188,-3349.396240,1007.487915,-0.004389,-0.108905,-1.649449,2365.898438,-1287.624878,1044.250854
14,0,0.065877,0.012553,1.625121,2260.254883,-3350.711670,1006.946472,-0.006929,-0.108489,-1.649987,2364.865479,-1288.358276,1044.234985
15,0,0.061936,0.018793,1.624602,2261.384521,-3351.878174,1006.564636,-0.005636,-0.108726,-1.650909,2364.010010,-1288.865234,1044.182617
16,0,0.062453,-0.001655,1.617453,2262.814209,-3354.463379,1006.044739,-0.008527,-0.108094,-1.648581,2362.875488,-1289.300903,1044.135986
17,0,0.058491,0.009862,1.617206,2264.333252,-3355.467529,1005.719299,-0.005121,-0.108807,-1.649183,2361.799316,-1290.078247,1044.176758
18,0,0.069675,0.006050,1.615071,2265.703857,-3356.963623,1004.994507,-0.003801,-0.107902,-1.649858,2360.997559,-1290.667114,1044.181152
19,0,0.068560,0.004176,1.615213,2267.073975,-3358.332275,1004.498596,-0.008232,-0.106695,-1.650103,2360.208984,-1291.420044,1044.272217
