Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
1,0,0.026946,0.005356,1.607672,2363.270264,-3328.840576,1086.089844,0.009440,-0.128865,-1.559990,2390.649170,-1632.085938,1060.691895
2,0,0.023513,0.008300,1.607696,2364.096436,-3329.176514,1085.805542,0.008796,-0.127990,-1.560104,2389.825928,-1631.665527,1060.929443
3,0,0.026242,-0.000541,1.604657,2364.939941,-3329.673584,1085.765747,0.008929,-0.126595,-1.560221,2388.980713,-1631.230469,1061.055664
4,0,0.016491,0.017251,1.607746,2365.806152,-3329.770996,1085.113159,0.008509,-0.126843,-1.560030,2388.162354,-1630.805176,1061.037964
5,0,0.016605,0.014130,1.607122,2366.671875,-3330.099365,1084.553345,0.008536,-0.126223,-1.560082,2387.302490,-1630.417358,1060.946655
6,0,0.012938,0.018022,1.606991,2367.598389,-3330.464355,1084.160767,0.007331,-0.127715,-1.559753,2386.397949,-1630.104614,1060.824585
7,0,0.014097,0.012463,1.605400,2368.513428,-3330.996826,1083.820190,0.008205,-0.126917,-1.559893,2385.574707,-1629.789307,1060.713257
8,0,0.006929,0.029573,1.607774,2369.364258,-3331.229004,1083.418335,0.008742,-0.126729,-1.559952,2384.754639,-1629.500244,1060.628174
9,0,0.004454,0.029520,1.606125,2370.104980,-3331.585449,1083.107788,0.009037,-0.126335,-1.560135,2383.943848,-1629.220337,1060.525879
10,0,-0.002292,0.029159,1.605482,2371.190674,-3332.041016,1082.697754,0.009091,-0.125676,-1.560098,2383.099121,-1628.914673,1060.325928
11,0,-0.010922,0.041214,1.606023,2371.983643,-3332.191162,1082.199829,0.009069,-0.125274,-1.559880,2382.257812,-1628.660767,1060.036377
12,0,-0.015495,0.044775,1.606157,2372.782227,-3332.516357,1081.677734,0.008211,-0.128683,-1.560552,2381.418945,-1628.386475,1059.590332
13,0,-0.019625,0.046712,1.604960,2373.434326,-3332.718506,1081.193115,0.006972,-0.129045,-1.560482,2380.666748,-1628.211670,1059.295654
14,0,-0.029492,0.048873,1.604094,2374.514648,-3333.154297,1080.661377,0.006765,-0.128670,-1.560451,2379.994385,-1628.054810,1059.063354
15,0,-0.033628,0.050071,1.603245,2375.411133,-3333.348389,1080.232788,0.006346,-0.128171,-1.561086,2379.318848,-1627.885986,1058.817261
16,0,-0.035445,0.045764,1.602410,2376.278809,-3333.569092,1079.709839,0.006923,-0.127892,-1.562076,2378.640381,-1627.653320,1058.531128
17,0,-0.037545,0.047104,1.601776,2377.107666,-3333.844482,1079.332031,0.006991,-0.123337,-1.561486,2377.926514,-1627.634766,1058.387695
18,0,-0.039333,0.044403,1.600634,2377.878662,-3334.179932,1078.834473,0.006074,-0.123443,-1.560955,2377.183105,-1627.561035,1058.162598
19,0,-0.045476,0.049513,1.599519,2378.789795,-3334.330811,1078.259766,0.005666,-0.123023,-1.560869,2376.459229,-1627.550781,1058.058594
20,0,-0.048953,0.045010,1.595525,2379.869629,-3334.604492,1078.104980,0.005796,-0.122674,-1.560499,2375.759766,-1627.537598,1058.045044
21,0,-0.051574,0.047236,1.596606,2380.567383,-3334.594727,1077.608521,0.004257,-0.121787,-1.559867,2375.107910,-1627.610474,1058.085815
22,0,-0.053232,0.048760,1.594783,2381.456543,-3334.782959,1077.158569,0.003311,-0.121320,-1.559915,2374.439941,-1627.611572,1057.994385
23,0,-0.055666,0.052819,1.594381,2382.297363,-3334.910400,1076.799683,0.001956,-0.120044,-1.559771,2373.790771,-1627.687744,1057.925781
24,0,-0.055350,0.050984,1.590187,2383.395264,-3335.265137,1076.380005,0.000641,-0.122975,-1.560368,2373.184082,-1627.721802,1057.793701
25,0,-0.051485,0.043097,1.589646,2384.250000,-3335.404785,1075.852173,-0.000131,-0.121524,-1.560235,2372.649414,-1627.906738,1057.813599
26,0,-0.054125,0.048408,1.589512,2385.118408,-3335.141357,1075.239136,-0.000409,-0.121023,-1.559720,2372.134766,-1628.027100,1057.863281
27,0,-0.055768,0.048072,1.588155,2385.901123,-3335.121094,1074.724487,-0.001081,-0.120892,-1.559580,2371.563721,-1628.135864,1057.958984
28,0,-0.050299,0.040192,1.586651,2386.916992,-3335.281250,1074.618042,-0.001148,-0.120482,-1.559820,2370.940430,-1628.254883,1058.003662
29,0,-0.051423,0.046821,1.586426,2387.590576,-3335.250732,1074.243042,-0.000702,-0.117948,-1.559473,2370.357666,-1628.539062,1058.123535
30,0,-0.051680,0.050006,1.587728,2388.559326,-3335.238770,1073.638550,0.000916,-0.118523,-1.560680,2369.830811,-1628.717896,1058.057007
31,0,-0.051527,0.051617,1.586724,2389.438477,-3335.240723,1073.173706,-0.000997,-0.118130,-1.560010,2369.285889,-1629.084229,1058.179199
32,0,-0.048456,0.050555,1.585539,2390.435303,-3335.032227,1072.799438,-0.000645,-0.118454,-1.560016,2368.727539,-1629.341553,1058.249390
33,0,-0.047018,0.050620,1.582504,2391.466064,-3334.962158,1072.523315,-0.000058,-0.118603,-1.559715,2368.184326,-1629.626831,1058.308105
34,0,-0.043162,0.043569,1.580600,2392.453369,-3334.752930,1072.177979,-0.000068,-0.122437,-1.560525,2367.705322,-1629.868286,1058.295898
35,0,-0.040136,0.056069,1.584145,2393.414551,-3334.317627,1071.562622,-0.000039,-0.122791,-1.560367,2367.298096,-1630.269165,1058.419800
36,0,-0.036690,0.055581,1.582675,2394.549561,-3334.294434,1071.358521,-0.000141,-0.122507,-1.560623,2366.879150,-1630.693604,1058.498901
37,0,-0.045589,0.096142,1.595349,2395.713867,-3334.517822,1071.627319,0.000058,-0.119117,-1.560253,2366.449951,-1631.164673,1058.672363
38,0,-0.046202,0.115416,1.582794,2396.429688,-3334.075684,1071.619995,-0.000211,-0.118267,-1.560548,2366.034424,-1631.569946,1058.764038
39,0,-0.041562,0.119059,1.584196,2397.441650,-3333.395752,1071.033813,-0.000439,-0.118221,-1.560357,2365.608398,-1631.950439,1058.824219
40,0,-0.037312,0.120159,1.581726,2398.602783,-3332.784424,1070.669434,-0.000361,-0.117991,-1.560190,2365.227539,-1632.391479,1058.894653
41,0,-0.036444,0.123555,1.585975,2399.453613,-3333.012939,1070.246704,-0.000606,-0.118276,-1.560359,2364.872559,-1632.875488,1058.994629
42,0,-0.034181,0.129461,1.588806,2400.507324,-3332.478516,1069.654297,-0.001193,-0.122648,-1.560821,2364.547363,-1633.359619,1058.999023
43,0,-0.032276,0.126811,1.579126,2402.204590,-3331.832031,1069.546265,-0.004133,-0.124194,-1.559491,2364.216797,-1633.868042,1059.019409
44,0,-0.026033,0.126702,1.580022,2403.291016,-3331.156006,1069.063721,-0.000440,-0.122788,-1.560928,2363.879883,-1634.484741,1059.208862
45,0,-0.027406,0.126884,1.585119,2403.896484,-3331.128906,1068.516968,0.000930,-0.120499,-1.561045,2363.573975,-1634.990112,1059.299805
46,0,-0.026973,0.126211,1.583406,2405.132080,-3330.131348,1067.954346,-0.000015,-0.120387,-1.561043,2363.287598,-1635.628418,1059.414307
47,0,-0.025325,0.121084,1.583983,2406.348389,-3329.656006,1067.475098,0.000504,-0.120913,-1.560976,2363.060303,-1636.303345,1059.465332
48,0,-0.026983,0.117655,1.578417,2407.660400,-3329.205322,1067.150513,0.001136,-0.121029,-1.561040,2362.875488,-1637.029297,1059.567139
49,0,-0.024786,0.112362,1.581511,2408.402344,-3328.729248,1066.671021,0.000067,-0.124621,-1.561454,2362.586670,-1637.662231,1059.581055
50,0,-0.029345,0.110949,1.580159,2409.468506,-3328.217529,1066.165283,0.001812,-0.123748,-1.562562,2362.337158,-1638.210571,1059.604248
51,0,-0.034094,0.110145,1.581115,2410.223633,-3327.330322,1065.473389,0.002066,-0.120651,-1.561690,2362.179443,-1638.934204,1059.793091
