layout,data,timestamp
"dim: []
data_offset: 0","(0.0, 1.0, 1.394462344094062, -0.1500836653241804, 1.4630501412824395, 1.3733593178030064, -0.20318612611701578, 1.5382944417711129, 2.0226553955078126, 0.465823486328125, 1.5217027587890626, 1722527816.386007)",1722527816.4531999
"dim: []
data_offset: 0","(0.0, 1.0, 1.3917551314063088, -0.1544530275224737, 1.4655180025305259, 1.3714491340678026, -0.2062261624945723, 1.5404277680664347, 2.0226553955078126, 0.465823486328125, 1.5217027587890626, 1722527816.405259)",1722527816.4532392
"dim: []
data_offset: 0","(0.0, 1.0, 1.3897198710594918, -0.15740671939904657, 1.467659679809283, 1.4338735056891108, -0.2114222537421499, 1.5506652392699376, 2.0226553955078126, 0.465823486328125, 1.5217027587890626, 1722527816.4155617)",1722527816.45327
"dim: []
data_offset: 0","(0.0, 1.0, 1.3868348864849345, -0.16173737894918513, 1.469704258840703, 1.4338735056891108, -0.2114222537421499, 1.5506652392699376, 2.0157099609375, 0.45655673217773435, 1.524625, 1722527816.4397106)",1722527816.455788
"dim: []
data_offset: 0","(0.0, 1.0, 1.3827754015190912, -0.16985052209612542, 1.469212083172492, 1.3566598935947969, -0.2082520009525511, 1.54310744830825, 2.0157099609375, 0.45655673217773435, 1.524625, 1722527816.4677696)",1722527816.4725864
"dim: []
data_offset: 0","(0.0, 1.0, 1.3789223685654577, -0.1791223181123183, 1.4698930382761284, 1.419705311141715, -0.20676722930026042, 1.5413132557430935, 2.010214111328125, 0.44739947509765626, 1.5272005615234374, 1722527816.502666)",1722527816.5030742
"dim: []
data_offset: 0","(0.0, 1.0, 1.3783211587368385, -0.18127353192294393, 1.4695434673691568, 1.4142383992915346, -0.20434369638183988, 1.5535252886674513, 2.010214111328125, 0.44739947509765626, 1.5272005615234374, 1722527816.514726)",1722527816.5151494
"dim: []
data_offset: 0","(0.0, 1.0, 1.3759724305908385, -0.18816979851058863, 1.470065623132847, 1.412332113558933, -0.20473216804011427, 1.5596627654436404, 2.0067620849609376, 0.44077337646484377, 1.528491943359375, 1722527816.5466156)",1722527816.5472794
"dim: []
data_offset: 0","(0.0, 1.0, 1.3737551125481837, -0.19443533648246397, 1.47263642025849, 1.4122544159613057, -0.20392952068201625, 1.5704438234347162, 2.0033951416015623, 0.43291558837890626, 1.5305963134765626, 1722527816.5757887)",1722527816.5766623
"dim: []
data_offset: 0","(0.0, 1.0, 1.373794037763874, -0.19995145290540636, 1.4778365637725286, 1.4087567229627984, -0.19771526126903674, 1.5796819485923685, 2.0033951416015623, 0.43291558837890626, 1.5305963134765626, 1722527816.6056266)",1722527816.6062691
"dim: []
data_offset: 0","(0.0, 1.0, 1.372892114958308, -0.20355563174088928, 1.480671156670788, 1.3914312757860763, -0.19617893731800118, 1.580451188051657, 2.0009486083984376, 0.424852294921875, 1.5338935546875, 1722527816.6353838)",1722527816.6357155
"dim: []
data_offset: 0","(0.0, 1.0, 1.373063615649772, -0.20857072014244038, 1.4828681623418705, 1.3909629248061368, -0.1917965320861139, 1.5777730725127888, 2.0000635986328126, 0.41909552001953126, 1.537177734375, 1722527816.6653686)",1722527816.67271
"dim: []
data_offset: 0","(0.0, 1.0, 1.3737467188788268, -0.21420130681460134, 1.48533071164975, 1.3913045409683233, -0.18921869445499118, 1.57496159335938, 2.0000635986328126, 0.41909552001953126, 1.537177734375, 1722527816.6956303)",1722527816.6974792
"dim: []
data_offset: 0","(0.0, 1.0, 1.3739668437164703, -0.21721402017567346, 1.4867800719947855, 1.3958051220530372, -0.18485915208724613, 1.5740308458366419, 2.0004061279296876, 0.41269287109375, 1.5416343994140624, 1722527816.7272947)",1722527816.7284012
"dim: []
data_offset: 0","(0.0, 1.0, 1.3745531766988657, -0.21930203041934893, 1.4881030458606503, 1.376542021367327, -0.18363290495663062, 1.5763120072216656, 2.0004061279296876, 0.41269287109375, 1.5416343994140624, 1722527816.7466888)",1722527816.7471375
"dim: []
data_offset: 0","(0.0, 1.0, 1.3762412812241775, -0.22035772765026007, 1.4898195217876093, 1.3761722898180073, -0.1824780518519122, 1.5754857914266416, 2.001963134765625, 0.4073221740722656, 1.5463367919921875, 1722527816.7657847)",1722527816.7694514
"dim: []
data_offset: 0","(0.0, 1.0, 1.3800527118915624, -0.22252251202029405, 1.4952369188476347, 1.374850962427157, -0.1806944773337389, 1.5843756248987901, 2.001963134765625, 0.4073221740722656, 1.5463367919921875, 1722527816.7954302)",1722527816.7960155
"dim: []
data_offset: 0","(0.0, 1.0, 1.3821312133830332, -0.22402409197723328, 1.497380030503082, 1.3761930849790238, -0.1816263503506161, 1.5852466517342858, 2.0042218017578124, 0.40442001342773437, 1.54977099609375, 1722527816.8156443)",1722527816.8187547
"dim: []
data_offset: 0","(0.0, 1.0, 1.3847282164994659, -0.22574020644122403, 1.4993509321362628, 1.3859112462208838, -0.17835039071182235, 1.5864304427374032, 2.0042218017578124, 0.40442001342773437, 1.54977099609375, 1722527816.8360763)",1722527816.8414702
"dim: []
data_offset: 0","(0.0, 1.0, 1.3894835502246428, -0.22720374398084914, 1.505530568183821, 1.3859112462208838, -0.17835039071182235, 1.5864304427374032, 2.0081739501953124, 0.40168234252929685, 1.55457275390625, 1722527816.8751516)",1722527816.877749
"dim: []
data_offset: 0","(0.0, 1.0, 1.3894835502246428, -0.22720374398084914, 1.505530568183821, 1.377736667021749, -0.1750720206156421, 1.5865274359510526, 2.0081739501953124, 0.40168234252929685, 1.55457275390625, 1722527816.8781965)",1722527816.8786485
"dim: []
data_offset: 0","(0.0, 1.0, 1.394977214486411, -0.2256113601368451, 1.5121208186153576, 1.3794590544753171, -0.1750220898732943, 1.5886716134319674, 2.0125303955078127, 0.39964004516601564, 1.5604820556640624, 1722527816.9054513)",1722527816.9060133
