layout,data,timestamp
"dim: []
data_offset: 0","(1.7166653271435899, -0.04156189105918712, 0.9751130336641964, 0.0237589483338336, 0.016289447863107126, 0.011559579374258897, 1.0, 0.0, -2.191098786858794, 0.028039991855621338, 0.8050297498703003, 0.10122370719909668, 1724803817.667833, -0.006275131367146969, 0.004633257165551186, 1.075221300125122, -0.01165737397968769)",1724803817.6687906
"dim: []
data_offset: 0","(1.7239828163565487, -0.03946502924411422, 0.9661629540167684, 0.03037372066274693, -0.016194281514318957, -0.014393916167385577, 1.0, 0.0, -2.2095344304312134, 0.01710832118988037, 1.1074206829071045, 0.034174442291259766, 1724803817.703775, -0.013139786198735237, 0.006200028583407402, 1.0643866062164307, -0.02196631394326687)",1724803817.7047472
"dim: []
data_offset: 0","(1.7384836006072817, -0.036343237411113546, 0.959161836616064, 0.03800018200621248, -0.009415363377572879, -0.018089410030416544, 1.0, 0.0, -2.218513563807445, 0.08326071500778198, 0.8403790593147278, 0.03473186492919922, 1724803817.7390757, -0.023842813447117805, -0.010036353953182697, 1.0658466815948486, -0.03211556375026703)",1724803817.740235
"dim: []
data_offset: 0","(1.7489325222297618, -0.03500646071008076, 0.9562795045520176, 0.05811908192196455, -0.003295120413601541, -0.020449344064453475, 1.0, 0.0, -2.692097927972119, 0.27241605520248413, 0.6301935911178589, 0.043900489807128906, 1724803817.7837613, -0.03692027926445007, -0.011221463792026043, 1.0571552515029907, -0.03136667236685753)",1724803817.7842517
"dim: []
data_offset: 0","(1.776528521506355, -0.031248050276457315, 0.956010299183843, 0.07802166758978009, 0.002198851519197086, -0.02099198152659702, 1.0, 0.0, -2.1106949558969164, -0.05395716428756714, 0.9467994570732117, 0.03891468048095703, 1724803817.8236818, -0.04357302188873291, -0.01272893138229847, 1.039027214050293, -0.040186572819948196)",1724803817.8245225
"dim: []
data_offset: 0","(1.7928471266879265, -0.025604555266242224, 0.9701399325664625, 0.11507497769753659, 0.012686435612991551, -0.016572897505248218, 1.0, 0.0, -2.3587011802860056, 0.06350243091583252, 0.8996810913085938, 0.030280590057373047, 1724803817.8544226, -0.027421051636338234, 0.00789372157305479, 1.0317965745925903, -0.019472457468509674)",1724803817.8557413
"dim: []
data_offset: 0","(1.7961066934650658, -0.020423652424186093, 1.0750337560125893, 0.11575119818606594, 0.02478096050976653, 0.021197935124655468, 1.0, 0.0, -2.7362163536590143, -0.2038060426712036, 0.9880067110061646, 0.04286527633666992, 1724803817.8978987, -0.02000235952436924, 0.013249358162283897, 1.0293018817901611, 0.0009733291226439178)",1724803817.8994024
"dim: []
data_offset: 0","(1.7650806130399759, -0.018206466763439372, 1.1179248336937198, 0.1097306618105786, 0.03243421282676008, 0.0650331945742739, 1.0, 0.0, -2.3004612082512654, 0.012235581874847412, 0.7595428824424744, 0.038175106048583984, 1724803817.9371467, -0.018587283790111542, 0.02621166594326496, 1.0533580780029297, 0.05195605382323265)",1724803817.9376767
"dim: []
data_offset: 0","(1.7842316091763242, -0.01721605329559526, 1.2031658522587583, 0.14140320398346515, 0.03413799955161106, 0.10734597346884557, 1.0, 0.0, -2.2152883760480786, -0.13232320547103882, 0.9374392032623291, 0.04224824905395508, 1724803817.9801, 0.006776542402803898, 0.029604468494653702, 1.075653076171875, 0.07511758804321289)",1724803817.9807518
"dim: []
data_offset: 0","(1.8090611423053624, -0.018888670757453502, 1.230398163154026, 0.1830380293674683, 0.031138643183530882, 0.13981030743485443, 1.0, 0.0, -2.1521920085372765, -0.12092363834381104, 0.8807108998298645, 0.048610687255859375, 1724803818.0304697, 0.013592447154223919, 0.05359938368201256, 1.119834065437317, 0.11923796683549881)",1724803818.0339053
"dim: []
data_offset: 0","(1.797520183977099, -0.02054741630377958, 1.2591057445424743, 0.2522653569134421, 0.024618947785626528, 0.1564890635318287, 1.0, 0.0, -2.8363503978577023, 0.07814216613769531, 1.0534474849700928, 0.05668997764587402, 1724803818.0938783, 0.014204164035618305, 0.056089453399181366, 1.1727758646011353, 0.16516990959644318)",1724803818.0946503
"dim: []
data_offset: 0","(1.8008853217722016, -0.022451949273162776, 1.265253400765025, 0.2973822667278066, 0.018311453622116707, 0.1638504045734157, 1.0, 0.0, -2.7307009829531217, 0.2619134783744812, 0.9967958331108093, 0.054421424865722656, 1724803818.1498353, -0.002604421693831682, 0.05205937847495079, 1.2202279567718506, 0.18166472017765045)",1724803818.1506119
"dim: []
data_offset: 0","(1.8171124772620901, -0.021466968128760526, 1.262862705726794, 0.36312810861026973, 0.015419571401233642, 0.16080592294739637, 1.0, 0.0, -2.244145725365168, 0.15813738107681274, 1.1793646812438965, 0.04773211479187012, 1724803818.1992347, -0.014872587285935879, 0.031838346272706985, 1.2213125228881836, 0.1820705682039261)",1724803818.1999974
"dim: []
data_offset: 0","(1.831754999253621, -0.017512562377663094, 1.2605526229024109, 0.40845862982591263, 0.020248419023062354, 0.15533621981291001, 1.0, 0.0, -2.0177093061049147, -0.057372331619262695, 1.0316452980041504, 0.04748964309692383, 1724803818.2479389, -0.022881293669342995, 0.031738728284835815, 1.2159678936004639, 0.17866449058055878)",1724803818.249473
"dim: []
data_offset: 0","(1.8373857984225592, -0.014372732680122959, 1.2465487265821373, 0.4450437597654578, 0.0278944718052754, 0.14399764890529765, 1.0, 0.0, -2.398974259643814, -0.06443625688552856, 1.238431692123413, 0.05679726600646973, 1724803818.3069563, -0.029061071574687958, -0.000152346576214768, 1.2246912717819214, 0.14559608697891235)",1724803818.3123987
"dim: []
data_offset: 0","(1.8468907406718267, -0.00886972181892528, 1.2093597698052356, 0.48061479985225647, 0.03662593580783362, 0.11719871694109493, 1.0, 0.0, -2.02366482595674, 0.3016703724861145, 1.327524185180664, 0.06028032302856445, 1724803818.3730855, -0.03361683711409569, -0.011419087648391724, 1.2150176763534546, 0.11411687731742859)",1724803818.373996
"dim: []
data_offset: 0","(1.8693080674860674, -0.00195448289883815, 1.1601602769472972, 0.49081542815217477, 0.04972727633914719, 0.07732985602720605, 1.0, 0.0, -2.7089983839870646, 0.30941861867904663, 1.097392201423645, 0.06289196014404297, 1724803818.4365015, -0.014169439673423767, -0.009407241828739643, 1.1934443712234497, 0.06705092638731003)",1724803818.4373643
"dim: []
data_offset: 0","(1.895155865392531, 0.0026397210602050704, 1.1155434029793527, 0.5072831226643382, 0.06098964895536483, 0.03675200294168218, 1.0, 0.0, -1.5864671081805533, 0.0534740686416626, 1.0021083354949951, 0.0417635440826416, 1724803818.479472, -0.017059534788131714, -0.020432977005839348, 1.169288992881775, 0.006021276116371155)",1724803818.4805012
"dim: []
data_offset: 0","(1.9213633645277302, 0.004449846335138949, 1.0570607499631102, 0.5349712568498024, 0.06475568694909298, -0.010229448258494998, 1.0, 0.0, -2.618127674676061, 0.09890550374984741, 1.1119539737701416, 0.045699119567871094, 1724803818.526694, -0.032057762145996094, -0.023093178868293762, 1.1368402242660522, -0.07398951798677444)",1724803818.5276592
"dim: []
data_offset: 0","(1.9211381824988796, 0.005894394595824586, 1.0231490521448086, 0.544989791029559, 0.06392963499585128, -0.04631727511912788, 1.0, 0.0, -2.8135929391282883, 0.06349945068359375, 0.8380988836288452, 0.0363314151763916, 1724803818.5642273, -0.01951470971107483, -0.04925559461116791, 1.0892062187194824, -0.18732239305973053)",1724803818.5647395
"dim: []
data_offset: 0","(1.9201685325247395, 0.00509018656163324, 1.00830698856303, 0.5693083255744935, 0.059921046378489294, -0.06353224903471599, 1.0, 0.0, -2.0350378803711386, -0.05246812105178833, 0.8429432511329651, 0.041866302490234375, 1724803818.6074266, -0.022854257375001907, -0.0715809166431427, 1.0394699573516846, -0.3413286507129669)",1724803818.6108994
"dim: []
data_offset: 0","(1.9475659806192134, 0.0027570684603436197, 0.9960802059404241, 0.6082542371305241, 0.05119613796213105, -0.07352707794168797, 1.0, 0.0, -2.47650316077937, 0.11065930128097534, 0.9989504218101501, 0.040787696838378906, 1724803818.649554, -0.016482314094901085, -0.0918474867939949, 1.0040110349655151, -0.434295117855072)",1724803818.6500492
