timestamp,data
1724803817.6449478,"[0.3683261963746467, -0.012951109265207294, 0.03099339975802673, 0.0, 0.0, 0.0]"
1724803817.646683,"[0.3709079220501699, -0.013041888068468092, 0.03121064321427458, 0.0, 0.0, 0.0]"
1724803817.655223,"[0.37420090177594967, -0.01317339455264748, 0.031468177247482375, 0.0, 0.0, 0.0]"
1724803817.6649537,"[0.3792359522917478, -0.013168509121636847, 0.03262833227802707, 0.0, 0.0, 0.0]"
1724803817.6750638,"[0.383315407979076, -0.01315387500247006, 0.03353527848792594, 0.0, 0.0, 0.0]"
1724803817.6857567,"[0.38689827586696945, -0.013243879505076444, 0.03426397084535477, 0.0, 0.0, 0.0]"
1724803817.6885786,"[0.36254161377271044, -0.007490312561118157, 0.04028406928469562, 0.0, 0.0, 0.0]"
1724803817.695018,"[0.36508279330850046, -0.007542814751967115, 0.04056643425631731, 0.0, 0.0, 0.0]"
1724803817.705087,"[0.36953939722595214, -0.006918084571023467, 0.04285442650309337, 0.0, 0.0, 0.0]"
1724803817.7151194,"[0.3742358965801995, -0.006957001206165274, 0.04548537271226472, 0.0, 0.0, 0.0]"
1724803817.726881,"[0.3613449598760899, 0.002303745628582597, 0.036184755133980805, 0.0, 0.0, 0.0]"
1724803817.73485,"[0.36606726660447164, 0.0023302495895132598, 0.03949144063847059, 0.0, 0.0, 0.0]"
1724803817.7450893,"[0.3704828579018749, 0.0021739628289674747, 0.04268836268368224, 0.0, 0.0, 0.0]"
1724803817.7551658,"[0.37375664162890854, 0.002087994456551656, 0.04420208248841626, 0.0, 0.0, 0.0]"
1724803817.7674131,"[0.3661144825495358, 0.018232312309407892, 0.039779532524094156, 0.0, 0.0, 0.0]"
1724803817.7749083,"[0.37069411960214743, 0.01751526290028256, 0.04397921912459417, 0.0, 0.0, 0.0]"
1724803817.7847831,"[0.3739506325586765, 0.017303111889811457, 0.04575084004953223, 0.0, 0.0, 0.0]"
1724803817.7956953,"[0.3765357078425062, 0.01742264535157048, 0.04606742206169079, 0.0, 0.0, 0.0]"
1724803817.8096037,"[0.38103457167726756, 0.017047940105648526, 0.04939995568817318, 0.0, 0.0, 0.0]"
1724803817.8100436,"[0.3741525977456832, -0.008071468218269482, 0.0584314416024516, 0.0, 0.0, 0.0]"
1724803817.8148072,"[0.3767751626831529, -0.008128043930079784, 0.05884100778190804, 0.0, 0.0, 0.0]"
1724803817.8248885,"[0.3794033481950686, -0.00870188538975378, 0.06071295433302776, 0.0, 0.0, 0.0]"
1724803817.8356836,"[0.3820259525290882, -0.008762086796058452, 0.06113277084219211, 0.0, 0.0, 0.0]"
1724803817.8468177,"[0.35995930934087295, 0.006594644033483594, 0.075911837432261, 0.0, 0.0, 0.0]"
1724803817.855761,"[0.36175512005476573, 0.0064036980033911, 0.07501012944683863, 0.0, 0.0, 0.0]"
1724803817.865301,"[0.3645111420975219, 0.006406367198522912, 0.06965711457494538, 0.0, 0.0, 0.0]"
1724803817.875617,"[0.36620668805060846, 0.005991657995110725, 0.06558206513739913, 0.0, 0.0, 0.0]"
1724803817.8793683,"[0.3369812912936658, -0.013595870513207268, 0.20522148574747714, 0.0, 0.0, 0.0]"
1724803817.8851476,"[0.3386983942006257, -0.013964917705271083, 0.20601169849955714, 0.0, 0.0, 0.0]"
1724803817.8950796,"[0.34208971328156973, -0.01360039757370238, 0.2046252432744089, 0.0, 0.0, 0.0]"
1724803817.905987,"[0.3442691228738151, -0.013763406515026846, 0.2047924757759267, 0.0, 0.0, 0.0]"
1724803817.9155934,"[0.34571935065033627, -0.014209901147497003, 0.20642842142239018, 0.0, 0.0, 0.0]"
1724803817.921378,"[0.33627164462581166, 0.004664221844231893, 0.1968251569364285, 0.0, 0.0, 0.0]"
1724803817.9264593,"[0.3378511970240394, 0.004103250907895385, 0.19911393006091865, 0.0, 0.0, 0.0]"
1724803817.9352705,"[0.33938281306234036, 0.003513696364414464, 0.2016911213739113, 0.0, 0.0, 0.0]"
1724803817.945343,"[0.3403685517538761, 0.0029464094402408326, 0.20398336170752035, 0.0, 0.0, 0.0]"
1724803817.9555204,"[0.3416516732906284, 0.002439268529139826, 0.2071552612001618, 0.0, 0.0, 0.0]"
1724803817.9652944,"[0.342929404413658, 0.0019446019551951623, 0.21052206539011206, 0.0, 0.0, 0.0]"
1724803817.968958,"[0.352751547052688, -0.010534490092385893, 0.30138726209756794, 0.0, 0.0, 0.0]"
1724803817.9755924,"[0.3536149237303459, -0.010982975409884016, 0.3042977388040984, 0.0, 0.0, 0.0]"
1724803817.9857485,"[0.35421355028537027, -0.011453830943297848, 0.306905574859182, 0.0, 0.0, 0.0]"
1724803817.9960802,"[0.3556756205607601, -0.012151815229384954, 0.30912185978793144, 0.0, 0.0, 0.0]"
1724803818.0069213,"[0.35639222416256733, -0.012829417053464343, 0.31123630079589654, 0.0, 0.0, 0.0]"
1724803818.0103362,"[0.3593158824923144, -0.014215611186739814, 0.29094243061888053, 0.0, 0.0, 0.0]"
1724803818.0151844,"[0.3596041183994175, -0.014931079915740577, 0.2929502461050887, 0.0, 0.0, 0.0]"
1724803818.0337427,"[0.36114475596769163, -0.015256016322006656, 0.2949506786104178, 0.0, 0.0, 0.0]"
