layout,data,timestamp
"dim: []
data_offset: 0","(0.0, 1.0, 0.014173850990501249, -0.049297144752094034, 1.2579033787640308, 0.03469054530488033, -0.1681921052399334, 1.2746327227580851, 1.7009462890625, 0.6448759155273438, 1.3331708984375, 1722375363.5902915)",1722375363.5906537
"dim: []
data_offset: 0","(0.0, 1.0, 0.012998153127215395, -0.054387947973680593, 1.256441456404261, 0.03469054530488027, -0.1681921052399334, 1.2746327227580851, 1.7009462890625, 0.6448759155273438, 1.3331708984375, 1722375363.6029048)",1722375363.603413
"dim: []
data_offset: 0","(0.0, 1.0, 0.01301042502010437, -0.05956604826841152, 1.255455935556062, 0.03671283650706321, -0.1741979943931952, 1.273982196326138, 1.69970068359375, 0.6383356323242187, 1.331915283203125, 1722375363.6375234)",1722375363.637992
"dim: []
data_offset: 0","(0.0, 1.0, 0.010365295364324848, -0.0667419207133964, 1.2546914631611743, 0.03564179375984788, -0.17553304529199004, 1.272668375277137, 1.698145263671875, 0.6323404541015625, 1.3310318603515625, 1722375363.6729105)",1722375363.6733704
"dim: []
data_offset: 0","(0.0, 1.0, 0.007495430604972457, -0.07470883790522942, 1.2548720852965816, 0.04375675429166172, -0.17264858511123865, 1.2730251592807025, 1.6955289306640624, 0.6239732055664062, 1.3301009521484375, 1722375363.7125456)",1722375363.7129774
"dim: []
data_offset: 0","(0.0, 1.0, 0.007608718099209268, -0.07697444891909319, 1.2538669525086406, 0.030562359840302644, -0.170429517167872, 1.2723625354059394, 1.6955289306640624, 0.6239732055664062, 1.3301009521484375, 1722375363.7270389)",1722375363.7278557
"dim: []
data_offset: 0","(0.0, 1.0, 0.0072525510473149335, -0.07919171478235001, 1.2533819850899952, 0.03056235984030265, -0.170429517167872, 1.2723625354059394, 1.6955289306640624, 0.6239732055664062, 1.3301009521484375, 1722375363.75895)",1722375363.760533
"dim: []
data_offset: 0","(0.0, 1.0, 0.004705962936649657, -0.0887927774087584, 1.2536690501462462, 0.038439173456736364, -0.16644509661207896, 1.2698960793942857, 1.69227490234375, 0.6147584838867187, 1.3295728759765626, 1722375363.7885911)",1722375363.7921891
"dim: []
data_offset: 0","(0.0, 1.0, 0.0028686821565575005, -0.09499857310658211, 1.253210970920484, 0.02479359788689578, -0.16501451863139854, 1.2668939266170713, 1.6892286376953125, 0.6069808959960937, 1.329435546875, 1722375363.8109443)",1722375363.811774
"dim: []
data_offset: 0","(0.0, 1.0, -0.0011376497195156748, -0.10445590742773718, 1.253179107761807, 0.02357466486393922, -0.158979911645983, 1.2653500253024463, 1.6892286376953125, 0.6069808959960937, 1.329435546875, 1722375363.8387828)",1722375363.8407457
