Objects
100
,,Global Angle drone_agi:drone_agi,,,,,,Global Angle drone_leader:drone_leader,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
43,0,-0.005734,0.034885,-1.534517,848.810181,-1687.125488,1189.729370,0.040234,-0.055072,1.566839,813.154236,-3474.754639,1214.581909
44,0,0.001724,0.035536,-1.535104,849.499634,-1685.016479,1189.715088,0.040405,-0.054894,1.566920,813.095520,-3474.676758,1214.554688
45,0,0.005317,0.035613,-1.534769,850.209839,-1683.069336,1189.841431,0.039407,-0.054773,1.567733,813.173889,-3474.594482,1214.640869
46,0,0.012024,0.038055,-1.533921,850.928345,-1681.196655,1189.930420,0.040488,-0.054435,1.567077,813.011841,-3474.574463,1214.470581
47,0,0.018109,0.040524,-1.534558,851.608337,-1679.348145,1190.073120,0.040490,-0.054403,1.567192,812.988892,-3474.536621,1214.437256
48,0,0.022724,0.042359,-1.534289,852.282410,-1677.553955,1190.152832,0.040356,-0.055598,1.566293,813.065308,-3474.509766,1214.478149
49,0,0.054004,0.045582,-1.537323,852.719116,-1675.874756,1190.328979,0.040722,-0.053804,1.566781,813.153320,-3474.400635,1214.393555
50,0,0.057101,0.047482,-1.536865,853.294983,-1674.107300,1190.427124,0.040571,-0.053894,1.566705,813.123169,-3474.350098,1214.347534
51,0,0.055353,0.046071,-1.536195,853.943787,-1672.241089,1190.667236,0.041063,-0.050358,1.569330,813.019226,-3474.163086,1214.152954
52,0,0.041970,0.045085,-1.536520,854.437500,-1670.640869,1191.022461,0.040789,-0.050481,1.569282,812.984680,-3474.120117,1214.130127
53,0,0.042148,0.043964,-1.536847,854.914795,-1668.809570,1191.271484,0.040018,-0.053364,1.567425,812.727600,-3474.235352,1214.133179
54,0,0.046761,0.041674,-1.534870,855.141907,-1667.195679,1191.734619,0.040023,-0.053430,1.566657,812.921021,-3474.174072,1214.142578
55,0,0.046426,0.046309,-1.533228,855.377747,-1665.484253,1192.426392,0.039997,-0.055181,1.564821,812.964111,-3474.238037,1214.156982
56,0,0.045457,0.044338,-1.533303,855.643860,-1663.795898,1192.972412,0.040482,-0.050737,1.568496,812.880188,-3473.993164,1213.908325
57,0,0.045115,0.042149,-1.533802,855.869080,-1662.202881,1193.599854,0.040244,-0.050012,1.569547,812.764282,-3473.882812,1213.837158
58,0,0.043945,0.040971,-1.534349,856.077942,-1660.697998,1194.326294,0.040011,-0.049806,1.569714,812.715698,-3473.842041,1213.791382
59,0,0.046174,0.041671,-1.534694,856.225037,-1659.313110,1195.058105,0.039888,-0.049885,1.569758,812.689575,-3473.777588,1213.699097
60,0,0.038211,0.039655,-1.535528,856.578796,-1657.961304,1195.871094,0.039972,-0.050409,1.569156,812.711792,-3473.789795,1213.678589
61,0,0.037854,0.041278,-1.535829,856.677979,-1656.756714,1196.844482,0.039859,-0.047675,1.571297,812.592712,-3473.604980,1213.590942
62,0,0.042847,0.043449,-1.535109,856.551941,-1655.731201,1197.934448,0.042422,-0.050159,1.571237,812.535217,-3473.716553,1213.712280
63,0,0.043529,0.044869,-1.534821,856.516174,-1654.688477,1198.922363,0.042457,-0.050093,1.570688,812.476562,-3473.722900,1213.613281
64,0,0.047729,0.047223,-1.535330,856.397705,-1653.707520,1199.913086,0.039215,-0.050620,1.568617,812.511658,-3473.608154,1213.464600
65,0,0.048989,0.048475,-1.535331,856.260315,-1652.825195,1201.006836,0.042145,-0.050073,1.570379,812.414673,-3473.582520,1213.447998
66,0,0.042610,0.047433,-1.536687,856.269348,-1651.918335,1202.006592,0.042510,-0.049181,1.571356,812.376404,-3473.396729,1213.284424
67,0,0.047831,0.048529,-1.535855,855.806335,-1651.149292,1203.226196,0.038238,-0.049596,1.568802,812.414612,-3473.340332,1213.250244
68,0,0.048603,0.049009,-1.535775,855.508484,-1650.374512,1204.313843,0.037983,-0.049936,1.568481,812.393372,-3473.270264,1213.173950
69,0,0.048235,0.049073,-1.535775,855.177124,-1649.671875,1205.407837,0.037600,-0.049969,1.568269,812.377441,-3473.187988,1213.141968
70,0,0.048840,0.049805,-1.535900,854.775269,-1648.974854,1206.523682,0.036091,-0.049432,1.569322,812.483521,-3473.116455,1213.207520
71,0,0.043382,0.048443,-1.537309,854.502991,-1648.237183,1207.542358,0.037514,-0.046046,1.572154,812.298401,-3472.736084,1212.943848
72,0,0.047492,0.048014,-1.536388,853.806213,-1647.710449,1208.876587,0.037172,-0.046198,1.571573,812.286499,-3472.841797,1212.850220
73,0,0.046952,0.048231,-1.535995,853.260193,-1647.207642,1210.113403,0.035735,-0.047212,1.573235,812.448120,-3472.419189,1213.045776
74,0,0.046241,0.047791,-1.536155,852.657776,-1646.791992,1211.385132,0.034362,-0.048706,1.573924,812.303406,-3472.304443,1213.131958
75,0,0.045657,0.047105,-1.536726,851.998169,-1646.420410,1212.719116,0.034014,-0.048393,1.574054,812.299011,-3472.199951,1213.113525
76,0,0.045753,0.047014,-1.536814,851.271179,-1646.090454,1214.143555,0.033437,-0.048932,1.571619,812.239075,-3472.467529,1213.047485
77,0,0.045759,0.047484,-1.536855,850.546570,-1645.875732,1215.566650,0.034190,-0.045697,1.572092,812.139893,-3472.537598,1212.731323
78,0,0.044005,0.047568,-1.538588,849.875061,-1645.613770,1216.822144,0.033467,-0.048949,1.569989,812.279297,-3472.553467,1212.910522
79,0,0.045730,0.047565,-1.537103,848.888184,-1645.583130,1218.531494,0.038243,-0.044837,1.573521,812.025146,-3472.437256,1212.666138
80,0,0.045939,0.047130,-1.537620,847.998474,-1645.552490,1220.127686,0.037959,-0.048913,1.569432,812.055298,-3472.575439,1212.776367
81,0,0.045111,0.047761,-1.537951,847.018494,-1645.553711,1221.693726,0.036580,-0.044173,1.573492,812.247131,-3472.284912,1212.846680
82,0,0.040975,0.046934,-1.539156,846.217896,-1645.555786,1223.190552,0.038372,-0.044754,1.571807,812.078796,-3472.315674,1212.608032
83,0,0.045495,0.048012,-1.538317,844.999939,-1645.798218,1224.982788,0.038000,-0.048017,1.568338,812.198425,-3472.445801,1212.805542
84,0,0.048591,0.048358,-1.539171,843.815369,-1645.955322,1226.561401,0.036373,-0.048108,1.568622,812.421692,-3472.361084,1213.020386
85,0,0.045722,0.047899,-1.538888,842.702820,-1646.215332,1228.365112,0.038396,-0.047851,1.567406,812.282043,-3472.370361,1212.902954
86,0,0.042116,0.046285,-1.538873,841.663757,-1646.568970,1229.954468,0.038563,-0.047826,1.566911,812.342651,-3472.320801,1212.959106
87,0,0.045614,0.047553,-1.539423,840.272278,-1646.893066,1231.861084,0.038924,-0.047438,1.566741,812.387817,-3472.281006,1212.996338
88,0,0.045783,0.047268,-1.539959,838.942749,-1647.302002,1233.668945,0.039372,-0.047148,1.566584,812.439941,-3472.215088,1213.050293
89,0,0.041852,0.047229,-1.541011,837.786377,-1647.746948,1235.437134,0.039509,-0.046929,1.566246,812.496216,-3472.167236,1213.125854
90,0,0.048607,0.048685,-1.540612,836.186279,-1648.382568,1237.355957,0.039681,-0.046635,1.566041,812.570190,-3472.091309,1213.188232
91,0,0.046657,0.047349,-1.540634,834.754456,-1649.014038,1239.390381,0.040079,-0.046226,1.565786,812.623291,-3472.005371,1213.232422
92,0,0.041662,0.046232,-1.541936,833.442932,-1649.578369,1241.212891,0.041383,-0.047733,1.566759,812.953491,-3471.771240,1213.270996
93,0,0.045971,0.047356,-1.541264,831.715576,-1650.364258,1243.349243,0.040916,-0.043427,1.569035,812.871643,-3471.690186,1213.377197
94,0,0.045889,0.046792,-1.541266,830.188354,-1651.155396,1245.344116,0.040130,-0.044590,1.567921,813.012268,-3471.593750,1213.526978
95,0,0.048830,0.046702,-1.540954,828.455933,-1652.080444,1247.228271,0.039639,-0.044353,1.567383,813.055359,-3471.484375,1213.573853
96,0,0.040543,0.046048,-1.542819,827.023926,-1652.787354,1249.284424,0.039202,-0.043846,1.566808,813.089172,-3471.404541,1213.617554
97,0,0.044748,0.047183,-1.541824,825.122803,-1653.830933,1251.438232,0.039322,-0.043029,1.566441,813.347412,-3471.309082,1213.566895
98,0,0.044375,0.047819,-1.542037,823.441650,-1654.837158,1253.520996,0.038596,-0.042589,1.565502,813.313660,-3471.221924,1213.709961
99,0,0.043179,0.047937,-1.542127,821.665222,-1655.888428,1255.507690,0.035082,-0.043241,1.562558,813.350281,-3471.133545,1213.698242
100,0,0.037816,0.048014,-1.542248,820.022156,-1657.031250,1257.368896,0.034892,-0.043320,1.561938,813.339600,-3471.124512,1213.740967
101,0,0.039653,0.052643,-1.542584,818.192261,-1658.184326,1259.597412,0.033908,-0.047846,1.560583,813.655518,-3471.103027,1213.473145
102,0,0.035329,0.054443,-1.542583,816.501953,-1659.372803,1261.584839,0.033830,-0.046572,1.559644,813.516846,-3471.053711,1213.581299
103,0,0.031657,0.057829,-1.542850,814.764465,-1660.632690,1263.583862,0.033925,-0.046199,1.559258,813.466248,-3471.032715,1213.602295
104,0,0.023472,0.059622,-1.544295,813.179016,-1661.858765,1265.466187,0.033645,-0.045793,1.558426,813.406250,-3471.001953,1213.676147
105,0,0.024025,0.063020,-1.543044,811.260498,-1663.258667,1267.551270,0.033809,-0.045121,1.558267,813.379456,-3470.913330,1213.695923
106,0,0.019860,0.063983,-1.543512,809.397888,-1664.630737,1269.499878,0.034226,-0.043864,1.558683,813.333984,-3470.815186,1213.669189
107,0,0.015609,0.065313,-1.543959,807.512878,-1665.932495,1271.437500,0.034604,-0.044765,1.557716,813.443726,-3470.710205,1213.708252
108,0,0.006841,0.064768,-1.544904,805.769836,-1667.244629,1273.212891,0.033242,-0.042844,1.555854,813.209045,-3470.716064,1213.855713
109,0,0.006312,0.065794,-1.544167,803.717285,-1668.738403,1275.217529,0.032167,-0.042343,1.555256,813.274719,-3470.753906,1214.017090
110,0,0.000896,0.066049,-1.544422,801.780579,-1670.147583,1277.030029,0.034293,-0.043029,1.554627,813.208252,-3470.403320,1213.693115
111,0,-0.003585,0.066887,-1.544813,799.863403,-1671.579590,1278.774536,0.033085,-0.039767,1.556102,813.133179,-3470.129639,1213.695435
112,0,-0.013951,0.065808,-1.545434,798.159241,-1672.970337,1280.365356,0.037952,-0.034395,1.560431,812.200745,-3469.666016,1213.764282
113,0,-0.013309,0.066586,-1.545398,796.038269,-1674.599487,1282.184937,0.037418,-0.030650,1.562463,812.123535,-3469.212158,1213.688110
