time,x,y,z
1718074586.1536264,0.3141880832835436,0.05980433704685336,-0.038850836606622384
1718074586.1917338,0.3147081293683133,0.05979272172817906,-0.03893975210714724
1718074586.2517078,0.3141880832835436,0.05980433704685336,-0.038850836606622384
1718074586.320206,0.3147081293683133,0.05979272172817906,-0.03893975210714724
1718074586.3997538,0.3147081293683133,0.05979272172817906,-0.03893975210714724
1718074586.454006,0.3147081293683133,0.05979272172817906,-0.03893975210714724
1718074586.4913404,0.3147081293683133,0.05979272172817906,-0.03893975210714724
1718074586.5595865,0.3147081293683133,0.05979272172817906,-0.03893975210714724
1718074586.6257238,0.3147081293683133,0.05979272172817906,-0.03893975210714724
1718074586.7063024,0.3141880832835436,0.05980433704685336,-0.038850836606622384
1718074586.7579417,0.31396504124849306,0.05951257012949906,-0.03907141360718107
1718074586.7939596,0.3135087946293007,0.0594389132041368,-0.03880934756888299
1718074586.8759356,0.3147081293683133,0.05979272172817906,-0.03893975210714724
1718074586.9308176,0.3132331610231402,0.059496854322642866,-0.038731339518481386
1718074586.9949896,0.3135087946293007,0.0594389132041368,-0.03880934756888299
1718074587.0625281,0.3147081293683133,0.05979272172817906,-0.03893975210714724
1718074587.0964205,0.3141880832835436,0.05980433704685336,-0.038850836606622384
1718074587.1652856,0.3135087946293007,0.0594389132041368,-0.03880934756888299
1718074587.23495,0.3141880832835436,0.05980433704685336,-0.038850836606622384
1718074587.312056,0.3141880832835436,0.05980433704685336,-0.038850836606622384
1718074587.3675606,0.31332055933229924,0.059677964985288004,-0.038924144237039736
1718074587.4473965,0.3147081293683133,0.05979272172817906,-0.03893975210714724
1718074587.4809575,0.3141880832835436,0.05980433704685336,-0.038850836606622384
1718074587.5375025,0.3147081293683133,0.05979272172817906,-0.03893975210714724
1718074587.6052916,0.3147081293683133,0.05979272172817906,-0.03893975210714724
1718074587.6726034,0.3141880832835436,0.05980433704685336,-0.038850836606622384
1718074587.7402732,0.3147081293683133,0.05979272172817906,-0.03893975210714724
1718074587.7754374,0.3147081293683133,0.05979272172817906,-0.03893975210714724
