Topic,Timestamp,Data
/aruco_detection,1722476609758132167,True
/aruco_detection,1722476609782908198,True
/aruco_detection,1722476609808057409,True
/aruco_detection,1722476609832995935,True
/aruco_detection,1722476609857667264,True
/aruco_detection,1722476609882909337,True
/aruco_detection,1722476609907288701,True
/aruco_detection,1722476609933592715,True
/aruco_detection,1722476609958280683,True
/aruco_detection,1722476609984158622,True
/aruco_detection,1722476610009555670,True
/aruco_detection,1722476610032598826,True
/aruco_detection,1722476610059052854,True
/aruco_detection,1722476610082469669,True
/aruco_detection,1722476610108387127,True
/aruco_detection,1722476610132079203,True
/aruco_detection,1722476610158572558,True
/aruco_detection,1722476610182934866,True
/aruco_detection,1722476610206582527,False
/aruco_detection,1722476610234442874,True
/aruco_detection,1722476610257518414,True
/aruco_detection,1722476610283240962,True
/aruco_detection,1722476610307838755,True
/aruco_detection,1722476610332388421,True
/aruco_detection,1722476610357804861,True
/aruco_detection,1722476610384139147,True
/aruco_detection,1722476610408842475,False
/aruco_detection,1722476610432435832,True
/aruco_detection,1722476610457175896,False
/aruco_detection,1722476610484089470,True
/aruco_detection,1722476610507660972,True
/aruco_detection,1722476610534222646,True
/aruco_detection,1722476610557186891,True
/aruco_detection,1722476610583807829,True
/aruco_detection,1722476610609580168,True
/aruco_detection,1722476610633441938,False
/aruco_detection,1722476610656523078,False
/aruco_detection,1722476610683214255,True
/aruco_detection,1722476610707806608,True
/aruco_detection,1722476610734961108,True
/aruco_detection,1722476610758563105,True
/aruco_detection,1722476610782769991,False
/aruco_detection,1722476610808644601,True
/aruco_detection,1722476610834026130,True
/aruco_detection,1722476610857721054,True
/aruco_detection,1722476610883896365,True
/aruco_detection,1722476610908422223,True
/aruco_detection,1722476610933713065,True
/aruco_detection,1722476610958071789,False
/aruco_detection,1722476610983426501,True
/aruco_detection,1722476611009634900,True
/aruco_detection,1722476611032583945,True
/aruco_detection,1722476611058881846,True
/aruco_detection,1722476611083166716,True
/aruco_detection,1722476611109239212,True
/aruco_detection,1722476611132653947,True
/aruco_detection,1722476611157907541,True
/aruco_detection,1722476611182914354,True
/aruco_detection,1722476611208289642,True
/aruco_detection,1722476611232451889,True
/aruco_detection,1722476611258552544,True
/aruco_detection,1722476611283375807,True
/aruco_detection,1722476611307293001,False
/aruco_detection,1722476611331505775,False
/aruco_detection,1722476611358944335,True
/aruco_detection,1722476611383005271,True
/aruco_detection,1722476611409039047,True
/aruco_detection,1722476611432373048,False
/aruco_detection,1722476611458155883,False
/aruco_detection,1722476611483576195,True
/aruco_detection,1722476611508253668,True
/aruco_detection,1722476611533302400,True
/aruco_detection,1722476611557582341,True
/aruco_detection,1722476611585191747,True
/aruco_detection,1722476611608948591,True
/aruco_detection,1722476611633804717,True
/aruco_detection,1722476611658984104,True
/aruco_detection,1722476611684282401,True
/aruco_detection,1722476611709489019,True
/aruco_detection,1722476611732563311,True
/aruco_detection,1722476611758506400,True
/aruco_detection,1722476611784244885,True
/aruco_detection,1722476611808044383,True
/aruco_detection,1722476611833573142,True
/aruco_detection,1722476611859524296,True
/aruco_detection,1722476611883999371,True
/aruco_detection,1722476611908249904,True
/aruco_detection,1722476611932955536,True
/aruco_detection,1722476611958237194,True
/aruco_detection,1722476611981735928,False
/aruco_detection,1722476612007350958,False
/aruco_detection,1722476612032674951,True
/aruco_detection,1722476612058477370,True
/aruco_detection,1722476612082805055,False
/aruco_detection,1722476612107666621,True
/aruco_detection,1722476612132812825,True
/aruco_detection,1722476612157507161,False
/aruco_detection,1722476612183288941,True
/aruco_detection,1722476612207983917,True
/aruco_detection,1722476612233068777,True
/aruco_detection,1722476612257606475,True
/aruco_detection,1722476612283152962,True
/aruco_detection,1722476612307709796,True
/aruco_detection,1722476612333197531,True
/aruco_detection,1722476612357980122,True
/aruco_detection,1722476612382621531,True
/aruco_detection,1722476612408672076,True
/aruco_detection,1722476612433158863,True
/aruco_detection,1722476612457927502,True
/aruco_detection,1722476612484544761,True
/aruco_detection,1722476612508543649,False
/aruco_detection,1722476612532348652,False
/aruco_detection,1722476612558872407,True
/aruco_detection,1722476612583640919,True
/aruco_detection,1722476612608331639,True
/aruco_detection,1722476612632336671,True
/aruco_detection,1722476612658110803,True
/aruco_detection,1722476612683157840,True
/aruco_detection,1722476612708315403,True
/aruco_detection,1722476612732144949,False
/aruco_detection,1722476612757790730,True
/aruco_detection,1722476612784171479,True
/aruco_detection,1722476612808001762,True
/aruco_detection,1722476612832615267,True
/aruco_detection,1722476612858605428,True
/aruco_detection,1722476612883476051,True
/aruco_detection,1722476612906043340,False
/aruco_detection,1722476612933357070,True
/aruco_detection,1722476612957987471,True
/aruco_detection,1722476612984563610,True
/aruco_detection,1722476613008392612,True
/aruco_detection,1722476613032480844,True
/aruco_detection,1722476613058561884,True
/aruco_detection,1722476613082334215,True
/aruco_detection,1722476613107643040,False
/aruco_detection,1722476613134622502,False
/aruco_detection,1722476613157058785,False
/aruco_detection,1722476613183274608,False
/aruco_detection,1722476613207994352,False
/aruco_detection,1722476613232965805,False
/aruco_detection,1722476613257439600,False
/aruco_detection,1722476613284311895,False
/aruco_detection,1722476613308335487,False
/aruco_detection,1722476613331826542,False
/aruco_detection,1722476613357718496,False
/aruco_detection,1722476613383686866,False
/aruco_detection,1722476613408635919,False
/aruco_detection,1722476613432597656,False
/aruco_detection,1722476613457215481,False
/aruco_detection,1722476613482692977,False
/aruco_detection,1722476613508854496,False
/aruco_detection,1722476613532667275,False
/aruco_detection,1722476613557169005,False
/aruco_detection,1722476613583292029,False
/aruco_detection,1722476613607954462,False
/aruco_detection,1722476613632658846,True
/aruco_detection,1722476613656994499,True
/aruco_detection,1722476613684157991,True
/aruco_detection,1722476613715641176,True
/aruco_detection,1722476613736825633,True
/aruco_detection,1722476613755959362,False
/aruco_detection,1722476613782213521,True
/aruco_detection,1722476613809596594,True
/aruco_detection,1722476613833975446,True
/aruco_detection,1722476613857579971,False
/aruco_detection,1722476613883616628,True
/aruco_detection,1722476613908272437,False
/aruco_detection,1722476613933985417,True
/aruco_detection,1722476613957619670,True
/aruco_detection,1722476613982876080,True
/aruco_detection,1722476614006979863,False
/aruco_detection,1722476614032233041,True
/aruco_detection,1722476614056018812,False
/aruco_detection,1722476614084061046,True
/aruco_detection,1722476614107492261,True
/aruco_detection,1722476614132436258,True
/aruco_detection,1722476614157701500,True
/aruco_detection,1722476614182568314,True
/aruco_detection,1722476614209272963,True
/aruco_detection,1722476614232985455,True
/aruco_detection,1722476614258822082,True
/aruco_detection,1722476614281741655,False
/aruco_detection,1722476614308470208,True
/aruco_detection,1722476614333268735,True
/aruco_detection,1722476614356662767,False
/aruco_detection,1722476614383249049,True
/aruco_detection,1722476614408582706,True
/aruco_detection,1722476614433228883,True
/aruco_detection,1722476614457749878,True
/aruco_detection,1722476614482751731,True
/aruco_detection,1722476614507288597,True
/aruco_detection,1722476614532941066,True
/aruco_detection,1722476614557636811,True
/aruco_detection,1722476614583687483,True
/aruco_detection,1722476614608765239,True
/aruco_detection,1722476614632948414,True
/aruco_detection,1722476614657075717,True
/aruco_detection,1722476614683531376,True
/aruco_detection,1722476614707258620,False
/aruco_detection,1722476614733895718,True
/aruco_detection,1722476614758910051,True
/aruco_detection,1722476614784259451,True
/aruco_detection,1722476614810179054,True
/aruco_detection,1722476614832973380,True
/aruco_detection,1722476614858009729,True
/aruco_detection,1722476614883387705,True
/aruco_detection,1722476614908773233,True
/aruco_detection,1722476614934643204,True
/aruco_detection,1722476614957527546,True
/aruco_detection,1722476614982621749,True
/aruco_detection,1722476615008316106,True
/aruco_detection,1722476615032693966,True
/aruco_detection,1722476615058065415,True
/aruco_detection,1722476615083089316,True
/aruco_detection,1722476615110129289,True
/aruco_detection,1722476615135143046,True
/aruco_detection,1722476615158260825,True
/aruco_detection,1722476615182654493,True
/aruco_detection,1722476615208037461,True
/aruco_detection,1722476615233269967,True
/aruco_detection,1722476615260890702,True
/aruco_detection,1722476615282337332,True
/aruco_detection,1722476615310309903,True
/aruco_detection,1722476615332399533,True
/aruco_detection,1722476615357933892,False
/aruco_detection,1722476615384740556,True
/aruco_detection,1722476615410905915,True
/aruco_detection,1722476615435607356,False
/aruco_detection,1722476615458966924,True
/aruco_detection,1722476615483914569,True
/aruco_detection,1722476615509053157,True
/aruco_detection,1722476615533522792,True
/aruco_detection,1722476615557678639,True
/aruco_detection,1722476615582769707,True
/aruco_detection,1722476615609337269,True
/aruco_detection,1722476615633614395,True
/aruco_detection,1722476615658608376,True
/aruco_detection,1722476615684434923,True
/aruco_detection,1722476615709247498,True
/aruco_detection,1722476615733506096,True
/aruco_detection,1722476615758494573,True
/aruco_detection,1722476615782496981,True
/aruco_detection,1722476615808410344,True
/aruco_detection,1722476615832493775,False
/aruco_detection,1722476615859541525,True
/aruco_detection,1722476615883049955,True
/aruco_detection,1722476615909942474,True
/aruco_detection,1722476615933909555,True
/aruco_detection,1722476615958264279,True
/aruco_detection,1722476615981911140,True
/aruco_detection,1722476616008302961,True
/aruco_detection,1722476616033142256,True
/aruco_detection,1722476616056666334,False
/aruco_detection,1722476616083693731,False
/aruco_detection,1722476616109154715,True
/aruco_detection,1722476616133500831,False
/aruco_detection,1722476616158068257,True
/aruco_detection,1722476616182935840,True
/aruco_detection,1722476616208412855,True
/aruco_detection,1722476616233883663,True
/aruco_detection,1722476616258260179,True
/aruco_detection,1722476616284303076,True
/aruco_detection,1722476616309187042,True
/aruco_detection,1722476616334437852,True
/aruco_detection,1722476616360440621,True
/aruco_detection,1722476616384119002,True
/aruco_detection,1722476616410186378,True
/aruco_detection,1722476616432620773,False
/aruco_detection,1722476616458927411,True
/aruco_detection,1722476616484333451,True
/aruco_detection,1722476616508910381,False
/aruco_detection,1722476616532876662,False
/aruco_detection,1722476616558755401,True
/aruco_detection,1722476616584387966,True
/aruco_detection,1722476616607978892,True
/aruco_detection,1722476616633279845,True
/aruco_detection,1722476616658667421,True
/aruco_detection,1722476616683322494,True
/aruco_detection,1722476616709435950,True
/aruco_detection,1722476616734365836,True
/aruco_detection,1722476616757659357,True
/aruco_detection,1722476616783664974,True
/aruco_detection,1722476616808596044,True
/aruco_detection,1722476616833369132,True
/aruco_detection,1722476616858945186,True
/aruco_detection,1722476616883655970,True
/aruco_detection,1722476616908043270,True
/aruco_detection,1722476616932851589,True
/aruco_detection,1722476616957854658,False
/aruco_detection,1722476616983258971,True
/aruco_detection,1722476617007569056,True
/aruco_detection,1722476617033290612,True
/aruco_detection,1722476617058562766,True
/aruco_detection,1722476617085294903,True
/aruco_detection,1722476617109582684,True
/aruco_detection,1722476617132347091,True
/aruco_detection,1722476617158999229,True
/aruco_detection,1722476617183934747,True
/aruco_detection,1722476617207792517,True
/aruco_detection,1722476617233494490,True
/aruco_detection,1722476617256939625,True
/aruco_detection,1722476617284850981,True
/aruco_detection,1722476617309615332,True
/aruco_detection,1722476617333374480,True
/aruco_detection,1722476617358358029,True
/aruco_detection,1722476617381921435,True
/aruco_detection,1722476617407913292,True
/aruco_detection,1722476617433168423,True
/aruco_detection,1722476617457689289,True
/aruco_detection,1722476617482248523,True
/aruco_detection,1722476617508478042,True
/aruco_detection,1722476617533629365,True
/aruco_detection,1722476617558033785,True
/aruco_detection,1722476617582720794,True
/aruco_detection,1722476617608120178,True
/aruco_detection,1722476617632985361,True
/aruco_detection,1722476617657865808,True
/aruco_detection,1722476617684443514,True
/aruco_detection,1722476617709680533,True
/aruco_detection,1722476617736310207,True
/aruco_detection,1722476617758442557,True
/aruco_detection,1722476617782884065,True
/aruco_detection,1722476617808422839,True
