Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
1,0,0.078714,0.052576,1.618919,2226.038818,-3358.291016,985.709961,-0.003582,-0.086089,-1.611935,2340.176758,-1973.218140,1018.184448
2,0,0.075450,0.054048,1.620819,2226.209961,-3359.010742,985.905457,0.008484,-0.085598,-1.615729,2340.777588,-1974.193970,1017.747070
3,0,0.062344,0.046606,1.618827,2226.614746,-3360.069824,986.379822,-0.000481,-0.085928,-1.613413,2341.619873,-1975.369751,1017.586487
4,0,0.072761,0.052374,1.619272,2226.576416,-3360.702637,986.394653,-0.003632,-0.087682,-1.613084,2342.554688,-1976.563110,1017.610901
5,0,0.059917,0.049993,1.616179,2227.242920,-3361.673828,986.899841,0.004644,-0.089710,-1.613956,2343.177734,-1977.361938,1017.096863
6,0,0.060394,0.049430,1.616654,2227.686523,-3362.522705,987.167358,0.003804,-0.092508,-1.613645,2343.934814,-1978.398804,1016.931641
7,0,0.060322,0.049376,1.618871,2228.081055,-3363.231201,987.405884,-0.011586,-0.095455,-1.610087,2344.683838,-1979.521118,1016.841553
8,0,0.059554,0.048766,1.618918,2228.468994,-3363.919922,987.581543,-0.011478,-0.099273,-1.611039,2345.554932,-1980.652466,1016.790527
9,0,0.059615,0.044649,1.619812,2228.925537,-3364.739258,987.821594,-0.007958,-0.102505,-1.611509,2346.369629,-1981.541748,1016.561523
10,0,0.052827,0.049709,1.619056,2229.352783,-3365.233887,987.888977,-0.011015,-0.105985,-1.610692,2347.336182,-1982.617920,1016.439331
11,0,0.050897,0.050687,1.618013,2229.883057,-3365.889160,988.048401,-0.014294,-0.109999,-1.609647,2348.277832,-1983.802734,1016.445374
12,0,0.048791,0.049776,1.616465,2230.326660,-3366.503906,988.141174,-0.014183,-0.112837,-1.609022,2349.166260,-1984.862549,1016.339294
13,0,0.046531,0.050351,1.614822,2231.218018,-3367.109131,988.378723,-0.013826,-0.114401,-1.608238,2350.079102,-1985.999390,1016.176941
