header,t,pose,velocity,acceleration,acc_bias,gyr_bias,jerk,snap,motors,timestamp
"seq: 10721
stamp: 
  secs: 1722274208
  nsecs: 485709429
frame_id: ""world""",1722274208.4857094,"position: 
  x: -0.9087029017843667
  y: 0.5534323464910343
  z: 1.2812689654217013
orientation: 
  x: -0.00424370662023081
  y: 0.07253724154451817
  z: 0.0008168471642234575
  w: 0.997356341687335","linear: 
  x: 0.2669810495718372
  y: 0.11881543069770086
  z: 0.13349164132256913
angular: 
  x: -0.003974836138113083
  y: -0.004042044458069392
  z: 0.012753951636030545","linear: 
  x: 1.2847688934149464
  y: 0.07752716322837094
  z: 0.01738285668656874
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722274208.6824553
"seq: 10722
stamp: 
  secs: 1722274208
  nsecs: 494544506
frame_id: ""world""",1722274208.4945445,"position: 
  x: -0.9065602479179629
  y: 0.5544490500333511
  z: 1.2824905103166202
orientation: 
  x: -0.004331441765647523
  y: 0.07258178973970406
  z: 0.0009290685225523718
  w: 0.9973526253247106","linear: 
  x: 0.2700850105486935
  y: 0.11838341327111968
  z: 0.13492917929187515
angular: 
  x: -0.011089317408461358
  y: 0.0016193642439375506
  z: 0.017256127186065614","linear: 
  x: 1.2246704396594132
  y: 0.06938748299466489
  z: 0.026739384746496564
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722274208.6824646
"seq: 10723
stamp: 
  secs: 1722274208
  nsecs: 506250858
frame_id: ""world""",1722274208.5062509,"position: 
  x: -0.9020130298000253
  y: 0.5559466713652949
  z: 1.28347678779087
orientation: 
  x: -0.004413464024260455
  y: 0.07262542921455178
  z: 0.0010819874413529398
  w: 0.9973489347614934","linear: 
  x: 0.3268121953388012
  y: 0.12290268639976754
  z: 0.11631806646629288
angular: 
  x: -0.01199987259486379
  y: 0.0026935461677774545
  z: 0.02059223465151425","linear: 
  x: 1.5382268697424855
  y: 0.09726668566315608
  z: -0.1122907895916628
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722274208.6825106
"seq: 10724
stamp: 
  secs: 1722274208
  nsecs: 521100283
frame_id: ""world""",1722274208.5211003,"position: 
  x: -0.8965942280090498
  y: 0.5576785992738184
  z: 1.284963598114659
orientation: 
  x: -0.004236003486822047
  y: 0.07193830357110682
  z: 0.001054507209295742
  w: 0.9973995311650776","linear: 
  x: 0.3614450529817337
  y: 0.12125728698397739
  z: 0.10786388808747628
angular: 
  x: 0.0076263957571125465
  y: -0.04927671747423173
  z: 0.008098010531771688","linear: 
  x: 1.623022555739346
  y: 0.07504667557622086
  z: -0.16109762263267458
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722274208.6825178
"seq: 10725
stamp: 
  secs: 1722274208
  nsecs: 530530453
frame_id: ""world""",1722274208.5305305,"position: 
  x: -0.8936259728995484
  y: 0.5581367748203703
  z: 1.2857609493946245
orientation: 
  x: -0.003766608409767123
  y: 0.07119561190239082
  z: 0.0011386604384339457
  w: 0.9974546109770298","linear: 
  x: 0.36182864280017724
  y: 0.0990732640592556
  z: 0.09784766867687811
angular: 
  x: 0.0474115144963116
  y: -0.09415765217043202
  z: 0.014663696975252768","linear: 
  x: 1.5163919517449151
  y: -0.09542787019469198
  z: -0.22741254029823796
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722274208.6825383
"seq: 10726
stamp: 
  secs: 1722274208
  nsecs: 541297674
frame_id: ""world""",1722274208.5412977,"position: 
  x: -0.8901411208882688
  y: 0.5589068435778964
  z: 1.2868306470358628
orientation: 
  x: -0.002882377984730251
  y: 0.07036169756695072
  z: 0.0012402101210103969
  w: 0.9975166090303991","linear: 
  x: 0.3609823557656782
  y: 0.08802449853401967
  z: 0.0964087018471346
angular: 
  x: 0.11109753080114106
  y: -0.1281605826752348
  z: 0.02311868535596899","linear: 
  x: 1.3873540065773224
  y: -0.17072502890727093
  z: -0.2198264180805856
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722274208.682579
"seq: 10727
stamp: 
  secs: 1722274208
  nsecs: 561930418
frame_id: ""world""",1722274208.5619304,"position: 
  x: -0.8836846390271462
  y: 0.5607529645506927
  z: 1.2895700459080712
orientation: 
  x: -0.0009497719603357612
  y: 0.06824656276068476
  z: 0.0014633682628535068
  w: 0.9976669600412268","linear: 
  x: 0.35331811317552453
  y: 0.08637084805316544
  z: 0.11434834665972725
angular: 
  x: 0.1650067799929599
  y: -0.18458951009991367
  z: 0.031105195808863645","linear: 
  x: 1.1309090945033438
  y: -0.1575182329430691
  z: -0.06100027049375262
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722274208.682601
"seq: 10728
stamp: 
  secs: 1722274208
  nsecs: 571421862
frame_id: ""world""",1722274208.5714219,"position: 
  x: -0.879203817926587
  y: 0.5624385492597623
  z: 1.2928082395663416
orientation: 
  x: -0.00018156141031492665
  y: 0.06524678848177366
  z: 0.0013028806917797574
  w: 0.9978682909733989","linear: 
  x: 0.39545569477313675
  y: 0.11071567235507652
  z: 0.17780657741087424
angular: 
  x: 0.16638547507167306
  y: -0.3747938166212009
  z: 0.008512230968837966","linear: 
  x: 1.3555357427355557
  y: 0.02819919886188641
  z: 0.39977957938585384
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722274208.6826184
"seq: 10729
stamp: 
  secs: 1722274208
  nsecs: 580332994
frame_id: ""world""",1722274208.580333,"position: 
  x: -0.8758897972260338
  y: 0.5634406553649149
  z: 1.2947042077034001
orientation: 
  x: 0.0004984516222698757
  y: 0.06233422275101942
  z: 0.0012154881724036994
  w: 0.9980544668546449","linear: 
  x: 0.39816293476008213
  y: 0.11147808124939328
  z: 0.19187395375066124
angular: 
  x: 0.1598081087772864
  y: -0.510348930929684
  z: -0.0005144704552469599","linear: 
  x: 1.2845575960432083
  y: 0.03207009490525853
  z: 0.4793365542658208
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722274208.6826339
"seq: 10730
stamp: 
  secs: 1722274208
  nsecs: 590252876
frame_id: ""world""",1722274208.5902529,"position: 
  x: -0.8721238888669431
  y: 0.5645085178983332
  z: 1.2967484855010187
orientation: 
  x: 0.0011132188070948766
  y: 0.05921438505257304
  z: 0.0011602190435736743
  w: 0.9982439938404358","linear: 
  x: 0.40304391715457916
  y: 0.11053704043903124
  z: 0.20036290194824047
angular: 
  x: 0.14354278465257123
  y: -0.5642630091076107
  z: -0.0018547171997010173","linear: 
  x: 1.226884954018112
  y: 0.022832906009883268
  z: 0.5067287820157855
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722274208.6826556
