header,t,pose,velocity,acceleration,acc_bias,gyr_bias,jerk,snap,motors,timestamp
"seq: 28009
stamp: 
  secs: 1722284410
  nsecs: 844638586
frame_id: ""world""",1722284410.8446386,"position: 
  x: -0.11454999072764463
  y: -2.527771271076936
  z: 1.2420943078133921
orientation: 
  x: -0.00868962327665007
  y: 0.038173317290943226
  z: -0.012807205625519165
  w: 0.9991512717193433","linear: 
  x: -0.1423495875336509
  y: -0.2472857322523509
  z: -2.7178929592004667e-06
angular: 
  x: -0.08507188709568277
  y: 0.005626804602935569
  z: -0.049366976875703905","linear: 
  x: 0.5742873663193117
  y: 0.2224038149663464
  z: 0.05799260295304616
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722284410.859467
"seq: 28010
stamp: 
  secs: 1722284410
  nsecs: 858269930
frame_id: ""world""",1722284410.85827,"position: 
  x: -0.11671928987670584
  y: -2.53112760686976
  z: 1.2422107909036357
orientation: 
  x: -0.009409612089512265
  y: 0.03830746749908383
  z: -0.013020849224284644
  w: 0.9991368547999869","linear: 
  x: -0.14304253417026935
  y: -0.24444010377449576
  z: 0.004143072391170728
angular: 
  x: -0.09539941546185729
  y: 0.012561364299539213
  z: -0.04188624487550589","linear: 
  x: 0.5127960739958753
  y: 0.22106134896252075
  z: 0.08220500815479134
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722284410.8614612
"seq: 28011
stamp: 
  secs: 1722284410
  nsecs: 864861727
frame_id: ""world""",1722284410.8648617,"position: 
  x: -0.11796507998713193
  y: -2.5328639506570374
  z: 1.2422939774286836
orientation: 
  x: -0.009814272401128135
  y: 0.03822470392673407
  z: -0.013089881942639983
  w: 0.9991352296149295","linear: 
  x: -0.14961149732075663
  y: -0.24709685438902868
  z: 0.006398692136867414
angular: 
  x: -0.10291133587231058
  y: 0.0013800109466896972
  z: -0.03727897662851337","linear: 
  x: 0.43991293841440604
  y: 0.19092458632208015
  z: 0.09475905123293037
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722284410.8679552
"seq: 28012
stamp: 
  secs: 1722284410
  nsecs: 875209332
frame_id: ""world""",1722284410.8752093,"position: 
  x: -0.11903251374505038
  y: -2.535988157361986
  z: 1.2421422840114904
orientation: 
  x: -0.009835816407805526
  y: 0.03808392526881178
  z: -0.013230079026633179
  w: 0.9991385471298065","linear: 
  x: -0.12926184217901707
  y: -0.26357013958929304
  z: -0.00016476281742966388
angular: 
  x: -0.05530994446301082
  y: -0.010376556901226578
  z: -0.032580837564695465","linear: 
  x: 0.5585799186544058
  y: 0.05535177374931513
  z: 0.03841293605842214
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722284410.8790607
"seq: 28013
stamp: 
  secs: 1722284410
  nsecs: 892683983
frame_id: ""world""",1722284410.892684,"position: 
  x: -0.12078941039067553
  y: -2.541051990465346
  z: 1.241960588252066
orientation: 
  x: -0.010103523345993655
  y: 0.03814786338889065
  z: -0.013457665107489122
  w: 0.9991303971878317","linear: 
  x: -0.10878263246860999
  y: -0.2748091902372906
  z: -0.004317260108499228
angular: 
  x: -0.04128526958661735
  y: -8.538768605942433e-05
  z: -0.029459230479132695","linear: 
  x: 0.6318900266831636
  y: -0.02865069657177438
  z: 0.005237829933355543
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722284410.8975778
"seq: 28014
stamp: 
  secs: 1722284410
  nsecs: 897845030
frame_id: ""world""",1722284410.897845,"position: 
  x: -0.12184083228117036
  y: -2.542288882157026
  z: 1.2421279269669827
orientation: 
  x: -0.009826211095268485
  y: 0.03829674063548947
  z: -0.013385950196210777
  w: 0.9991284309684886","linear: 
  x: -0.121894471078778
  y: -0.2689849963777505
  z: 0.0019366751724750242
angular: 
  x: -0.008690968254942028
  y: 0.012982514843296858
  z: -0.0157248092536639","linear: 
  x: 0.5106799052009231
  y: 0.015560624681272638
  z: 0.05133574659050462
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722284410.9009237
"seq: 28015
stamp: 
  secs: 1722284410
  nsecs: 904712677
frame_id: ""world""",1722284410.9047127,"position: 
  x: -0.12230606469847272
  y: -2.543980432567972
  z: 1.241489772361591
orientation: 
  x: -0.009705446504596062
  y: 0.038296965502696026
  z: -0.013579087686460071
  w: 0.9991269964919551","linear: 
  x: -0.10703918659573246
  y: -0.263978260002758
  z: -0.018292864146936788
angular: 
  x: 0.0061097302865435205
  y: 0.009154890804031104
  z: -0.028322254811234498","linear: 
  x: 0.5937583919472738
  y: 0.0514321245995275
  z: -0.0993438424505282
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722284410.907601
"seq: 28016
stamp: 
  secs: 1722284410
  nsecs: 918962002
frame_id: ""world""",1722284410.918962,"position: 
  x: -0.12386872734915418
  y: -2.54748399359265
  z: 1.2409599617245495
orientation: 
  x: -0.009553624379919823
  y: 0.038255293047062155
  z: -0.013777264470032424
  w: 0.9991273431344043","linear: 
  x: -0.10169534224648917
  y: -0.2561083757587785
  z: -0.026631109618334512
angular: 
  x: 0.014549022883772349
  y: 0.002038457962352221
  z: -0.026924288957144764","linear: 
  x: 0.5708690074678839
  y: 0.10191663400532672
  z: -0.14738602397672906
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722284410.9258108
"seq: 28017
stamp: 
  secs: 1722284410
  nsecs: 926515341
frame_id: ""world""",1722284410.9265153,"position: 
  x: -0.12522048703384364
  y: -2.5492340544430654
  z: 1.241202095897326
orientation: 
  x: -0.009486512171041576
  y: 0.03833299987317969
  z: -0.013687472488642828
  w: 0.9991262384225651","linear: 
  x: -0.11773679139037833
  y: -0.2491805062932659
  z: -0.012561968878181767
angular: 
  x: 0.015244278501163857
  y: 0.008428809916680768
  z: -0.00915716806498661","linear: 
  x: 0.4186753570398384
  y: 0.1479638135814155
  z: -0.03385891669882295
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722284410.9295566
"seq: 28018
stamp: 
  secs: 1722284410
  nsecs: 935143709
frame_id: ""world""",1722284410.9351437,"position: 
  x: -0.12657553555009943
  y: -2.551099679492756
  z: 1.2413044323829792
orientation: 
  x: -0.009477444864286998
  y: 0.038052521698461655
  z: -0.013869670606268083
  w: 0.999134533418051","linear: 
  x: -0.12577183431431987
  y: -0.23793384875997214
  z: -0.006285140723053862
angular: 
  x: 0.009574394848070832
  y: -0.027311999478760257
  z: -0.026271942287905244","linear: 
  x: 0.3323085015226567
  y: 0.22367746945311684
  z: 0.013991685529000602
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722284410.9382093
"seq: 28019
stamp: 
  secs: 1722284410
  nsecs: 944650412
frame_id: ""world""",1722284410.9446504,"position: 
  x: -0.12783469251721302
  y: -2.5532188361938286
  z: 1.2413202373991148
orientation: 
  x: -0.009485754834543099
  y: 0.037643258583949034
  z: -0.01403783534766102
  w: 0.9991476090734306","linear: 
  x: -0.12526568239321503
  y: -0.2313224805822239
  z: -0.0036199253531714846
angular: 
  x: 0.005316402032687357
  y: -0.05566228665583446
  z: -0.031081068898968","linear: 
  x: 0.31248404155656656
  y: 0.25719091479351214
  z: 0.03291343196362603
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722284410.9510412
"seq: 28020
stamp: 
  secs: 1722284410
  nsecs: 954617500
frame_id: ""world""",1722284410.9546175,"position: 
  x: -0.12914231385199482
  y: -2.5554822971545783
  z: 1.2415087912340932
orientation: 
  x: -0.009699121468324329
  y: 0.036625941459783075
  z: -0.014130136962091814
  w: 0.9991820688364857","linear: 
  x: -0.12463414812940475
  y: -0.2277813957347715
  z: 0.004129668591333949
angular: 
  x: -0.014786984514715893
  y: -0.12287101521071778
  z: -0.026972201109483798","linear: 
  x: 0.29402714032723487
  y: 0.2644579503370376
  z: 0.08807955175327328
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722284410.9579768
"seq: 28021
stamp: 
  secs: 1722284410
  nsecs: 964633703
frame_id: ""world""",1722284410.9646337,"position: 
  x: -0.13041211429104918
  y: -2.5578264780487787
  z: 1.2418344897885047
orientation: 
  x: -0.00963248942888619
  y: 0.03553391711089071
  z: -0.014185918536724185
  w: 0.9992213546544271","linear: 
  x: -0.1227989542105894
  y: -0.22760349873581406
  z: 0.01373263717899648
angular: 
  x: 0.0011112387660123348
  y: -0.16387710808236466
  z: -0.02062580833776227","linear: 
  x: 0.2859740476661858
  y: 0.24620582568760288
  z: 0.15166739720708333
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722284410.9687312
"seq: 28022
stamp: 
  secs: 1722284410
  nsecs: 974644423
frame_id: ""world""",1722284410.9746444,"position: 
  x: -0.13104488423443422
  y: -2.5608432362116615
  z: 1.242377406596397
orientation: 
  x: -0.00951039744597657
  y: 0.03441617700464181
  z: -0.01436486403706803
  w: 0.999259090417496","linear: 
  x: -0.09979112401198076
  y: -0.25084528028991837
  z: 0.028664025461188698
angular: 
  x: 0.011170438090178337
  y: -0.1897680119414437
  z: -0.029390721208028162","linear: 
  x: 0.43733278898198735
  y: 0.053599274251805024
  z: 0.25173224791383864
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722284410.9812045
"seq: 28023
stamp: 
  secs: 1722284410
  nsecs: 984606743
frame_id: ""world""",1722284410.9846067,"position: 
  x: -0.13173536982014486
  y: -2.563718076971149
  z: 1.2428897477559653
orientation: 
  x: -0.00969480391085987
  y: 0.033357484260641425
  z: -0.01437953299198733
  w: 0.999293009107871","linear: 
  x: -0.08601584652205085
  y: -0.2629543335810519
  z: 0.03832976252956575
angular: 
  x: -0.009175635617359087
  y: -0.20031515635328864
  z: -0.018906015613115477","linear: 
  x: 0.5073930461749345
  y: -0.04044759521801937
  z: 0.30497725770488543
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722284410.9876785
"seq: 28024
stamp: 
  secs: 1722284410
  nsecs: 994991302
frame_id: ""world""",1722284410.9949913,"position: 
  x: -0.1326468677062702
  y: -2.5664684621293787
  z: 1.2433527071513417
orientation: 
  x: -0.009765617261794703
  y: 0.03247943741373389
  z: -0.014399345469253972
  w: 0.999320958308611","linear: 
  x: -0.08238549826504539
  y: -0.2636846325238116
  z: 0.042833699691584494
angular: 
  x: -0.009386167074031254
  y: -0.18572010681541332
  z: -0.013478174013845753","linear: 
  x: 0.49495339096729857
  y: -0.042179918540442646
  z: 0.314337711287221
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722284410.9988108
"seq: 28025
stamp: 
  secs: 1722284411
  nsecs:   4620075
frame_id: ""world""",1722284411.00462,"position: 
  x: -0.13369483353625136
  y: -2.5687586067224513
  z: 1.2436330911503648
orientation: 
  x: -0.009817378780457768
  y: 0.03177835437644924
  z: -0.014606882873540115
  w: 0.9993399793062042","linear: 
  x: -0.08661843622622077
  y: -0.2559486919412966
  z: 0.041078035697603855
angular: 
  x: -0.008345270550080797
  y: -0.16777525399203522
  z: -0.026858249621921716","linear: 
  x: 0.428533432046296
  y: 0.017947845029777157
  z: 0.27897397462160517
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722284411.014934
"seq: 28026
stamp: 
  secs: 1722284411
  nsecs:  15905142
frame_id: ""world""",1722284411.0159051,"position: 
  x: -0.13524542387499477
  y: -2.571118036518113
  z: 1.244641287900984
orientation: 
  x: -0.010034274547733386
  y: 0.03147115497993603
  z: -0.014766969838367077
  w: 0.9993451937845713","linear: 
  x: -0.10255126124944218
  y: -0.2374872568391666
  z: 0.06245192265071872
angular: 
  x: -0.02346874264547595
  y: -0.10752539357492047
  z: -0.028595439456223722","linear: 
  x: 0.272378676362592
  y: 0.1552309605707775
  z: 0.4160071279561355
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722284411.018887
"seq: 28027
stamp: 
  secs: 1722284411
  nsecs:  24628401
frame_id: ""world""",1722284411.0246284,"position: 
  x: -0.13631577330035843
  y: -2.5730142762901145
  z: 1.2452322247943313
orientation: 
  x: -0.010123068980233936
  y: 0.03110892366468765
  z: -0.014864470454278427
  w: 0.9993541943980423","linear: 
  x: -0.10606644850582952
  y: -0.23076778803449435
  z: 0.06704065635681158
angular: 
  x: -0.021386367152639613
  y: -0.0974486945944841
  z: -0.026606629872658","linear: 
  x: 0.2291714722000313
  y: 0.1945813574894149
  z: 0.4230464362914555
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722284411.028425
"seq: 28028
stamp: 
  secs: 1722284411
  nsecs:  40433645
frame_id: ""world""",1722284411.0404336,"position: 
  x: -0.13807521192505148
  y: -2.576499137960848
  z: 1.245973164815557
orientation: 
  x: -0.010177286615088248
  y: 0.030421095404552435
  z: -0.014959127513478165
  w: 0.9993734058376665","linear: 
  x: -0.10539219262209502
  y: -0.22399249524268633
  z: 0.06335396288060703
angular: 
  x: -0.012727663983242168
  y: -0.09150296569395056
  z: -0.01877532456543481","linear: 
  x: 0.20878871811799268
  y: 0.22029277781220508
  z: 0.3499199722855464
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722284411.0453582
"seq: 28029
stamp: 
  secs: 1722284411
  nsecs:  45284986
frame_id: ""world""",1722284411.045285,"position: 
  x: -0.13710254695635032
  y: -2.5773778677165478
  z: 1.2454210653523188
orientation: 
  x: -0.010553666669308211
  y: 0.029749004533285307
  z: -0.015009028931444526
  w: 0.999388986280941","linear: 
  x: -0.055840118705584266
  y: -0.21619606041404069
  z: 0.03675800655605072
angular: 
  x: -0.04218704467098274
  y: -0.13167600427188758
  z: -0.020765953922444343","linear: 
  x: 0.5681429498477948
  y: 0.2701006855758167
  z: 0.14045197494948558
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722284411.0502205
