timestamp,data,cov
1722284411.019932,"[-0.13535328209400177, -2.5705580711364746, 1.2445955276489258, -0.009997120127081871, 0.03162910044193268, -0.014733286574482918, 0.9993410706520081, -0.09933218713097546, -0.23601283842715187, 0.01615365370264483, -0.00349080692375032, -0.09844612529322645, -0.021503779031828377]","(0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001)"
1722284411.0259116,"[-0.13587328791618347, -2.571720838546753, 1.2447271347045898, -0.010008096694946289, 0.03137768805027008, -0.014778497628867626, 0.9993482828140259, -0.09731979264243386, -0.23539763939153774, 0.014424108969651957, -0.0024991726251467053, -0.09136914411530096, -0.014128612073334235]","(0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001)"
1722284411.0300171,"[-0.13638465106487274, -2.572880744934082, 1.2448508739471436, -0.010056579485535622, 0.03115682303905487, -0.014808804728090763, 0.9993541836738586, -0.09543437460089362, -0.23478120060227198, 0.013020446793653094, -0.043750379001083736, -0.0974004998559737, -0.018260757125464266]","(0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001)"
1722284411.0409832,"[-0.13522134721279144, -2.573801279067993, 1.2444480657577515, -0.01020339597016573, 0.030706699937582016, -0.014905274845659733, 0.9993652105331421, -0.08761415988638026, -0.22909404688380158, 0.015735366930158444, -0.05996867676496862, -0.1166969277434209, -0.008971456628085187]","(0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001)"
1722284411.0420377,"[-0.13567420840263367, -2.574927568435669, 1.2445704936981201, -0.01035310048609972, 0.03040141984820366, -0.014912540093064308, 0.9993729591369629, -0.0858522535695094, -0.2273013190543297, 0.015687184451791222, -0.06075721842724395, -0.12730746687169933, -0.009826861546810148]","(0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001)"
1722284411.0462177,"[-0.13612011075019836, -2.576045513153076, 1.2446913719177246, -0.010513411834836006, 0.030095534399151802, -0.014936977066099644, 0.9993801712989807, -0.08416633672587752, -0.22551448067803234, 0.015615625350456831, -0.05667505828538874, -0.11253209273378145, -0.008968386332450739]","(0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001)"
1722284411.0513203,"[-0.13656319677829742, -2.577179431915283, 1.2447926998138428, -0.010628552176058292, 0.029843274503946304, -0.014940484426915646, 0.9993864297866821, -0.08259953748595714, -0.2272380263555076, 0.01187338106463906, -0.030094286869096796, -0.093339848087151, -0.0014059858266983938]","(0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001)"
1722284411.0556688,"[-0.13700352609157562, -2.5783016681671143, 1.2449043989181519, -0.010700772516429424, 0.029623093083500862, -0.014949026517570019, 0.9993920922279358, -0.0812007327142048, -0.2268565821066297, 0.010374050689007857, -0.036274178726099615, -0.08384459994604579, -0.012019473497815819]","(0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001)"
1722284411.060124,"[-0.1374359428882599, -2.5794219970703125, 1.2450028657913208, -0.010828559286892414, 0.029429081827402115, -0.01499511394649744, 0.9993957281112671, -0.07978577445971818, -0.22648014835194138, 0.008794263054700954, -0.058769218416344145, -0.07115666850931258, -0.029047608616151833]","(0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001)"
1722284411.0656793,"[-0.13786102831363678, -2.580540657043457, 1.2450904846191406, -0.010967484675347805, 0.029240518808364868, -0.01506486814469099, 0.9993987083435059, -0.0784883062657712, -0.22610605108983292, 0.007459550998825359, -0.03868531531931247, -0.09111979967396153, -0.025935344705014518]","(0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001)"
