layout,data,timestamp
"dim: []
data_offset: 0","(2.08812352597436, -0.4179631812423895, 1.1616818123531945, 0.07472879495684114, 0.08835882201101879, -0.13513492213057476, 1.0, 0.0, 0.0, 0.0, 0.0, 0.011207103729248047, 1722376908.599524)",1722376908.6000586
"dim: []
data_offset: 0","(2.0821176224389704, -0.4236454219791028, 1.1699085324193716, 0.005149973905717132, 0.05937623942881147, -0.10087281857168774, 1.0, 0.0, 0.0, 0.0, 0.0, 0.034214019775390625, 1722376908.6460946)",1722376908.6469812
"dim: []
data_offset: 0","(2.0770132353827497, -0.4425476109057628, 1.1761202567708215, -0.03888993377232493, 0.03788729150022106, -0.07023547948673264, 1.0, 0.0, 0.0, 0.0, 0.0, 0.01651453971862793, 1722376908.6636093)",1722376908.6752791
"dim: []
data_offset: 0","(2.085447703520931, -0.4429394932721693, 1.1628329220989135, 0.034370627253862994, 0.04909703140409481, -0.03562656425452866, 1.0, 0.0, 0.0, 0.0, 0.0, 0.015873193740844727, 1722376908.6932836)",1722376908.694648
"dim: []
data_offset: 0","(2.0895178457158865, -0.45303545687562363, 1.1648732194645461, 0.025685906574782903, 0.06585034622603864, 0.042364987392423864, 1.0, 0.0, 0.0, 0.0, 0.0, 0.029371023178100586, 1722376908.7243543)",1722376908.7265482
"dim: []
data_offset: 0","(2.088491690129707, -0.4434470027550198, 1.1601890907267274, -0.006849395162986978, 0.087436897442518, 0.07862953424109533, 1.0, 0.0, 0.0, 0.0, 0.0, 0.018660545349121094, 1722376908.7444413)",1722376908.745786
"dim: []
data_offset: 0","(2.0754290147265824, -0.446278957531523, 1.1748344334995515, -0.06804586651393452, 0.07708086015435252, 0.10818631501491159, 1.0, 0.0, 0.0, 0.0, 0.0, 0.017524242401123047, 1722376908.7632537)",1722376908.764778
"dim: []
data_offset: 0","(2.0849427933492812, -0.44686313292329194, 1.1712446123674525, -0.034189338354661536, 0.06115417033496398, 0.12619530577831778, 1.0, 0.0, 0.0, 0.0, 0.0, 0.023154020309448242, 1722376908.7891219)",1722376908.7896445
"dim: []
data_offset: 0","(2.0817770051567344, -0.45319178560384665, 1.1775305197309458, -0.05261746066485282, 0.045798719687105416, 0.18458348423627058, 1.0, 0.0, 0.0, 0.0, 0.0, 0.012898445129394531, 1722376908.8061585)",1722376908.8066525
"dim: []
data_offset: 0","(2.0723981496517228, -0.46124733848423355, 1.1585333191282838, -0.06835923986093405, -0.005447231701103677, 0.189850543907935, 1.0, 0.0, 0.0, 0.0, 0.0, 0.010913610458374023, 1722376908.8178372)",1722376908.8185492
"dim: []
data_offset: 0","(2.0682895537071873, -0.4644505759389885, 1.1692447024425414, -0.06573678759369958, 0.0003208366512145529, 0.23267624833151684, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0126953125, 1722376908.843956)",1722376908.8444612
"dim: []
data_offset: 0","(2.0676945948487284, -0.4592134171992661, 1.1737942246474034, -0.01086932426992174, 0.0176239328039664, 0.27883394873518685, 1.0, 0.0, 0.0, 0.0, 0.0, 0.010372638702392578, 1722376908.8654838)",1722376908.8660738
"dim: []
data_offset: 0","(2.0801558862329705, -0.46798712995350156, 1.1809369636087688, 0.025785797263050456, -0.0015210735892962225, 0.3093123321993543, 1.0, 0.0, 0.0, 0.0, 0.0, 0.012316703796386719, 1722376908.89238)",1722376908.8944952
"dim: []
data_offset: 0","(2.0889538455795496, -0.4711802212797755, 1.181483968497952, 0.04843919025967202, -0.022333567065255345, 0.31383088528557895, 1.0, 0.0, 0.0, 0.0, 0.0, 0.014250993728637695, 1722376908.9207485)",1722376908.923166
"dim: []
data_offset: 0","(2.098472108644581, -0.4788233160076929, 1.1781422086768654, 0.07025273910529409, -0.05502282061291209, 0.2951709186108729, 1.0, 0.0, 0.0, 0.0, 0.0, 0.01761913299560547, 1722376908.9480863)",1722376908.9499454
