header,t,pose,velocity,acceleration,acc_bias,gyr_bias,jerk,snap,motors,timestamp
"seq: 5737
stamp: 
  secs: 1722376908
  nsecs: 574146748
frame_id: ""world""",1722376908.5741467,"position: 
  x: 0.6079719694401486
  y: -0.3819352663760964
  z: 1.2181268827655742
orientation: 
  x: -0.012024248351109634
  y: -0.01285020078917216
  z: 0.00026742887913665145
  w: 0.9998450971390836","linear: 
  x: 0.0019901597041973498
  y: -0.07425915214658511
  z: -0.08277050177774407
angular: 
  x: -0.04888958519765092
  y: 0.017234697284767935
  z: 0.020866371785356663","linear: 
  x: -0.4740324892730498
  y: 0.31887111551122355
  z: -0.26007434648757444
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722376908.5842013
"seq: 5738
stamp: 
  secs: 1722376908
  nsecs: 583409786
frame_id: ""world""",1722376908.5834098,"position: 
  x: 0.6076788901803822
  y: -0.3825815057465806
  z: 1.2175231573103111
orientation: 
  x: -0.012576568777595712
  y: -0.01295255186721412
  z: 0.00041755466429739454
  w: 0.999836930187124","linear: 
  x: -0.011620226847447955
  y: -0.07047197693109561
  z: -0.07964614173767047
angular: 
  x: -0.08006283704075876
  y: -0.0016428415936122897
  z: 0.025648600067944907","linear: 
  x: -0.5416621847687373
  y: 0.3248719423500964
  z: -0.21943983552106094
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722376908.5944433
"seq: 5739
stamp: 
  secs: 1722376908
  nsecs: 595030546
frame_id: ""world""",1722376908.5950305,"position: 
  x: 0.6082936123073363
  y: -0.38427575955975646
  z: 1.2169086142314092
orientation: 
  x: -0.01298647319558623
  y: -0.012744098282247788
  z: 0.0007171557506759924
  w: 0.9998341988352579","linear: 
  x: 0.007987171674364444
  y: -0.09625237021872762
  z: -0.07146354157594934
angular: 
  x: -0.07472767644084931
  y: 0.01765894036352391
  z: 0.03992107597736234","linear: 
  x: -0.3497018291551245
  y: 0.10583364496275827
  z: -0.1398996148277597
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722376908.6033747
"seq: 5740
stamp: 
  secs: 1722376908
  nsecs: 612893105
frame_id: ""world""",1722376908.612893,"position: 
  x: 0.6085290372842019
  y: -0.3863105630325781
  z: 1.2157984184554576
orientation: 
  x: -0.013598233119973716
  y: -0.012846246730346312
  z: 0.000814870135709089
  w: 0.9998246836258945","linear: 
  x: 0.005718457761693066
  y: -0.10326257652240757
  z: -0.06891077479490593
angular: 
  x: -0.07101525485294306
  y: 0.0006123536593645523
  z: 0.023454894585089033","linear: 
  x: -0.32210462685445396
  y: 0.0440834169574568
  z: -0.10485217087958745
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722376908.6181161
"seq: 5741
stamp: 
  secs: 1722376908
  nsecs: 619199276
frame_id: ""world""",1722376908.6191993,"position: 
  x: 0.6082152937377077
  y: -0.38608381390060154
  z: 1.2150628512023876
orientation: 
  x: -0.01296954236753022
  y: -0.012958115040626179
  z: 0.0007777514949790339
  w: 0.9998316224884983","linear: 
  x: -0.0067155521425974725
  y: -0.07641533466013115
  z: -0.07862726712158295
angular: 
  x: -0.0015046125825304742
  y: -0.008642028271722777
  z: 0.013617035585556032","linear: 
  x: -0.3973604933777059
  y: 0.23629115231974268
  z: -0.1703600258696183
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722376908.6227622
"seq: 5742
stamp: 
  secs: 1722376908
  nsecs: 623555422
frame_id: ""world""",1722376908.6235554,"position: 
  x: 0.6080265452066399
  y: -0.38618702478367095
  z: 1.2146804116738137
orientation: 
  x: -0.01297147375097983
  y: -0.012974422625916374
  z: 0.0007970764519764141
  w: 0.9998313707297753","linear: 
  x: -0.013385495343282329
  y: -0.06817301284505385
  z: -0.08058446816250428
angular: 
  x: -0.0013440964377059714
  y: -0.008412387592025406
  z: 0.012550658212771052","linear: 
  x: -0.4336285286100012
  y: 0.28925781646138493
  z: -0.17928268304028486
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722376908.6278782
"seq: 5743
stamp: 
  secs: 1722376908
  nsecs: 634748220
frame_id: ""world""",1722376908.6347482,"position: 
  x: 0.6076222552846312
  y: -0.38673031777093686
  z: 1.2137384182670254
orientation: 
  x: -0.01270998082326737
  y: -0.012729558197972167
  z: 0.0010216429477319352
  w: 0.9998376723154835","linear: 
  x: -0.02523517405128583
  y: -0.0587425117057118
  z: -0.0835751194832504
angular: 
  x: 0.025364867124816535
  y: 0.01924438302545441
  z: 0.027978236870681752","linear: 
  x: -0.4845227914545043
  y: 0.3342795237510538
  z: -0.18665728519047886
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722376908.6467767
"seq: 5744
stamp: 
  secs: 1722376908
  nsecs: 647483826
frame_id: ""world""",1722376908.6474838,"position: 
  x: 0.6071094026721461
  y: -0.38741687660407265
  z: 1.2126367862022716
orientation: 
  x: -0.012465366609371016
  y: -0.0125886966364648
  z: 0.0011853202749138381
  w: 0.9998423547580564","linear: 
  x: -0.036178687589998454
  y: -0.05340465654736834
  z: -0.08664592968099512
angular: 
  x: 0.03228017426128608
  y: 0.02055242373607623
  z: 0.026694006145568917","linear: 
  x: -0.5193613937414869
  y: 0.3421672466825078
  z: -0.1917202507853975
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722376908.6522677
"seq: 5745
stamp: 
  secs: 1722376908
  nsecs: 653380632
frame_id: ""world""",1722376908.6533806,"position: 
  x: 0.606354611027918
  y: -0.38654619693182113
  z: 1.2123144978252216
orientation: 
  x: -0.012468212478442769
  y: -0.012491179032093114
  z: 0.001262975740412367
  w: 0.9998434472537487","linear: 
  x: -0.057008149247878254
  y: -0.012022286472897995
  z: -0.08137014788762015
angular: 
  x: 0.02307720698001785
  y: 0.023964844748059214
  z: 0.026714493626086067","linear: 
  x: -0.6514571270134457
  y: 0.6348412233446743
  z: -0.14408965740826873
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722376908.6586251
"seq: 5746
stamp: 
  secs: 1722376908
  nsecs: 664825439
frame_id: ""world""",1722376908.6648254,"position: 
  x: 0.6053895730949895
  y: -0.386281504720098
  z: 1.2114635711189836
orientation: 
  x: -0.012335282183660501
  y: -0.012282916949536446
  z: 0.001358205798520877
  w: 0.9998475514005469","linear: 
  x: -0.07253883186092766
  y: 0.005696088824929774
  z: -0.08034297264698782
angular: 
  x: 0.023327002678699083
  y: 0.028482652125308525
  z: 0.021687740629850634","linear: 
  x: -0.7095941881677048
  y: 0.70931278750303
  z: -0.12484318107739709
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722376908.676693
