layout,data,timestamp
"dim: []
data_offset: 0","(1.7082408218926686, -0.11469983161089985, 1.0469735654712824, 0.012687677582560307, -0.09235892111189967, 0.01052275200442876, 1.0, 0.0, -2.191098786858794, 0.06471627950668335, 0.7672525644302368, 0.11339306831359863, 1724804630.2388482, -0.2911989688873291, 0.017269765958189964, 1.1613268852233887, -0.0038893434684723616)",1724804630.2393575
"dim: []
data_offset: 0","(1.6841209428213753, -0.10109300692561429, 1.0367536568479374, 0.004833465269450683, 0.11069270549109082, -0.013468761187673112, 1.0, 0.0, -2.2095344304312134, -0.11739802360534668, 1.067072868347168, 0.03603172302246094, 1724804630.275375, -0.28161153197288513, 0.017663847655057907, 1.1492818593978882, -0.014695905148983002)",1724804630.2759156
"dim: []
data_offset: 0","(1.659485590369735, -0.09986070959494404, 1.0341994346234875, -0.026989600332028685, 0.12173369539132413, -0.01661790924044029, 1.0, 0.0, -2.2185140178034692, 0.29994434118270874, 0.8105106949806213, 0.04658031463623047, 1724804630.3224454, -0.2817712724208832, 0.010592605918645859, 1.1718536615371704, -0.020550236105918884)",1724804630.325808
"dim: []
data_offset: 0","(1.6433759485069903, -0.09923467863775039, 1.0331259968614073, -0.04934359617899206, 0.1156378777994431, -0.017325893743123693, 1.0, 0.0, -2.692097927972119, 0.4919359087944031, 0.6109896898269653, 0.050038814544677734, 1724804630.3754883, -0.27145829796791077, 0.0015175181906670332, 1.168556809425354, -0.02426202967762947)",1724804630.3759968
"dim: []
data_offset: 0","(1.6217411785925324, -0.10403817565998619, 1.0081817550520284, -0.05670515588208623, 0.10413043386258926, -0.02394408970060539, 1.0, 0.0, -2.1106951828949283, 0.14056885242462158, 0.9376136064529419, 0.04944205284118652, 1724804630.4255297, -0.24637505412101746, 0.012116440571844578, 1.1411994695663452, -0.038152363151311874)",1724804630.4262729
"dim: []
data_offset: 0","(1.58805167994687, -0.11051992290582868, 0.980899827749845, -0.06776856800883779, 0.08388416542643716, -0.038509990409536565, 1.0, 0.0, -2.358701407284018, 0.2270098328590393, 0.8721829652786255, 0.08165931701660156, 1724804630.5076091, -0.22151705622673035, 0.012869861908257008, 1.1139001846313477, -0.055973052978515625)",1724804630.5092053
"dim: []
data_offset: 0","(1.5631867875835879, -0.11525438511049224, 0.9793921289719011, -0.09652136799746906, 0.06417857240918425, -0.04594054737023735, 1.0, 0.0, -2.736216126661002, -0.09338098764419556, 0.912158191204071, 0.06851816177368164, 1724804630.57872, -0.20001117885112762, 0.0066563705913722515, 1.1024446487426758, -0.04342066869139671)",1724804630.580778
"dim: []
data_offset: 0","(1.5193905678329593, -0.11924445346686643, 0.9757508632722914, -0.12592331180979302, 0.04887956526943764, -0.04674724094456303, 1.0, 0.0, -2.300461435249278, 0.06937426328659058, 0.591126561164856, 0.0527193546295166, 1724804630.6340432, -0.1859326809644699, -0.00967910885810852, 1.1015228033065796, -0.04620134085416794)",1724804630.6345377
"dim: []
data_offset: 0","(1.4776910791358964, -0.12343247759388347, 0.9729731277732362, -0.16088309970839587, 0.03533274042381335, -0.047884906977737514, 1.0, 0.0, -2.2152883760480786, -0.11592090129852295, 0.6952846050262451, 0.05084061622619629, 1724804630.6857553, -0.15147961676120758, -0.014321336522698402, 1.0766518115997314, -0.0505124069750309)",1724804630.6862361
"dim: []
data_offset: 0","(1.4496727553128959, -0.12626962573707723, 0.9709352295515896, -0.18287807473892456, 0.023829361585685577, -0.048497505156286945, 1.0, 0.0, -2.1521920085372765, -0.13317203521728516, 0.5754663348197937, 0.03998541831970215, 1724804630.7264135, -0.12067385017871857, -0.0368356853723526, 1.0668261051177979, -0.048627886921167374)",1724804630.726865
"dim: []
data_offset: 0","(1.4384618352667147, -0.12859722014929065, 0.9726755020729504, -0.20436090616290542, 0.015550213601946038, -0.04732341867364948, 1.0, 0.0, -2.836350851853727, 0.047595858573913574, 0.6947959661483765, 0.04897928237915039, 1724804630.776098, -0.12632840871810913, -0.04877525568008423, 1.0536342859268188, -0.0471668466925621)",1724804630.7770581
"dim: []
data_offset: 0","(1.4167306797292636, -0.13046154220023073, 0.9813584573662417, -0.25246088043275244, 0.00905374985312844, -0.04198309306540706, 1.0, 0.0, -2.7307009829531217, 0.22282397747039795, 0.6119226813316345, 0.041411638259887695, 1724804630.8188975, -0.11905604600906372, -0.054642148315906525, 1.0285310745239258, -0.04364994913339615)",1724804630.8198056
"dim: []
data_offset: 0","(1.391388001573612, -0.13121592928961628, 0.9929375187282646, -0.2893215169791306, 0.0049271877584431325, -0.033260136201420896, 1.0, 0.0, -2.24414595236318, 0.11288338899612427, 0.7894433736801147, 0.055086612701416016, 1724804630.8753214, -0.11494771391153336, -0.0642813891172409, 0.9950649738311768, -0.04243865981698036)",1724804630.8758857
"dim: []
data_offset: 0","(1.367436204293761, -0.13263404264711556, 1.0186356014689504, -0.3173192542689597, 0.0018673349279264564, -0.01684047679476556, 1.0, 0.0, -2.0177093061049147, -0.11243045330047607, 0.6553854942321777, 0.061678409576416016, 1724804630.9391444, -0.10751311480998993, -0.06875023990869522, 1.0032663345336914, -0.01863330602645874)",1724804630.942352
"dim: []
data_offset: 0","(1.3526374490619806, -0.13413850018018073, 1.0382589606149535, -0.3678746262039538, -0.0020181224064170808, 0.0006215576063331122, 1.0, 0.0, -2.398974259643814, -0.1410154104232788, 0.8792610168457031, 0.06169939041137695, 1724804631.0042603, -0.09740082919597626, -0.07188412547111511, 1.0239046812057495, 0.023496730253100395)",1724804631.0051935
"dim: []
data_offset: 0","(1.3448672694192831, -0.13750896973726343, 1.0974606837555998, -0.3587623335950881, -0.007957721109072724, 0.03699697709664587, 1.0, 0.0, -2.02366482595674, 0.196175217628479, 1.014519453048706, 0.0703585147857666, 1724804631.076656, -0.11592958867549896, -0.07455368340015411, 1.0530725717544556, 0.06906714290380478)",1724804631.0770864
"dim: []
data_offset: 0","(1.3408844437851914, -0.14221259968206193, 1.1165971622193585, -0.3250367628482734, -0.017671251403623755, 0.0629988200681248, 1.0, 0.0, -2.7089988379830894, 0.17038393020629883, 0.8803187608718872, 0.05002784729003906, 1724804631.1272533, -0.12735185027122498, -0.09543360769748688, 1.0810235738754272, 0.14292532205581665)",1724804631.1277223
"dim: []
data_offset: 0","(1.3458618854913469, -0.14429517382647128, 1.1286248466542392, -0.26183507152372093, -0.025329986686419448, 0.07345502466298114, 1.0, 0.0, -1.5864673351785652, -0.12809860706329346, 0.8713971376419067, 0.06572723388671875, 1724804631.194874, -0.1217263713479042, -0.10824823379516602, 1.1196742057800293, 0.22684121131896973)",1724804631.19648
"dim: []
data_offset: 0","(1.351620723373874, -0.15261631410067047, 1.1527627754629124, -0.2076392240707128, -0.036338592547297724, 0.08878822625434803, 1.0, 0.0, -2.618127674676061, -0.12132519483566284, 1.0705628395080566, 0.07261919975280762, 1724804631.2694247, -0.12871919572353363, -0.11782017350196838, 1.1327919960021973, 0.3014475703239441)",1724804631.2707665
"dim: []
data_offset: 0","(1.3410787482292499, -0.15731769479660399, 1.15873844829868, -0.15179542731031098, -0.050821874803538065, 0.09675075379333281, 1.0, 0.0, -2.813593393124313, -0.19021546840667725, 0.9004867076873779, 0.04964780807495117, 1724804631.3207152, -0.1333012878894806, -0.12425306439399719, 1.1518181562423706, 0.29180002212524414)",1724804631.322581
"dim: []
data_offset: 0","(1.3419756986625782, -0.16057413975736023, 1.1619168287641521, -0.11469505175093175, -0.057296515684643605, 0.09776849510515238, 1.0, 0.0, -2.035037426375114, -0.3319321274757385, 0.9746477603912354, 0.048432350158691406, 1724804631.370384, -0.15510256588459015, -0.1213027760386467, 1.1602373123168945, 0.285867840051651)",1724804631.3712857
"dim: []
data_offset: 0","(1.3509404871036217, -0.162365856960596, 1.1657069458005385, -0.07442085042415925, -0.05949267561610318, 0.09836623594564312, 1.0, 0.0, -2.476502933781358, -0.1787591576576233, 1.163467288017273, 0.04347848892211914, 1724804631.414895, -0.15498985350131989, -0.1005975604057312, 1.1770211458206177, 0.2881827652454376)",1724804631.4161286
"dim: []
data_offset: 0","(1.3641486358956947, -0.1660955411514739, 1.1656088640448052, -0.03183363312487331, -0.06189764699482967, 0.09667286878973586, 1.0, 0.0, -2.5201226448351357, -0.0868787169456482, 1.1494135856628418, 0.0390472412109375, 1724804631.4545047, -0.15077106654644012, -0.09050752222537994, 1.1787114143371582, 0.28358694911003113)",1724804631.456839
"dim: []
data_offset: 0","(1.3803660357945686, -0.16665570940735094, 1.1640517398408814, -0.003495173846058314, -0.06289275303606279, 0.09295717109375479, 1.0, 0.0, -1.7480397534059033, -0.19393181800842285, 0.9788580536842346, 0.05879974365234375, 1724804631.5137916, -0.13609084486961365, -0.07339487224817276, 1.1765042543411255, 0.2604246437549591)",1724804631.5153713
"dim: []
data_offset: 0","(1.3901848578601248, -0.16905112875563197, 1.1639742809314335, 0.03083395098515558, -0.06165808444988975, 0.0898577761848765, 1.0, 0.0, -2.0531970403645246, -0.1332484483718872, 1.1481353044509888, 0.04766440391540527, 1724804631.5618668, -0.13152265548706055, -0.04162774235010147, 1.169448971748352, 0.2728012204170227)",1724804631.5624192
"dim: []
data_offset: 0","(1.3953680252857987, -0.17252347618482256, 1.166402699011886, 0.06221757249387061, -0.0644624741426455, 0.0889046578409795, 1.0, 0.0, -2.683569839646413, -0.2543599009513855, 0.8385604023933411, 0.06368613243103027, 1724804631.6263406, -0.13892284035682678, -0.038856908679008484, 1.1838326454162598, 0.2669996917247772)",1724804631.6274352
"dim: []
data_offset: 0","(1.4194045112305718, -0.1755032116212267, 1.1705590245298523, 0.11464631933311394, -0.06790932082983633, 0.08985151526912775, 1.0, 0.0, -2.1072518500457007, -0.07676523923873901, 0.9694671630859375, 0.05031275749206543, 1724804631.6778855, -0.13790258765220642, -0.024686666205525398, 1.1858669519424438, 0.2805210053920746)",1724804631.678611
"dim: []
data_offset: 0","(1.4297016317704325, -0.1782276978369698, 1.172127900512331, 0.17409337278698278, -0.07006692641640881, 0.08948282823064968, 1.0, 0.0, -2.3854535770346406, -0.10262763500213623, 1.1162325143814087, 0.04057955741882324, 1724804631.7192612, -0.1354721337556839, -0.006636925041675568, 1.1823101043701172, 0.2832501232624054)",1724804631.7197442
"dim: []
data_offset: 0","(1.4605117869387407, -0.18050403304534696, 1.1716075637823027, 0.20960562279367984, -0.0711423828071195, 0.08692662585879121, 1.0, 0.0, -1.9274596633556809, -0.5292798280715942, 1.3197723627090454, 0.04090404510498047, 1724804631.76069, -0.11221109330654144, 0.0016162407118827105, 1.16413152217865, 0.2841186821460724)",1724804631.7618601
"dim: []
data_offset: 0","(1.4819091574496908, -0.1840560232922984, 1.1741170617632095, 0.24859110845197252, -0.07311751664189163, 0.08598202548170139, 1.0, 0.0, -2.3359466725307523, -0.10361170768737793, 1.1248780488967896, 0.031998395919799805, 1724804631.7949576, -0.10423123091459274, 0.024272609502077103, 1.1658971309661865, 0.24761533737182617)",1724804631.7959957
"dim: []
data_offset: 0","(1.5211796870038645, -0.18717485932883685, 1.1753584092097493, 0.3231666260094923, -0.07617382149291342, 0.08500311042909166, 1.0, 0.0, -2.1791568754254644, -0.24184006452560425, 1.2622052431106567, 0.03185915946960449, 1724804631.8292673, -0.10622390359640121, 0.03390519693493843, 1.1715455055236816, 0.23691777884960175)",1724804631.8300784
