timestamp,data
1723767300.677159,"[-0.1706735193121146, 0.02245483225261707, 0.38034795518907055, 0.0, 0.0, 0.0]"
1723767300.6893194,"[-0.16888303452444092, 0.02083509131638315, 0.37920864795950127, 0.0, 0.0, 0.0]"
1723767300.695294,"[-0.1669341931887837, 0.01914718766680073, 0.37795812337618717, 0.0, 0.0, 0.0]"
1723767300.7075825,"[-0.16628872126757424, 0.01749984337754539, 0.3762847823057075, 0.0, 0.0, 0.0]"
1723767300.7114584,"[-0.1615882332010507, 0.016900078492441687, 0.3657448905211826, 0.0, 0.0, 0.0]"
1723767300.7161522,"[-0.1609987166075697, 0.015466521731089096, 0.36341933043392305, 0.0, 0.0, 0.0]"
1723767300.7199552,"[-0.1379682993854562, 0.019446647861106874, 0.3752986539153484, 0.0, 0.0, 0.0]"
1723767300.724964,"[-0.13893536690451316, 0.019582956140507157, 0.37792925195681115, 0.0, 0.0, 0.0]"
1723767300.733628,"[-0.13843361735682227, 0.017497059458333145, 0.3737647304543176, 0.0, 0.0, 0.0]"
1723767300.7449036,"[-0.13892916914905268, 0.01644505138946092, 0.3730756820589596, 0.0, 0.0, 0.0]"
1723767300.7457244,"[-0.09063484831697503, 0.017005541442934646, 0.3812077452441672, 0.0, 0.0, 0.0]"
1723767300.7534015,"[-0.08828122896098244, 0.014375793057788168, 0.38002300727690286, 0.0, 0.0, 0.0]"
1723767300.7635024,"[-0.08889556964767477, 0.014475722464358685, 0.3826679908542696, 0.0, 0.0, 0.0]"
1723767300.7733588,"[-0.08770198910306003, 0.01193904733284523, 0.37975218806784933, 0.0, 0.0, 0.0]"
1723767300.7791579,"[-0.08583801673679918, 0.011619990799309794, 0.37179020400719887, 0.0, 0.0, 0.0]"
1723767300.7837992,"[-0.08293377476001576, 0.007164874374519037, 0.36696068282360605, 0.0, 0.0, 0.0]"
1723767300.795873,"[-0.11857008794450813, 0.005197555315575824, 0.34460801623814125, 0.0, 0.0, 0.0]"
1723767300.7978203,"[-0.11940118669178272, 0.005233986778068177, 0.347023492987474, 0.0, 0.0, 0.0]"
