timestamp,data
1724804179.2303047,"[0.04441239460858402, 0.05909008460287052, 0.15536395815512402, 0.0, 0.0, 0.0]"
1724804179.231756,"[0.044723696439952595, 0.05950426743887195, 0.15645295786181881, 0.0, 0.0, 0.0]"
1724804179.241517,"[0.04503499827132118, 0.05991845027487338, 0.1575419575685136, 0.0, 0.0, 0.0]"
1724804179.2567613,"[0.04609289629574336, 0.06002366615000952, 0.15880604495725978, 0.0, 0.0, 0.0]"
1724804179.2614734,"[0.046409431277997834, 0.0604356833297432, 0.15989627191406242, 0.0, 0.0, 0.0]"
1724804179.2731843,"[0.049329870733001636, 0.060194719210378465, 0.160570016248006, 0.0, 0.0, 0.0]"
1724804179.2814147,"[0.04966465738212117, 0.06060215941838949, 0.16165732393408766, 0.0, 0.0, 0.0]"
1724804179.2916946,"[0.04999944403124071, 0.06100959962640052, 0.1627446316201693, 0.0, 0.0, 0.0]"
1724804179.2969203,"[0.0732285674653364, 0.056325835824346616, 0.17916619078412557, 0.0, 0.0, 0.0]"
1724804179.303473,"[0.07374185181672895, 0.05672064308479765, 0.18042202856999562, 0.0, 0.0, 0.0]"
1724804179.312291,"[0.07688683436598066, 0.05638482120489343, 0.18072111202865568, 0.0, 0.0, 0.0]"
1724804179.322099,"[0.07961011711044036, 0.057136938215099485, 0.17707628302861228, 0.0, 0.0, 0.0]"
1724804179.3340955,"[0.08095685598539136, 0.057393217135266655, 0.1775354595557758, 0.0, 0.0, 0.0]"
1724804179.3437562,"[0.08241366393232614, 0.05760958536716254, 0.17787509830868967, 0.0, 0.0, 0.0]"
1724804179.3547888,"[0.0835109410244353, 0.05776311248953333, 0.17922973570826983, 0.0, 0.0, 0.0]"
1724804179.3621838,"[0.09661782845594567, 0.06198268436562646, 0.17239519143119458, 0.0, 0.0, 0.0]"
1724804179.3848426,"[0.09806137329450453, 0.06234574089715885, 0.1735759383137064, 0.0, 0.0, 0.0]"
1724804179.3877904,"[0.10034089678869185, 0.06200929963169481, 0.17527581027888692, 0.0, 0.0, 0.0]"
1724804179.3914878,"[0.10103468933449744, 0.06243785722964192, 0.1764874405284064, 0.0, 0.0, 0.0]"
