Objects
100
,,Global Angle drone_agi:drone_agi,,,,,,Global Angle drone_leader:drone_leader,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
45,0,-0.034487,0.083266,-1.582730,625.341431,-942.628601,1131.519531,0.780198,0.192026,3.955563,4355.641602,894.611755,1455.991089
46,0,-0.034854,0.083181,-1.582485,626.245422,-942.351990,1131.422729,0.780120,0.190896,3.956576,4356.829590,894.968628,1455.513184
47,0,-0.034099,0.084044,-1.581955,627.193604,-942.077393,1131.325562,0.781891,0.190413,3.955980,4357.765137,894.975891,1455.368774
48,0,-0.032068,0.084377,-1.580982,627.972412,-941.776550,1131.337280,0.782766,0.192291,3.953264,4358.222656,894.985535,1455.441406
49,0,-0.032201,0.083787,-1.581103,628.919373,-941.487549,1131.328125,0.783681,0.190917,3.952985,4358.480957,895.164246,1455.675537
50,0,-0.032615,0.083370,-1.581120,629.894409,-941.212280,1131.326294,0.781446,0.192597,3.955446,4360.166504,895.378967,1455.670044
51,0,-0.032535,0.083375,-1.581051,630.783752,-940.919189,1131.352051,0.789449,0.192029,3.950856,4358.974609,895.347290,1456.113525
52,0,-0.033767,0.083015,-1.581443,631.861084,-940.738770,1131.367432,0.791552,0.190548,3.950743,4359.227539,895.422424,1456.095581
53,0,-0.033636,0.082226,-1.580708,632.763855,-940.563782,1131.391968,0.795593,0.191731,3.949097,4360.137207,895.358521,1455.863037
54,0,-0.032667,0.081628,-1.580807,633.687256,-940.427002,1131.403809,0.794364,0.189950,3.952522,4361.250488,895.506531,1455.857300
55,0,-0.030237,0.079854,-1.581287,634.686401,-940.294800,1131.414185,0.794611,0.186863,3.952840,4360.960449,895.693726,1456.129028
56,0,-0.029925,0.076794,-1.581895,635.718140,-940.134033,1131.326050,0.794695,0.186760,3.953781,4361.164551,895.606689,1456.278442
57,0,-0.025685,0.073371,-1.580805,636.356689,-940.017395,1131.391724,0.795667,0.183507,3.954040,4361.226562,895.588440,1456.348755
58,0,-0.022377,0.071745,-1.581738,637.394714,-939.983398,1131.343872,0.801023,0.181854,3.951140,4360.508789,895.361511,1456.434326
59,0,-0.023163,0.070679,-1.581936,638.468079,-939.943604,1131.227051,0.801010,0.179879,3.952273,4359.979004,895.354919,1456.655396
60,0,-0.020658,0.068782,-1.580523,639.171631,-939.931030,1131.243164,0.799278,0.177709,3.952788,4360.897461,895.098083,1456.392822
61,0,-0.021845,0.069448,-1.582134,640.478760,-939.940857,1131.115479,0.793828,0.176271,3.956675,4361.974121,895.173828,1456.120605
62,0,-0.021034,0.069893,-1.581464,641.592957,-939.980408,1131.054321,0.794764,0.175101,3.957423,4361.329102,895.048218,1456.063354
63,0,-0.020975,0.070724,-1.581342,642.696289,-940.000793,1130.985107,0.800919,0.172725,3.952936,4358.854492,894.908875,1456.246094
64,0,-0.022565,0.070977,-1.581801,643.765808,-940.036926,1130.889160,0.798921,0.169284,3.955061,4359.281250,894.730042,1456.040161
65,0,-0.023161,0.071794,-1.581417,644.883667,-940.134460,1130.808594,0.783528,0.178637,3.956228,4359.736328,894.352356,1455.323486
66,0,-0.023839,0.072258,-1.580982,645.995667,-940.261658,1130.750488,0.794094,0.171374,3.955738,4359.460449,894.236572,1455.616821
67,0,-0.021995,0.071685,-1.579814,646.884766,-940.364929,1130.771118,0.790945,0.173392,3.955826,4358.884766,894.195251,1455.462891
68,0,-0.022110,0.070336,-1.580932,648.053284,-940.474548,1130.707520,0.790644,0.173191,3.959131,4356.842285,894.480713,1455.521851
69,0,-0.019532,0.068213,-1.581111,648.998535,-940.627930,1130.690430,0.791719,0.175472,3.960173,4354.801270,894.436768,1455.711304
70,0,-0.017056,0.065433,-1.580745,649.913452,-940.870667,1130.640381,0.781978,0.182713,3.961410,4355.999023,894.147339,1454.372192
71,0,-0.013473,0.062274,-1.580511,650.714111,-941.040283,1130.655884,0.787048,0.181162,3.961317,4355.053223,894.106506,1455.463135
72,0,-0.011083,0.059961,-1.581518,651.551453,-941.326050,1130.572754,0.792800,0.178351,3.962346,4355.071289,894.259155,1454.779541
73,0,-0.008250,0.057865,-1.581367,652.408020,-941.531982,1130.536133,0.789818,0.179817,3.962083,4354.991699,894.178955,1454.767090
74,0,-0.005883,0.055913,-1.581012,653.332703,-941.783936,1130.566650,0.795276,0.179960,3.961009,4354.911621,894.162964,1454.023071
75,0,-0.003067,0.054371,-1.580907,654.103088,-942.086670,1130.669312,0.778087,0.179436,3.956521,4360.123047,893.930725,1452.166382
76,0,-0.003638,0.053289,-1.580806,655.037903,-942.422607,1130.675537,0.773809,0.177584,3.958475,4359.895996,894.069824,1452.487793
77,0,-0.004207,0.053747,-1.580042,656.018066,-942.796265,1130.655029,0.785316,0.179616,3.959985,4354.750977,893.957275,1454.640747
78,0,-0.004595,0.054508,-1.580508,657.038940,-943.168274,1130.671753,0.783386,0.176700,3.960455,4354.014160,894.171387,1454.685059
79,0,-0.005198,0.055306,-1.581184,658.023621,-943.513367,1130.698486,0.790907,0.169766,3.961231,4354.592773,894.440979,1453.704712
80,0,-0.005603,0.055284,-1.581101,658.939697,-943.879578,1130.769775,0.776121,0.167276,3.962175,4355.135254,894.409973,1454.341675
81,0,-0.006117,0.055821,-1.580549,659.885864,-944.259155,1130.858765,0.777684,0.166361,3.959370,4355.263672,894.460571,1454.130127
82,0,-0.006673,0.055951,-1.580930,660.812744,-944.658081,1130.963745,0.778559,0.161566,3.958414,4355.694824,894.651123,1453.994263
83,0,-0.007028,0.056796,-1.581189,661.694580,-945.110657,1131.094604,0.784776,0.155731,3.955307,4356.165039,894.697449,1453.423340
84,0,-0.007877,0.057106,-1.581933,662.686829,-945.587219,1131.219727,0.784678,0.152503,3.954336,4356.348145,894.908508,1453.480103
85,0,-0.007201,0.057086,-1.581895,663.495483,-946.115967,1131.401001,0.782060,0.150956,3.953367,4357.728027,895.023010,1453.058472
86,0,-0.006795,0.056655,-1.582410,664.341736,-946.673279,1131.533447,0.781723,0.150936,3.951684,4357.750488,895.303101,1452.883423
87,0,-0.005084,0.055485,-1.581013,664.872314,-947.219971,1131.680298,0.780614,0.149703,3.950461,4357.449219,895.690613,1452.777710
88,0,-0.004698,0.054938,-1.581203,665.710632,-947.769104,1131.707397,0.776285,0.149217,3.950345,4357.213379,896.076416,1452.757446
89,0,-0.003611,0.054922,-1.581531,666.385071,-948.320923,1131.814575,0.777680,0.147812,3.948264,4355.625977,896.903931,1452.633423
90,0,-0.004522,0.054684,-1.580991,667.043152,-948.843628,1131.898926,0.774970,0.152104,3.946503,4357.919434,896.676697,1451.932861
91,0,-0.004670,0.054056,-1.582260,667.896240,-949.411011,1131.960449,0.784255,0.148699,3.946034,4354.823730,897.707336,1451.870483
92,0,-0.004058,0.053148,-1.582386,668.548706,-950.046082,1132.067749,0.767662,0.161721,3.950376,4354.439453,898.144287,1451.753662
93,0,-0.003191,0.053061,-1.582795,669.182556,-950.672607,1132.127808,0.784970,0.153363,3.945006,4355.727539,898.341431,1450.765747
94,0,-0.002700,0.052427,-1.582953,669.846252,-951.366577,1132.109497,0.776956,0.161421,3.945311,4356.690430,898.604919,1450.312256
95,0,-0.001156,0.051810,-1.581122,670.257874,-952.042603,1132.110107,0.771223,0.172599,3.939850,4360.258789,897.823669,1449.100586
96,0,-0.001209,0.051646,-1.581659,670.947144,-952.749939,1132.007690,0.766136,0.175232,3.938081,4360.181152,898.136292,1448.657104
97,0,-0.003267,0.051852,-1.581684,671.558411,-953.412476,1131.874756,0.751795,0.187152,3.939640,4360.915039,898.357666,1447.176758
98,0,-0.003223,0.052441,-1.581779,672.155457,-954.115234,1131.764038,0.759526,0.182893,3.937613,4358.835938,898.618225,1447.777832
99,0,-0.003863,0.052502,-1.580581,672.681519,-954.847961,1131.623779,0.756636,0.182745,3.938702,4360.291016,899.031067,1446.576660
100,0,-0.003795,0.052812,-1.581092,673.274353,-955.592712,1131.505249,0.721701,0.201641,3.946992,4357.712402,899.979309,1445.122925
101,0,-0.004935,0.053838,-1.582483,673.984802,-956.406555,1131.345215,0.726373,0.200263,3.946970,4353.467285,900.478882,1445.676392
102,0,-0.004637,0.054118,-1.582412,674.474365,-957.206726,1131.212036,0.764263,0.180167,3.938887,4354.358887,900.507385,1445.265625
103,0,-0.004703,0.054039,-1.582498,674.938904,-958.016724,1131.071655,0.745969,0.184698,3.940766,4354.666504,900.595764,1445.119019
104,0,-0.004601,0.053972,-1.582453,675.370911,-958.868530,1130.929688,0.740618,0.187480,3.940413,4352.986816,900.454590,1445.187378
105,0,-0.003108,0.053737,-1.581827,675.625671,-959.730957,1130.862183,0.735703,0.186385,3.942463,4354.006348,900.603516,1444.168457
106,0,-0.002964,0.053778,-1.581880,676.048645,-960.578918,1130.746948,0.734013,0.185666,3.940333,4354.802246,900.406616,1443.417847
107,0,-0.002655,0.053295,-1.581988,676.469910,-961.448975,1130.639771,0.708099,0.194305,3.940305,4356.011719,900.152039,1442.021606
108,0,-0.003531,0.052861,-1.581651,676.860962,-962.274109,1130.510742,0.712348,0.191686,3.943257,4354.487305,900.486145,1442.003784
109,0,-0.004531,0.052884,-1.582986,677.363892,-963.198547,1130.396118,0.733206,0.177688,3.939503,4355.153320,900.667175,1442.328491
110,0,-0.004769,0.052882,-1.582630,677.722900,-964.174622,1130.307495,0.716059,0.181054,3.945993,4352.982910,900.590515,1442.286255
111,0,-0.003330,0.052584,-1.582148,677.886047,-965.185791,1130.309937,0.706731,0.190217,3.949965,4348.694336,900.452393,1443.205933
112,0,-0.003978,0.052868,-1.581831,678.167358,-966.160706,1130.254150,0.715103,0.179585,3.945153,4352.216797,900.260803,1441.864380
113,0,-0.003894,0.053241,-1.581903,678.424500,-967.146484,1130.201050,0.710285,0.179978,3.947544,4351.207031,900.501770,1442.128540
114,0,-0.005125,0.052825,-1.581306,678.705139,-968.119324,1130.089600,0.727861,0.169844,3.943058,4352.547363,900.370728,1442.116577
115,0,-0.006653,0.052843,-1.583001,679.184753,-969.142151,1129.938110,0.726422,0.169686,3.942118,4352.719727,900.196411,1442.002563
116,0,-0.007181,0.052596,-1.583487,679.379272,-970.184753,1129.834473,0.729025,0.166372,3.942925,4351.663574,900.299133,1442.256836
117,0,-0.005530,0.051915,-1.582489,679.348694,-971.289673,1129.818726,0.713997,0.174469,3.948696,4350.266113,900.217285,1442.298340
118,0,-0.005919,0.051537,-1.582461,679.556519,-972.333496,1129.711914,0.710428,0.174945,3.953029,4351.193359,900.457520,1442.214478
119,0,-0.006048,0.051355,-1.582195,679.720215,-973.406494,1129.591553,0.715946,0.174531,3.948925,4349.511719,900.222412,1442.646362
120,0,-0.008094,0.051375,-1.583946,680.088562,-974.468872,1129.459595,0.717964,0.174500,3.948360,4349.628906,900.107117,1442.772461
121,0,-0.008189,0.051533,-1.583776,680.235779,-975.553284,1129.347900,0.720286,0.177883,3.945089,4350.656738,899.657959,1442.591187
122,0,-0.005704,0.050690,-1.582993,680.164429,-976.725220,1129.322998,0.719395,0.177968,3.947227,4349.221191,900.031982,1443.238037
123,0,-0.006302,0.049916,-1.583467,680.278442,-977.848999,1129.241821,0.723448,0.177939,3.947376,4351.532715,899.873352,1442.675293
124,0,-0.007602,0.049163,-1.583017,680.305298,-978.893188,1129.156738,0.704260,0.189388,3.953399,4350.361328,900.200073,1443.065918
125,0,-0.010096,0.048105,-1.584098,680.546692,-980.020142,1129.037842,0.714475,0.189711,3.948744,4351.368164,899.714233,1442.785034
126,0,-0.011488,0.047200,-1.584393,680.559631,-981.133789,1128.972534,,,,,,
127,0,-0.009970,0.045902,-1.583986,680.438232,-982.322571,1128.986206,0.719749,0.191122,3.944647,4349.958008,899.452026,1443.405151
128,0,-0.011505,0.045356,-1.583819,680.509705,-983.448425,1128.907593,0.732534,0.185778,3.945109,4348.749023,899.654602,1444.501587
129,0,-0.013023,0.045217,-1.583719,680.479919,-984.552490,1128.800415,0.733859,0.186664,3.946215,4348.829590,899.534241,1444.496460
130,0,-0.014529,0.043862,-1.583409,680.363770,-985.642761,1128.692505,0.732084,0.184861,3.951129,4350.087891,899.697632,1444.514648
131,0,-0.015816,0.043504,-1.584930,680.570190,-986.891724,1128.596680,0.739827,0.187055,3.943314,4349.944824,898.916931,1444.434326
132,0,-0.014516,0.042078,-1.584541,680.286499,-988.093018,1128.563721,0.742262,0.188295,3.942264,4349.644531,898.638306,1444.601807
133,0,-0.015313,0.041537,-1.584017,680.203003,-989.215149,1128.451050,0.742113,0.187384,3.942816,4349.208984,898.436218,1444.965332
134,0,-0.016088,0.040775,-1.584470,680.085876,-990.430847,1128.270386,0.743050,0.187269,3.941984,4348.466309,898.058960,1445.499634
135,0,-0.017012,0.039897,-1.585443,680.005859,-991.579712,1128.091675,0.743188,0.186277,3.943085,4349.902344,897.937744,1444.823242
136,0,-0.017959,0.038696,-1.585212,679.887756,-992.750916,1127.869751,0.743510,0.186010,3.943203,4349.845703,897.636230,1444.844971
137,0,-0.018586,0.037302,-1.585251,679.755737,-993.878296,1127.690796,0.747966,0.188214,3.942390,4350.549805,897.029724,1444.361816
138,0,-0.020593,0.035229,-1.585720,679.600342,-994.943665,1127.429565,0.743846,0.184924,3.943831,4349.267578,897.005310,1444.866333
139,0,-0.023418,0.032646,-1.585856,679.420959,-995.992798,1127.155151,0.743755,0.183176,3.944537,4349.281250,896.664795,1444.898682
140,0,-0.025915,0.029862,-1.586852,679.209839,-996.995789,1126.858398,0.744379,0.185735,3.945152,4349.133301,896.125244,1444.926147
141,0,-0.028292,0.026752,-1.586639,678.951050,-997.934570,1126.595459,0.744888,0.182506,3.948383,4347.892578,895.990051,1445.245605
142,0,-0.030751,0.024211,-1.587058,678.686768,-998.981812,1126.328125,0.743758,0.184482,3.946196,4351.479492,894.743774,1444.658447
143,0,-0.033409,0.022500,-1.587773,678.419006,-1000.014648,1126.073242,0.742994,0.182179,3.947464,4351.281250,894.433350,1444.669189
144,0,-0.035546,0.020789,-1.587593,678.146057,-1001.011353,1125.763062,0.742082,0.179264,3.950654,4346.220215,894.863831,1446.101929
145,0,-0.036819,0.020206,-1.588049,677.952087,-1002.030518,1125.464966,0.741463,0.181496,3.949036,4349.847168,893.573242,1445.288940
146,0,-0.037378,0.019709,-1.588103,677.712219,-1003.105408,1125.100342,0.757670,0.168132,3.950128,4345.833008,894.220764,1446.434082
147,0,-0.037519,0.019867,-1.588469,677.380432,-1004.172302,1124.734497,0.753571,0.176543,3.948535,4350.525391,892.992615,1444.889160
148,0,-0.036821,0.019102,-1.588004,677.043701,-1005.131470,1124.392700,0.743386,0.178265,3.958567,4345.189941,893.543152,1445.723267
149,0,-0.038217,0.019011,-1.588405,676.707886,-1006.162659,1123.912842,0.728396,0.184157,3.961179,4345.125000,893.325867,1445.244507
150,0,-0.038163,0.019137,-1.588705,676.276367,-1007.164612,1123.507202,0.743482,0.178352,3.961162,4346.674805,892.564209,1445.308960
151,0,-0.037481,0.018911,-1.588974,675.844360,-1008.174683,1123.120850,0.744264,0.177485,3.961705,4346.341797,892.264709,1445.463501
152,0,-0.037236,0.018877,-1.588921,675.454895,-1009.117859,1122.768188,0.746122,0.175900,3.961341,4346.953613,891.788208,1445.315186
153,0,-0.037042,0.019184,-1.588928,675.102844,-1010.049927,1122.388306,0.748937,0.175604,3.960904,4346.932617,891.292664,1445.257202
154,0,-0.036681,0.020070,-1.588448,674.695374,-1011.017700,1121.967285,0.735016,0.177164,3.955079,4349.327637,890.491455,1444.623535
155,0,-0.036428,0.020095,-1.588882,674.286560,-1011.954895,1121.544067,0.750188,0.178720,3.959611,4348.705566,889.785156,1445.223755
156,0,-0.036337,0.021484,-1.589200,673.806885,-1012.801392,1121.145752,0.746315,0.182342,3.966448,4344.166992,889.949280,1446.127197
157,0,-0.036815,0.021840,-1.588880,673.304016,-1013.679016,1120.765747,0.751699,0.175599,3.964312,4346.370117,889.613037,1445.889038
158,0,-0.037320,0.021636,-1.588944,672.831665,-1014.492615,1120.477173,0.728388,0.182864,3.962005,4348.480469,888.943787,1445.209229
159,0,-0.037764,0.020344,-1.589343,672.302307,-1015.246033,1120.187744,0.754130,0.175538,3.965441,4346.578613,888.603455,1446.310913
160,0,-0.038676,0.019452,-1.589210,671.801758,-1015.863525,1119.972778,0.756508,0.171202,3.967965,4345.005371,888.731384,1446.828247
161,0,-0.040080,0.018392,-1.588877,671.203186,-1016.532532,1119.804810,0.757415,0.171418,3.968464,4346.892090,888.356384,1446.271240
162,0,-0.041696,0.016281,-1.589241,670.569092,-1017.109741,1119.697998,0.756480,0.167217,3.970793,4344.560059,888.761597,1447.105835
163,0,-0.043143,0.015778,-1.589597,670.006714,-1017.734436,1119.611572,0.742896,0.166817,3.966545,4348.035156,888.344360,1446.447510
164,0,-0.043371,0.015226,-1.589522,669.468079,-1018.295532,1119.565063,0.747582,0.161745,3.967759,4348.032227,888.514709,1446.525146
165,0,-0.043643,0.013966,-1.589299,668.944275,-1018.952942,1119.500977,0.759262,0.159941,3.971577,4344.043457,888.297241,1448.384644
166,0,-0.042849,0.013770,-1.588768,668.240112,-1019.556030,1119.454956,0.761221,0.157620,3.971446,4343.650391,888.203613,1448.666748
167,0,-0.042801,0.014767,-1.589173,667.568481,-1020.166260,1119.399536,0.760818,0.155833,3.970762,4343.808105,888.166260,1448.919678
168,0,-0.042732,0.014948,-1.589249,666.960693,-1020.752563,1119.414795,0.762409,0.155044,3.970198,4344.651367,888.235229,1448.588623
169,0,-0.042582,0.015208,-1.589221,666.323181,-1021.253967,1119.477661,0.760751,0.155325,3.970455,4344.846191,888.225342,1449.019531
170,0,-0.041994,0.014369,-1.588801,665.587158,-1021.776306,1119.548828,0.761326,0.154658,3.969168,4345.797852,887.963501,1449.261963
171,0,-0.041901,0.015108,-1.589361,664.829895,-1022.270935,1119.595703,0.746279,0.153853,3.968407,4347.268066,888.521790,1449.030151
172,0,-0.041737,0.015692,-1.589492,664.135742,-1022.711426,1119.637817,0.757978,0.156134,3.971496,4344.276855,888.563843,1450.550781
173,0,-0.041766,0.015452,-1.589764,663.462891,-1023.111694,1119.639771,0.769231,0.153008,3.965644,4344.169922,888.335083,1450.881714
174,0,-0.040736,0.015748,-1.589364,662.682861,-1023.527771,1119.629761,0.771660,0.153466,3.963717,4344.369141,888.536926,1450.952637
175,0,-0.041163,0.016172,-1.589479,661.887817,-1023.888855,1119.536255,0.780978,0.148756,3.962538,4344.589844,889.005310,1450.653442
