Frame,Sub Frame,RX_c,RY_c,RZ_c,TX_c,TY_c,TZ_c,RX_l,RY_l,RZ_l,TX_l,TY_l,TZ_l
42,0,-0.055124,-0.154820,-1.586168,2476.273682,-1439.777832,996.898804,0.029837,0.003216,1.556464,2206.714111,-2866.883545,1103.019409
43,0,-0.054783,-0.154232,-1.586128,2476.477539,-1439.124023,996.388855,0.024141,0.009094,1.555501,2206.568115,-2867.934570,1103.151733
44,0,-0.061111,-0.155969,-1.582452,2476.522705,-1438.360962,995.596924,0.049674,-0.015333,1.555188,2207.091064,-2869.943848,1103.705933
45,0,-0.062451,-0.154988,-1.581284,2476.739990,-1437.658325,995.084839,0.034573,0.011348,1.556011,2205.893799,-2870.114014,1103.116333
46,0,-0.056054,-0.152597,-1.582885,2477.115967,-1437.043091,994.869446,0.066550,-0.307580,1.572117,2201.773193,-2870.263184,1087.624023
47,0,-0.063430,-0.153680,-1.579130,2477.062256,-1436.238159,993.983093,0.044835,-0.184962,1.580004,2200.585449,-2872.401855,1090.445801
48,0,-0.063788,-0.153055,-1.578433,2477.212402,-1435.514526,993.393127,0.038136,-0.169753,1.581406,2200.406250,-2873.611328,1091.025513
49,0,-0.063376,-0.152302,-1.576966,2477.308350,-1434.745850,992.786865,-0.005805,0.054343,1.589459,2204.832031,-2870.609131,1101.822876
50,0,-0.062809,-0.151805,-1.576347,2477.390381,-1434.012085,992.235840,-0.004972,0.057843,1.590144,2204.645996,-2871.401123,1101.635254
51,0,-0.055884,-0.150152,-1.577563,2477.641846,-1433.315674,991.986511,-0.004934,0.063643,1.590794,2204.612061,-2872.258301,1102.228516
52,0,-0.056830,-0.149839,-1.576218,2477.629883,-1432.532471,991.362366,0.159247,-0.576726,1.535786,2202.068604,-2873.169434,1084.211792
53,0,-0.057730,-0.151046,-1.575098,2477.602051,-1431.694824,990.825867,0.174279,-0.636930,1.525125,2202.262695,-2873.077393,1082.958740
54,0,-0.056496,-0.150687,-1.573979,2477.583984,-1430.926025,990.290527,0.170860,-0.611418,1.529454,2202.116455,-2874.554688,1083.492188
55,0,-0.055402,-0.149912,-1.573075,2477.522705,-1430.161255,989.711304,0.199890,-0.697105,1.512478,2202.533691,-2873.985596,1082.898438
56,0,-0.052555,-0.147814,-1.572028,2477.479492,-1429.413818,989.110962,0.194915,-0.668979,1.517578,2202.387939,-2875.383301,1083.078125
57,0,-0.057887,-0.148313,-1.567933,2477.154785,-1428.595093,988.204590,0.188410,-0.640158,1.523219,2202.148682,-2876.991699,1083.208618
58,0,-0.056074,-0.146895,-1.566889,2477.055420,-1427.847656,987.643616,0.179380,-0.595221,1.530344,2201.752930,-2878.536865,1084.088013
59,0,-0.054519,-0.145134,-1.565742,2476.966553,-1427.155151,987.085876,0.179343,-0.589545,1.531998,2201.660645,-2879.608398,1084.200073
60,0,-0.046516,-0.141060,-1.567414,2477.074707,-1426.495239,986.838745,0.173021,-0.564578,1.533694,2201.666748,-2880.569092,1084.681396
