layout,data,timestamp
"dim: []
data_offset: 0","(0.7542425942692795, 0.06985331316189979, 0.9679121473164303, 0.016554841468514565, -0.08276283708214519, -0.00301468669294834, 1.0, 0.0, -2.191098786858794, 0.1046452522277832, 0.8108333349227905, 0.12317037582397461, 1724778755.3820808, -0.09483439475297928, 0.014198251999914646, 0.9412305951118469, -0.0006027105264365673)",1724778755.3829963
"dim: []
data_offset: 0","(0.7723756489370804, 0.08285700379675996, 0.9705059831386267, 0.023830012888308726, 0.09979180424982428, 0.003799715545228308, 1.0, 0.0, -2.2095344304312134, -0.05617797374725342, 1.094679594039917, 0.045113325119018555, 1724778755.4301975, -0.0811794251203537, 0.01301576942205429, 0.9386137127876282, -0.00643606623634696)",1724778755.4313805
"dim: []
data_offset: 0","(0.7765275304450314, 0.09023190952376894, 0.9716290460945349, 0.02439166887037807, 0.11582859575980309, 0.004690259403438985, 1.0, 0.0, -2.218513563807445, 0.33212757110595703, 0.8800650238990784, 0.04740476608276367, 1724778755.4837945, -0.06308827549219131, 0.0018414061050862074, 0.9524619579315186, -0.007220475468784571)",1724778755.4851031
"dim: []
data_offset: 0","(0.8022284147359959, 0.0873886616783977, 0.9864224568599542, 0.04183188135656128, 0.11571327951840103, 0.008421920759457998, 1.0, 0.0, -2.692097927972119, 0.533551037311554, 0.6895736455917358, 0.05964040756225586, 1724778755.5440462, -0.05066244676709175, 0.00271120248362422, 0.9569412469863892, -0.004625890403985977)",1724778755.5449064
"dim: []
data_offset: 0","(0.8204736571885847, 0.08489870629368924, 0.9865040205885459, 0.056888971127225726, 0.10140115447877718, 0.01245614007754617, 1.0, 1.0, -2.1106949558969164, 0.19271749258041382, 1.0480854511260986, 0.06548690795898438, 1724778755.610019, -0.03064657375216484, -0.0003199861675966531, 0.9533548951148987, -0.009728986769914627)",1724778755.6137438
"dim: []
data_offset: 0","(0.8204736571885847, 0.08489870629368924, 0.9865040205885459, 0.056888971127225726, 0.10140115447877718, 0.01245614007754617, 1.0, 0.0, 0.0, 0.0, 0.0, 0.004041194915771484, 1724778755.6145341, -0.03064657375216484, -0.0003199861675966531, 0.9533548951148987, -0.009728986769914627)",1724778755.6159296
"dim: []
data_offset: 0","(0.8378757626676958, 0.07203700666121834, 0.8511559608429737, 0.07554752409074963, 0.0784977055799741, -0.027329080133020732, 1.0, 1.0, -2.358701407284018, 0.2765200734138489, 0.9530950784683228, 0.05489802360534668, 1724778755.690608, -0.02661443129181862, 0.0017361612990498543, 0.9507904052734375, -0.004749924410134554)",1724778755.6910503
"dim: []
data_offset: 0","(0.8378757626676958, 0.07203700666121834, 0.8511559608429737, 0.07554752409074963, 0.0784977055799741, -0.027329080133020732, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0011820793151855469, 1724778755.6924033, -0.02661443129181862, 0.0017361612990498543, 0.9507904052734375, -0.004749924410134554)",1724778755.6939862
"dim: []
data_offset: 0","(0.8378757626676958, 0.07203700666121834, 0.8511559608429737, 0.07554752409074963, 0.0784977055799741, -0.027329080133020732, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0016467571258544922, 1724778755.6944308, -0.02661443129181862, 0.0017361612990498543, 0.9507904052734375, -0.004749924410134554)",1724778755.6948464
"dim: []
data_offset: 0","(0.8378757626676958, 0.07203700666121834, 0.8511559608429737, 0.07554752409074963, 0.0784977055799741, -0.027329080133020732, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0016856193542480469, 1724778755.7200634, -0.02661443129181862, 0.0017361612990498543, 0.9507904052734375, -0.004749924410134554)",1724778755.72128
"dim: []
data_offset: 0","(0.8378757626676958, 0.07203700666121834, 0.8511559608429737, 0.07554752409074963, 0.0784977055799741, -0.027329080133020732, 1.0, 2.0, 0.0, 0.0, 0.0, 0.010961771011352539, 1724778755.746618, -0.02661443129181862, 0.0017361612990498543, 0.9507904052734375, -0.004749924410134554)",1724778755.7479866
"dim: []
data_offset: 0","(0.8378757626676958, 0.07203700666121834, 0.8511559608429737, 0.07554752409074963, 0.0784977055799741, -0.027329080133020732, 1.0, 3.0, 0.0, 0.0, 0.0, 0.0011377334594726562, 1724778755.762501, -0.02661443129181862, 0.0017361612990498543, 0.9507904052734375, -0.004749924410134554)",1724778755.7630413
"dim: []
data_offset: 0","(0.8378757626676958, 0.07203700666121834, 0.8511559608429737, 0.07554752409074963, 0.0784977055799741, -0.027329080133020732, 1.0, 3.0, 0.0, 0.0, 0.0, 0.0011134147644042969, 1724778755.7867596, -0.02661443129181862, 0.0017361612990498543, 0.9507904052734375, -0.004749924410134554)",1724778755.787189
"dim: []
data_offset: 0","(0.8378757626676958, 0.07203700666121834, 0.8511559608429737, 0.07554752409074963, 0.0784977055799741, -0.027329080133020732, 1.0, 4.0, 0.0, 0.0, 0.0, 0.0011644363403320312, 1724778755.811888, -0.02661443129181862, 0.0017361612990498543, 0.9507904052734375, -0.004749924410134554)",1724778755.8130114
"dim: []
data_offset: 0","(0.8378757626676958, 0.07203700666121834, 0.8511559608429737, 0.07554752409074963, 0.0784977055799741, -0.027329080133020732, 1.0, 5.0, 0.0, 0.0, 0.0, 0.00113677978515625, 1724778755.836899, -0.02661443129181862, 0.0017361612990498543, 0.9507904052734375, -0.004749924410134554)",1724778755.8383343
"dim: []
data_offset: 0","(0.8378757626676958, 0.07203700666121834, 0.8511559608429737, 0.07554752409074963, 0.0784977055799741, -0.027329080133020732, 1.0, 6.0, 0.0, 0.0, 0.0, 0.0036842823028564453, 1724778755.8643198, -0.02661443129181862, 0.0017361612990498543, 0.9507904052734375, -0.004749924410134554)",1724778755.8648086
"dim: []
data_offset: 0","(0.8378757626676958, 0.07203700666121834, 0.8511559608429737, 0.07554752409074963, 0.0784977055799741, -0.027329080133020732, 1.0, 7.0, 0.0, 0.0, 0.0, 0.001451730728149414, 1724778755.8871121, -0.02661443129181862, 0.0017361612990498543, 0.9507904052734375, -0.004749924410134554)",1724778755.888062
"dim: []
data_offset: 0","(0.8378757626676958, 0.07203700666121834, 0.8511559608429737, 0.07554752409074963, 0.0784977055799741, -0.027329080133020732, 1.0, 8.0, 0.0, 0.0, 0.0, 0.0010972023010253906, 1724778755.9117553, -0.02661443129181862, 0.0017361612990498543, 0.9507904052734375, -0.004749924410134554)",1724778755.9127572
"dim: []
data_offset: 0","(0.8378757626676958, 0.07203700666121834, 0.8511559608429737, 0.07554752409074963, 0.0784977055799741, -0.027329080133020732, 1.0, 9.0, 0.0, 0.0, 0.0, 0.003030061721801758, 1724778755.9387352, -0.02661443129181862, 0.0017361612990498543, 0.9507904052734375, -0.004749924410134554)",1724778755.9394433
"dim: []
data_offset: 0","(0.8378757626676958, 0.07203700666121834, 0.8511559608429737, 0.07554752409074963, 0.0784977055799741, -0.027329080133020732, 1.0, 10.0, 0.0, 0.0, 0.0, 0.001024484634399414, 1724778755.9619875, -0.02661443129181862, 0.0017361612990498543, 0.9507904052734375, -0.004749924410134554)",1724778755.9625535
