Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
1,0,-0.007508,0.034565,-1.565101,-1255.241699,-1373.556641,1114.885010
2,0,-0.004449,0.033344,-1.566279,-1256.055664,-1372.287720,1114.880615
3,0,-0.003926,0.033743,-1.566931,-1256.612427,-1371.403076,1114.982544
4,0,-0.002553,0.037202,-1.565634,-1257.344360,-1370.174683,1115.041504
5,0,-0.004022,0.034053,-1.564027,-1258.133911,-1368.883789,1115.244629
6,0,-0.005308,0.033367,-1.564082,-1258.844482,-1367.578003,1115.496094
7,0,-0.003159,0.035888,-1.565715,-1259.705933,-1366.384888,1115.607910
8,0,-0.006348,0.034860,-1.565260,-1260.468140,-1365.373535,1115.871338
9,0,-0.005039,0.036142,-1.565655,-1261.260620,-1364.285156,1116.136475
10,0,-0.005525,0.034680,-1.566728,-1262.258057,-1362.775024,1116.680664
11,0,-0.007779,0.036256,-1.566548,-1263.042480,-1361.884033,1116.991699
12,0,-0.007024,0.037893,-1.565789,-1263.840820,-1360.833862,1117.326416
13,0,-0.007053,0.038808,-1.566698,-1264.751831,-1359.705933,1117.697021
14,0,-0.007081,0.039980,-1.566400,-1265.528320,-1358.898315,1118.136475
15,0,-0.005829,0.044185,-1.564575,-1266.502930,-1357.709961,1118.526855
16,0,-0.004943,0.047158,-1.566624,-1267.474854,-1356.769531,1118.683350
17,0,-0.002530,0.047879,-1.565616,-1268.408936,-1356.014648,1118.971558
18,0,-0.000752,0.049583,-1.563611,-1269.411743,-1354.807007,1119.141235
19,0,-0.002365,0.050230,-1.566044,-1270.493774,-1353.780762,1119.077881
20,0,-0.002841,0.052267,-1.563482,-1271.464844,-1353.063477,1119.007812
21,0,0.000508,0.052905,-1.564681,-1272.561523,-1351.876343,1118.965698
22,0,0.000285,0.052340,-1.566583,-1273.728027,-1350.916260,1118.814575
23,0,-0.000847,0.048370,-1.566066,-1274.717041,-1350.170776,1118.792969
24,0,0.000056,0.052324,-1.565584,-1275.920288,-1348.981201,1118.629395
25,0,-0.002936,0.053499,-1.566632,-1276.880493,-1348.000610,1118.542603
26,0,-0.004974,0.051248,-1.567786,-1277.914185,-1346.982178,1118.736694
27,0,-0.004423,0.056663,-1.566914,-1278.983154,-1346.145142,1118.621460
28,0,-0.006527,0.059233,-1.567849,-1280.008789,-1345.230347,1118.673706
29,0,-0.007394,0.058477,-1.566209,-1281.055420,-1344.537842,1118.648682
30,0,-0.007397,0.059955,-1.566386,-1282.122681,-1343.740845,1118.757080
31,0,-0.009229,0.061122,-1.565794,-1283.248047,-1342.893066,1118.877319
32,0,-0.012463,0.064875,-1.566784,-1284.148926,-1342.211304,1118.970703
33,0,-0.013776,0.065648,-1.566607,-1285.384888,-1341.213135,1119.104736
34,0,-0.014813,0.067372,-1.567208,-1286.402466,-1340.575195,1119.152832
35,0,-0.016799,0.069910,-1.566603,-1287.350464,-1340.005493,1119.233032
36,0,-0.014755,0.069404,-1.565766,-1288.569824,-1339.160156,1119.425415
37,0,-0.014714,0.071435,-1.565487,-1289.609619,-1338.587891,1119.447021
38,0,-0.014959,0.075264,-1.564515,-1290.608643,-1338.169678,1119.507568
39,0,-0.013577,0.078410,-1.564912,-1291.680664,-1337.685303,1119.572266
40,0,-0.012257,0.080059,-1.565669,-1292.772461,-1337.050903,1119.656860
41,0,-0.011857,0.081939,-1.565519,-1293.796387,-1336.582397,1119.666748
42,0,-0.012757,0.084796,-1.564867,-1294.753784,-1336.160278,1119.721436
43,0,-0.013274,0.083740,-1.563334,-1295.818970,-1335.338745,1119.950806
