layout,data,timestamp
"dim: []
data_offset: 0","(1.4986902718161483, -0.08675222186404513, 0.8606969076957446, 0.0012351669153226703, -0.020628450809386585, -0.0019247249795213354, 1.0, 0.0, -2.191098786858794, 0.09848034381866455, 0.7806700468063354, 0.08631134033203125, 1724807393.049182, -0.12418553978204727, 0.012645959854125977, 0.845304012298584, 0.010662608779966831)",1724807393.051788
"dim: []
data_offset: 0","(1.465988969852695, -0.0857786288147015, 0.8622957982307947, -0.024505785674876795, 0.023194317858382347, 0.0024158382882928583, 1.0, 0.0, -2.2095344304312134, 0.03809916973114014, 1.0652315616607666, 0.030823707580566406, 1724807393.0806277, -0.11517041176557541, 0.008944693952798843, 0.8398469686508179, 0.006020941771566868)",1724807393.0816035
"dim: []
data_offset: 0","(1.4339520967414452, -0.08486443294420457, 0.8629897702999635, -0.03964550682253136, 0.023403645632942595, 0.0029638372134559174, 1.0, 0.0, -2.2185133368094325, 0.22028380632400513, 0.8476766347885132, 0.028695106506347656, 1724807393.1097896, -0.11071283370256424, 0.007776954676955938, 0.8524477481842041, 0.002388303168118)",1724807393.1104128
"dim: []
data_offset: 0","(1.418206317051272, -0.08799218842590617, 0.8591834346673118, -0.05047007714850672, 0.02039056743894435, 0.0022138401103951487, 1.0, 0.0, -2.692097927972119, 0.4008195996284485, 0.6504191160202026, 0.04208636283874512, 1724807393.1526797, -0.10853651911020279, 0.012429790571331978, 0.8533151745796204, 0.004001820459961891)",1724807393.1531603
"dim: []
data_offset: 0","(1.4190731436828914, -0.09323945729450163, 0.8548855588310127, -0.0658199895592105, 0.009808485487811668, -2.8044239224601355e-05, 1.0, 0.0, -2.1106951828949283, 0.05929422378540039, 0.9850276708602905, 0.0371708869934082, 1724807393.1905777, -0.10536583513021469, 0.015980388969182968, 0.8477780222892761, 0.011721455492079258)",1724807393.1910965
"dim: []
data_offset: 0","(1.3980018205974165, -0.10111629469913798, 0.8386898344548938, -0.0805563989199704, -0.005721171999741424, -0.005968655280947354, 1.0, 0.0, -2.3587011802860056, 0.15204691886901855, 0.9363198280334473, 0.040535926818847656, 1724807393.2317905, -0.08727102726697922, 0.003592986846342683, 0.8551480770111084, 0.0020107224117964506)",1724807393.2324076
"dim: []
data_offset: 0","(1.38099209157097, -0.11385947364294607, 0.7825712410172325, -0.08778473365576808, -0.02896132382821969, -0.028329916978686098, 1.0, 0.0, -2.7362163536590143, -0.1545742154121399, 0.9842764139175415, 0.037795305252075195, 1724807393.2703798, -0.07310251146554947, -0.005220616701990366, 0.8555763959884644, -0.01418931782245636)",1724807393.2709203
"dim: []
data_offset: 0","(1.3368650955702603, -0.11990031698194395, 0.756028460024769, -0.11917719548553525, -0.05078162358663115, -0.05270178982068978, 1.0, 0.0, -2.3004612082512654, 0.00924980640411377, 0.6287806034088135, 0.05097222328186035, 1724807393.3256884, -0.11592321842908859, -0.00041587569285184145, 0.8267835974693298, -0.022532235831022263)",1724807393.3266737
"dim: []
data_offset: 0","(1.3278477666400335, -0.12755432086122817, 0.7498261824382436, -0.1500192889900755, -0.06346541586239594, -0.061390296433392666, 1.0, 0.0, -2.215288149050066, -0.18111491203308105, 0.6925479173660278, 0.04150819778442383, 1724807393.3676255, -0.10836411267518997, 0.005693322047591209, 0.8235189914703369, -0.028039027005434036)",1724807393.3683994
"dim: []
data_offset: 0","(1.2985025840803799, -0.13653983791168128, 0.7554128267508899, -0.16668154360322618, -0.07915001968575924, -0.059667438767678396, 1.0, 0.0, -2.1521920085372765, -0.1954209804534912, 0.5546929240226746, 0.04099416732788086, 1724807393.4090266, -0.1040460541844368, 0.017743950709700584, 0.8008704781532288, -0.048082441091537476)",1724807393.4097877
