Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
42,0,-0.069565,0.030204,1.527431,2431.146240,-3303.798340,1063.689087,-0.001686,-0.185504,-1.596422,2386.940186,-1877.721802,1018.512817
43,0,-0.069330,0.047062,1.538945,2429.969238,-3306.180420,1064.043701,-0.002013,-0.184309,-1.596807,2385.901855,-1878.110596,1018.399597
44,0,-0.068463,0.050547,1.535418,2428.707764,-3308.216064,1064.061035,-0.001648,-0.182642,-1.597812,2384.958008,-1878.428345,1018.169189
45,0,-0.069726,0.051661,1.530989,2427.786621,-3309.974365,1063.768433,-0.003676,-0.178914,-1.597505,2384.132080,-1878.840088,1018.080383
46,0,-0.064890,0.046059,1.528158,2425.463135,-3310.961670,1063.029053,-0.002225,-0.167182,-1.598680,2383.486816,-1879.420776,1018.429016
47,0,-0.063284,0.064036,1.532455,2424.276855,-3312.975098,1063.254150,-0.005280,-0.163627,-1.598728,2382.609131,-1879.744995,1018.323425
48,0,-0.062900,0.063498,1.533641,2424.003418,-3315.483398,1063.515625,-0.007958,-0.161362,-1.598433,2381.667969,-1879.987427,1018.234619
49,0,-0.058419,0.066029,1.535911,2423.013916,-3317.224121,1063.502808,-0.015807,-0.168095,-1.596159,2380.547119,-1880.084961,1017.809875
50,0,-0.060067,0.069820,1.532628,2421.635986,-3318.997559,1063.409790,-0.015242,-0.168057,-1.596680,2379.535889,-1880.286743,1017.600769
51,0,-0.059326,0.072839,1.534419,2420.483154,-3320.684570,1063.404541,-0.016425,-0.166975,-1.596595,2378.592773,-1880.548706,1017.467529
52,0,-0.057774,0.068560,1.532762,2419.184326,-3322.295410,1063.299194,-0.014567,-0.162976,-1.598071,2377.646240,-1880.895630,1017.619751
53,0,-0.057262,0.073285,1.535170,2417.577393,-3323.696289,1063.025879,-0.016661,-0.162153,-1.597576,2376.673340,-1881.044678,1017.516235
54,0,-0.056310,0.071328,1.533365,2416.148438,-3325.054932,1062.794312,-0.020164,-0.160787,-1.597289,2375.740967,-1881.149170,1017.429016
55,0,-0.056293,0.072334,1.533591,2414.664062,-3326.501465,1062.573120,-0.023623,-0.158963,-1.597235,2374.821533,-1881.199951,1017.302490
56,0,-0.055103,0.074795,1.534940,2413.357422,-3327.897705,1062.439697,-0.026089,-0.157498,-1.597313,2373.945068,-1881.258179,1017.204285
57,0,-0.056351,0.075182,1.532925,2411.822021,-3329.273193,1062.088135,-0.025836,-0.157183,-1.598210,2373.072021,-1881.237427,1016.983032
58,0,-0.053517,0.073897,1.535876,2410.464844,-3330.726807,1061.870239,-0.032702,-0.158072,-1.596048,2372.141113,-1881.195190,1016.750671
59,0,-0.051786,0.074594,1.535581,2409.144043,-3331.912354,1061.549927,-0.035938,-0.157015,-1.595357,2371.195312,-1881.271851,1016.762878
60,0,-0.049378,0.072982,1.534634,2407.926514,-3333.259277,1061.342773,-0.034892,-0.157096,-1.595630,2370.217285,-1881.255005,1016.654724
61,0,-0.045956,0.074852,1.536767,2406.631348,-3334.469727,1061.109619,-0.028479,-0.155465,-1.597535,2369.289551,-1881.313721,1016.646851
62,0,-0.043654,0.073654,1.537186,2405.193359,-3335.562012,1060.719727,-0.027526,-0.156255,-1.597484,2368.244141,-1881.285889,1016.458740
63,0,-0.039196,0.074936,1.537225,2403.947021,-3336.615479,1060.524292,-0.023534,-0.158514,-1.598522,2367.151367,-1881.145264,1016.155273
64,0,-0.038384,0.077640,1.538092,2402.604248,-3337.702637,1060.140137,-0.027067,-0.160957,-1.596985,2366.137939,-1881.007324,1015.835999
65,0,-0.034464,0.077957,1.539868,2401.331787,-3338.787598,1059.739868,-0.028027,-0.160495,-1.595781,2365.232910,-1881.014282,1015.821472
66,0,-0.030217,0.073264,1.540162,2399.756836,-3339.917480,1059.337402,-0.025046,-0.161733,-1.596844,2364.341797,-1880.805420,1015.575317
67,0,-0.031272,0.074229,1.540170,2398.778076,-3340.784912,1059.170044,-0.025098,-0.161725,-1.596828,2363.504150,-1880.628052,1015.422729
