timestamp,data
1724190877.5580707,"[0.16551715103571107, 0.051213545155933585, 0.09796694647448013, 0.0, 0.0, 0.0]"
1724190877.5685432,"[0.16595568205667507, 0.05105934697145069, 0.09864157249630359, 0.0, 0.0, 0.0]"
1724190877.5794394,"[0.1680471447616578, 0.049489811100378846, 0.10036791096949907, 0.0, 0.0, 0.0]"
1724190877.5953598,"[0.16906669237753383, 0.048691545218341035, 0.10154515304631583, 0.0, 0.0, 0.0]"
1724190877.6015446,"[0.17021946137267174, 0.04902299110619946, 0.10223774871868935, 0.0, 0.0, 0.0]"
1724190877.610352,"[0.1697955281167089, 0.047479422311486164, 0.10285608573978507, 0.0, 0.0, 0.0]"
1724190877.619045,"[0.1700930484276427, 0.04740428030358681, 0.10323545192763237, 0.0, 0.0, 0.0]"
1724190877.6236424,"[0.16389665334556408, 0.04631092715183532, 0.09944470277556311, 0.0, 0.0, 0.0]"
1724190877.6308744,"[0.16397651868726806, 0.04575080204899848, 0.10003779229022686, 0.0, 0.0, 0.0]"
1724190877.6391978,"[0.16434780331340706, 0.046182343762531546, 0.10030720595690376, 0.0, 0.0, 0.0]"
1724190877.641854,"[0.1624995621221919, 0.048871951000801196, 0.09729988374567451, 0.0, 0.0, 0.0]"
1724190877.6499398,"[0.16363857774454374, 0.049214511405012415, 0.09798189227660214, 0.0, 0.0, 0.0]"
1724190877.6590009,"[0.16343461778003, 0.04864128934794644, 0.0988629878043754, 0.0, 0.0, 0.0]"
1724190877.669005,"[0.16370580124757397, 0.04813693715325101, 0.09996726882183163, 0.0, 0.0, 0.0]"
1724190877.6804004,"[0.16361195334740983, 0.04735184701537282, 0.10122245531100102, 0.0, 0.0, 0.0]"
1724190877.6831548,"[0.16041502232527327, 0.044056598697454964, 0.10022699554608823, 0.0, 0.0, 0.0]"
1724190877.6898732,"[0.1615394266873663, 0.044365406632250214, 0.1009295212158038, 0.0, 0.0, 0.0]"
1724190877.6999457,"[0.16177639268133204, 0.043887943813821245, 0.1022366132486545, 0.0, 0.0, 0.0]"
1724190877.7106652,"[0.16077192195753473, 0.04402175311985103, 0.10480685443069847, 0.0, 0.0, 0.0]"
1724190877.7145834,"[0.15671030318243515, 0.042786678403616905, 0.1032794622332743, 0.0, 0.0, 0.0]"
1724190877.720308,"[0.1578087398869849, 0.043086585027941326, 0.10400338369752624, 0.0, 0.0, 0.0]"
1724190877.7287626,"[0.15793043444555524, 0.042722894449388094, 0.1056171849216799, 0.0, 0.0, 0.0]"
1724190877.7399914,"[0.15761332786489923, 0.04231422855622382, 0.10731427681226152, 0.0, 0.0, 0.0]"
1724190877.7439873,"[0.15387360712452428, 0.04233885211446628, 0.10063806452815725, 0.0, 0.0, 0.0]"
1724190877.7494218,"[0.15495216044549057, 0.04263561976947422, 0.1013434715225135, 0.0, 0.0, 0.0]"
1724190877.76102,"[0.1548404243646612, 0.042113832735441864, 0.1030224741839427, 0.0, 0.0, 0.0]"
1724190877.7707844,"[0.1546159038628829, 0.041578341048794536, 0.10483870987305399, 0.0, 0.0, 0.0]"
1724190877.7808537,"[0.1548857700100661, 0.04083225472722427, 0.10664900500534, 0.0, 0.0, 0.0]"
