Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
86,0,0.049295,-0.092504,1.483318,404.179932,-3033.022705,1040.562866
87,0,0.048475,-0.090687,1.483911,404.001526,-3033.228027,1040.556885
88,0,0.048831,-0.090833,1.484762,403.880249,-3033.422363,1040.528931
89,0,0.049197,-0.091429,1.485261,403.814575,-3033.635742,1040.458496
90,0,0.047786,-0.090391,1.485351,403.671265,-3033.794189,1040.417358
91,0,0.047854,-0.090532,1.486170,403.581970,-3033.977539,1040.380493
92,0,0.047306,-0.089590,1.486273,403.421783,-3034.096924,1040.336670
93,0,0.046313,-0.078360,1.481220,402.654663,-3033.714111,1040.568970
94,0,0.045804,-0.089288,1.486746,403.169281,-3034.375244,1040.263428
95,0,0.044620,-0.078457,1.481687,402.392242,-3033.946289,1040.471436
96,0,0.043560,-0.077388,1.481066,402.322388,-3034.049561,1040.392700
97,0,0.044041,-0.078204,1.480984,402.091339,-3034.147949,1040.367920
98,0,0.043897,-0.077570,1.481238,401.848114,-3034.292725,1040.201050
99,0,0.043751,-0.080361,1.483405,401.062805,-3034.109375,1040.271851
100,0,0.048118,-0.096089,1.488284,402.230042,-3035.218506,1039.897583
101,0,0.047694,-0.092325,1.488889,401.944794,-3035.292236,1039.740967
102,0,0.048603,-0.093111,1.489542,401.844788,-3035.352051,1039.587036
103,0,0.049366,-0.096304,1.489004,401.996552,-3035.615723,1039.452148
104,0,0.048325,-0.091127,1.489275,401.686340,-3035.635742,1039.263550
105,0,0.050719,-0.092335,1.491376,401.428009,-3035.730957,1039.184326
106,0,0.041966,-0.050227,1.501822,400.383606,-3036.052490,1039.872803
107,0,0.041558,-0.049760,1.501982,400.174316,-3036.137939,1039.721924
108,0,0.042911,-0.051472,1.502698,399.930969,-3036.117920,1039.522095
109,0,0.042456,-0.070290,1.485605,400.230377,-3035.435303,1038.649292
110,0,0.042238,-0.079528,1.492135,400.502380,-3035.888428,1038.287354
111,0,0.038881,-0.066599,1.486117,400.033264,-3035.512695,1038.382080
112,0,0.041347,-0.078283,1.494239,400.232513,-3036.005127,1038.078003
113,0,0.040848,-0.079413,1.497213,400.082581,-3036.253174,1037.966919
114,0,0.037233,-0.065079,1.490346,399.572479,-3035.801025,1038.155518
115,0,0.040392,-0.061936,1.494659,399.334686,-3035.630615,1037.484863
116,0,0.037833,-0.070642,1.500383,399.480072,-3035.978271,1037.156738
117,0,0.036985,-0.072246,1.501030,399.191467,-3036.175293,1037.109741
118,0,0.038893,-0.073665,1.502627,398.915405,-3036.407715,1037.171021
119,0,0.036123,-0.073205,1.502166,398.676422,-3036.501221,1037.078735
120,0,0.037447,-0.075561,1.503640,398.413818,-3036.710938,1037.131714
121,0,0.047664,-0.083444,1.507069,398.108765,-3037.101562,1037.562622
122,0,0.047649,-0.084304,1.507525,397.955322,-3037.241455,1037.584351
123,0,0.046756,-0.084349,1.508628,397.842316,-3037.345947,1037.577881
124,0,0.045098,-0.075925,1.501827,397.355682,-3037.010498,1037.746826
125,0,0.046519,-0.078036,1.502752,397.148224,-3037.098633,1037.818726
126,0,0.046048,-0.077711,1.502913,397.062805,-3037.158691,1037.823486
127,0,0.046111,-0.077241,1.503037,396.991669,-3037.188965,1037.885986
128,0,0.050954,-0.084959,1.504303,396.274506,-3037.004395,1038.349487
129,0,0.054310,-0.083699,1.503850,396.595032,-3037.247070,1038.345215
130,0,0.054512,-0.083075,1.503145,396.638763,-3037.266357,1038.361328
131,0,0.056041,-0.084252,1.504187,396.479950,-3037.367920,1038.416016
132,0,0.056944,-0.084391,1.504501,396.383606,-3037.468750,1038.452881
133,0,0.057532,-0.084275,1.503462,396.404541,-3037.592041,1038.486694
134,0,0.059873,-0.086544,1.504724,396.189545,-3037.779297,1038.531372
135,0,0.046794,-0.082081,1.500433,396.318695,-3038.220947,1038.797241
136,0,0.043311,-0.065599,1.508279,395.644165,-3038.597168,1039.084839
137,0,0.041224,-0.067883,1.509952,394.723694,-3038.269043,1039.283936
138,0,0.042885,-0.065525,1.508083,395.390564,-3038.797363,1039.007690
139,0,0.042969,-0.066042,1.507988,395.202271,-3038.843994,1038.976318
140,0,0.043171,-0.066050,1.508116,395.058380,-3038.869873,1038.936279
141,0,0.043198,-0.066132,1.508452,394.958130,-3038.840576,1038.849121
142,0,0.042096,-0.063484,1.508878,394.769562,-3038.779785,1038.679565
143,0,0.039622,-0.061920,1.508976,394.866364,-3038.713135,1038.625854
144,0,0.035955,-0.054488,1.514627,395.456055,-3039.093994,1038.601074
145,0,0.035795,-0.053493,1.514954,395.384674,-3038.919678,1038.505859
146,0,0.035220,-0.051870,1.515156,395.415833,-3038.732178,1038.459717
147,0,0.035183,-0.052014,1.515652,395.438690,-3038.620850,1038.465332
148,0,0.031437,-0.048405,1.516059,395.288269,-3038.356934,1038.323608
149,0,0.035108,-0.050571,1.516038,395.375763,-3038.250244,1038.448975
150,0,0.036758,-0.055239,1.510978,394.813416,-3037.632812,1038.353882
151,0,0.036791,-0.055210,1.511309,394.803650,-3037.524414,1038.442993
152,0,0.037235,-0.060574,1.508908,394.966614,-3037.455078,1038.458740
153,0,0.051796,-0.067695,1.512597,394.979462,-3037.105469,1038.220825
154,0,0.052435,-0.068366,1.512506,394.902161,-3037.079102,1038.323486
155,0,0.038442,-0.063822,1.508934,395.037659,-3037.248291,1038.668945
156,0,0.051428,-0.066611,1.512583,394.638550,-3036.944824,1038.495972
157,0,0.042359,-0.068887,1.515847,395.229889,-3037.789795,1039.050171
158,0,0.043518,-0.070574,1.515713,395.132050,-3037.843750,1039.237427
159,0,0.042261,-0.071934,1.515635,395.195831,-3037.907715,1039.379395
160,0,0.045568,-0.074562,1.515419,394.926636,-3037.865967,1039.663818
161,0,0.044427,-0.074875,1.515230,394.874237,-3037.954834,1039.790894
162,0,0.047224,-0.076264,1.516134,395.005432,-3037.968262,1039.871094
163,0,0.046437,-0.076840,1.514864,394.648102,-3037.901367,1040.130859
164,0,0.046220,-0.077283,1.514868,394.638275,-3037.897461,1040.295288
165,0,0.046998,-0.076888,1.514658,394.554016,-3037.820801,1040.406860
166,0,0.044591,-0.060346,1.514433,393.928131,-3037.562744,1040.806519
167,0,0.044782,-0.059646,1.514970,393.871521,-3037.477783,1040.912231
168,0,0.059347,-0.068660,1.512200,393.139069,-3036.635498,1040.655518
169,0,0.059196,-0.067881,1.512238,393.104156,-3036.518066,1040.705200
170,0,0.060127,-0.067945,1.512421,393.013214,-3036.322266,1040.789307
171,0,0.058090,-0.062246,1.514395,392.530640,-3036.264404,1040.964844
172,0,0.058420,-0.064628,1.513143,392.697723,-3036.031738,1040.979736
173,0,0.047579,-0.069366,1.508332,393.001068,-3036.070557,1041.135498
174,0,0.052558,-0.073104,1.508307,392.672150,-3035.767334,1041.362671
175,0,0.048402,-0.071372,1.510311,392.234497,-3035.459961,1041.331909
176,0,0.052847,-0.074259,1.509678,392.396942,-3035.503418,1041.454102
177,0,0.068667,-0.084415,1.513568,391.934998,-3034.969971,1041.365234
178,0,0.062231,-0.078455,1.513951,392.354065,-3035.166504,1041.132324
179,0,0.063123,-0.079950,1.514491,392.165253,-3035.015869,1041.204102
180,0,0.049519,-0.076573,1.511854,392.194183,-3035.189453,1041.502075
181,0,0.048356,-0.076480,1.511895,392.064911,-3035.059570,1041.513550
182,0,0.049545,-0.077995,1.512721,391.888947,-3034.982666,1041.633301
183,0,0.048070,-0.078039,1.512941,391.726959,-3034.846924,1041.651978
184,0,0.047996,-0.079359,1.513292,391.542999,-3034.721680,1041.693848
185,0,0.047735,-0.079852,1.513779,391.366547,-3034.614502,1041.685425
186,0,0.048741,-0.081563,1.514943,391.131683,-3034.503662,1041.724365
187,0,0.057276,-0.084065,1.525694,391.548218,-3034.685791,1041.388550
188,0,0.058080,-0.084662,1.526449,391.328217,-3034.560303,1041.368652
189,0,0.045425,-0.078972,1.515618,390.789764,-3033.995361,1041.555908
190,0,0.041702,-0.064030,1.524690,390.813477,-3034.364746,1041.681030
191,0,0.041923,-0.062559,1.525709,390.709747,-3034.199219,1041.607788
192,0,0.041680,-0.062105,1.527098,390.619934,-3034.041016,1041.503052
193,0,0.042528,-0.062756,1.528065,390.517578,-3033.889648,1041.443237
194,0,0.038878,-0.059959,1.529450,390.340759,-3033.710938,1041.202393
195,0,0.040681,-0.060232,1.530510,390.109131,-3033.512207,1041.081787
196,0,0.032789,-0.065319,1.516576,390.542969,-3032.383789,1039.839844
197,0,0.033362,-0.065590,1.517504,390.451721,-3032.211182,1039.686646
198,0,0.035117,-0.067164,1.518563,390.362335,-3032.122559,1039.604370
199,0,0.032008,-0.064007,1.518488,390.332153,-3031.908691,1039.434570
200,0,0.034372,-0.064885,1.520674,390.200806,-3031.864258,1039.379517
201,0,0.034643,-0.064775,1.521690,390.107574,-3031.775391,1039.226807
202,0,0.033733,-0.064275,1.523169,390.006836,-3031.709961,1039.051025
203,0,0.031954,-0.066743,1.522728,390.053101,-3031.816895,1039.159180
204,0,0.032305,-0.067859,1.524114,389.989777,-3031.758301,1039.166504
205,0,0.032068,-0.067773,1.525660,389.803986,-3031.679199,1039.031128
206,0,0.031466,-0.067366,1.526600,389.702484,-3031.560547,1038.871826
207,0,0.031127,-0.066986,1.527563,389.578156,-3031.473877,1038.760864
208,0,0.051824,-0.072661,1.535120,389.094727,-3031.017334,1038.420410
209,0,0.050890,-0.071095,1.535913,388.792633,-3030.877197,1038.247437
210,0,0.048790,-0.072576,1.535036,388.926453,-3030.787109,1038.186523
211,0,0.036587,-0.060391,1.535792,388.794800,-3030.640381,1037.728027
212,0,0.035394,-0.060698,1.535773,388.771179,-3030.581543,1037.666626
213,0,0.023309,-0.057100,1.533040,388.642151,-3030.660889,1037.806763
214,0,0.024851,-0.068025,1.530530,388.693207,-3031.006592,1038.191284
215,0,0.023359,-0.067134,1.530696,388.651764,-3030.922363,1038.169312
216,0,0.021748,-0.064761,1.529755,388.691742,-3030.839111,1038.048706
217,0,0.023258,-0.067458,1.530738,388.511597,-3030.809814,1038.022949
218,0,0.017349,-0.066289,1.530993,387.983917,-3030.457764,1038.056152
219,0,0.021882,-0.066560,1.530529,388.321198,-3030.679932,1037.879883
220,0,0.021648,-0.066573,1.529855,388.291504,-3030.572510,1037.837036
221,0,0.024215,-0.080789,1.534253,388.512573,-3030.737793,1037.464722
222,0,0.023415,-0.080021,1.534658,388.498016,-3030.685303,1037.412598
223,0,0.021560,-0.066901,1.530630,388.200989,-3030.395264,1037.681274
224,0,0.023495,-0.080391,1.536073,388.366180,-3030.604980,1037.348633
225,0,0.023864,-0.080863,1.535959,388.325134,-3030.505859,1037.339478
226,0,0.022821,-0.079954,1.535166,388.297333,-3030.391602,1037.310181
227,0,0.023047,-0.079845,1.536248,388.230774,-3030.383057,1037.257202
228,0,0.022877,-0.080145,1.536601,388.180969,-3030.290283,1037.250732
229,0,0.021411,-0.078264,1.536275,388.226593,-3030.152832,1037.143799
230,0,0.022876,-0.080115,1.537284,388.045624,-3030.067627,1037.194214
231,0,0.023448,-0.080875,1.537635,387.995728,-3029.936279,1037.149658
232,0,0.022925,-0.080603,1.538433,387.961792,-3029.831543,1037.137329
233,0,0.020767,-0.066807,1.534543,387.587494,-3029.475342,1037.401489
234,0,0.022540,-0.080582,1.539314,387.841522,-3029.539551,1037.053589
235,0,0.041567,-0.077530,1.548410,387.481934,-3029.159668,1036.942139
236,0,0.030663,-0.084229,1.542815,387.735565,-3029.484863,1037.268677
237,0,0.030352,-0.085028,1.543582,387.671417,-3029.345459,1037.235962
238,0,0.029694,-0.087005,1.545483,387.655914,-3029.404297,1037.106812
239,0,0.028747,-0.084771,1.544224,387.493073,-3029.090820,1037.177856
240,0,0.028257,-0.084631,1.545390,387.428528,-3028.958252,1037.163940
241,0,0.027157,-0.073869,1.540763,386.765228,-3028.393799,1037.317139
242,0,0.028312,-0.074540,1.540234,386.693970,-3028.244873,1037.328491
243,0,0.025780,-0.074622,1.541641,386.688812,-3028.136719,1037.367432
244,0,0.025185,-0.074387,1.541999,386.600189,-3028.020020,1037.340698
245,0,0.049276,-0.088653,1.550891,384.985901,-3027.017090,1037.381226
246,0,0.045965,-0.087991,1.548621,385.908783,-3027.487061,1037.408569
247,0,0.045545,-0.088753,1.549231,385.832855,-3027.379395,1037.426880
248,0,0.044916,-0.088198,1.549608,385.769775,-3027.300781,1037.414307
249,0,0.030970,-0.085720,1.545825,385.878784,-3027.493164,1037.644775
250,0,0.030882,-0.085211,1.546275,385.810638,-3027.358887,1037.647949
251,0,0.031716,-0.086467,1.546836,385.835693,-3027.202881,1037.717773
252,0,0.031291,-0.086505,1.547142,385.699890,-3027.027100,1037.656860
253,0,0.031153,-0.086575,1.547936,385.673859,-3027.000244,1037.676147
254,0,0.028456,-0.083704,1.546560,385.825134,-3026.789795,1037.655273
255,0,0.026071,-0.080541,1.550026,385.000000,-3026.318604,1037.491699
256,0,0.028156,-0.082437,1.547288,385.662201,-3026.670166,1037.557007
257,0,0.027929,-0.082062,1.547392,385.607239,-3026.550781,1037.504639
258,0,0.028173,-0.081395,1.547531,385.564819,-3026.432861,1037.446411
259,0,0.027087,-0.081735,1.549821,384.866699,-3025.958740,1037.461426
260,0,0.045020,-0.085686,1.554192,384.777283,-3025.642578,1037.148926
261,0,0.042874,-0.092660,1.557805,385.714233,-3026.221436,1036.948120
262,0,0.037583,-0.075225,1.565631,385.684052,-3026.664307,1037.268921
263,0,0.039903,-0.074198,1.558203,385.029877,-3026.001221,1037.308594
264,0,0.037667,-0.074392,1.565897,385.591125,-3026.517578,1037.265015
265,0,0.025840,-0.049290,1.567227,385.027893,-3026.490723,1037.207886
266,0,0.035113,-0.058508,1.568063,384.744415,-3026.557861,1037.642090
267,0,0.035161,-0.059177,1.568189,384.659607,-3026.572510,1037.667603
268,0,0.038735,-0.065846,1.562721,384.158997,-3026.144043,1037.625488
269,0,0.036081,-0.060821,1.568563,384.584961,-3026.585938,1037.769775
270,0,0.036688,-0.061311,1.568317,384.515411,-3026.544922,1037.838257
271,0,0.036230,-0.061054,1.568232,384.491608,-3026.498047,1037.899780
272,0,0.037719,-0.064194,1.562904,383.877777,-3025.943359,1037.653687
273,0,0.036839,-0.069071,1.567971,384.820770,-3026.406738,1037.730835
274,0,0.040781,-0.074395,1.559084,384.574402,-3025.707275,1037.618286
275,0,0.025958,-0.071583,1.561857,385.491119,-3026.561035,1037.899414
276,0,0.027326,-0.070029,1.555745,384.750092,-3025.881836,1037.931396
277,0,0.027381,-0.070491,1.555704,384.795715,-3025.853516,1038.008057
278,0,0.028401,-0.071755,1.555318,384.834778,-3025.849121,1038.004761
279,0,0.028234,-0.071107,1.555249,384.787262,-3025.822998,1038.028809
280,0,0.028945,-0.064882,1.558664,384.267426,-3025.837646,1038.213257
281,0,0.029290,-0.070957,1.555236,384.639099,-3025.767090,1038.031738
282,0,0.029484,-0.071529,1.555876,384.535278,-3025.745117,1038.094238
283,0,0.035090,-0.084125,1.550897,384.822113,-3025.628418,1038.117676
284,0,0.039652,-0.076507,1.555348,384.609741,-3025.225342,1037.426880
285,0,0.026882,-0.073380,1.550501,384.895264,-3025.510010,1037.774170
286,0,0.026352,-0.073672,1.550788,384.778290,-3025.494141,1037.779053
287,0,0.026671,-0.073993,1.550827,384.782623,-3025.494141,1037.803589
288,0,0.026152,-0.073530,1.550523,384.716675,-3025.444824,1037.841919
289,0,0.026498,-0.074121,1.550696,384.739990,-3025.395752,1037.893311
290,0,0.026441,-0.074085,1.550967,384.726532,-3025.345703,1037.918701
291,0,0.026707,-0.073045,1.550912,384.776886,-3025.252930,1037.963745
292,0,0.038431,-0.074291,1.556020,384.639526,-3024.843262,1037.661255
293,0,0.048604,-0.085789,1.557660,384.192780,-3024.883545,1038.074341
294,0,0.037530,-0.082495,1.552906,384.451172,-3024.974121,1038.472412
295,0,0.034508,-0.081399,1.553456,384.677979,-3025.157715,1038.392578
296,0,0.037991,-0.082875,1.553566,384.426605,-3024.970703,1038.535278
297,0,0.037863,-0.082661,1.553345,384.385376,-3024.915771,1038.529663
298,0,0.038461,-0.083180,1.553328,384.399323,-3024.953369,1038.566895
299,0,0.035147,-0.082090,1.553445,384.655853,-3025.156494,1038.523315
300,0,0.037115,-0.082341,1.552581,384.631226,-3024.950928,1038.654419
301,0,0.038724,-0.084127,1.552748,384.488647,-3024.929199,1038.731445
302,0,0.039431,-0.083872,1.552228,384.523315,-3024.957764,1038.747559
303,0,0.035282,-0.081372,1.552914,384.690155,-3025.128174,1038.583862
304,0,0.039674,-0.083272,1.552222,384.465942,-3024.963623,1038.651123
305,0,0.039109,-0.081568,1.551597,384.662842,-3024.970215,1038.644531
306,0,0.041120,-0.082972,1.551566,384.643311,-3025.032715,1038.695557
307,0,0.036990,-0.081023,1.553102,384.022064,-3024.600830,1038.645386
308,0,0.038879,-0.078816,1.551436,384.623444,-3024.975098,1038.508179
309,0,0.040756,-0.079371,1.551363,384.844513,-3025.077881,1038.536987
310,0,0.040940,-0.077944,1.550796,384.926880,-3025.059082,1038.526245
311,0,0.041388,-0.077258,1.551142,384.766296,-3025.052490,1038.388672
312,0,0.041594,-0.077665,1.551203,384.853455,-3025.079102,1038.416748
313,0,0.042722,-0.077964,1.551101,384.929901,-3025.135986,1038.396118
314,0,0.045328,-0.079612,1.551782,384.804474,-3025.230225,1038.377930
315,0,0.038961,-0.075851,1.551915,385.021057,-3025.405518,1038.254883
316,0,0.045199,-0.080465,1.552138,384.866333,-3025.363770,1038.373413
317,0,0.039494,-0.075401,1.552273,385.098816,-3025.594238,1038.187866
318,0,0.041311,-0.078048,1.552635,384.981720,-3025.669922,1038.240723
319,0,0.040620,-0.079146,1.553017,385.014313,-3025.766846,1038.276245
320,0,0.041385,-0.080694,1.553228,384.989075,-3025.824707,1038.309570
321,0,0.040634,-0.080192,1.553331,384.884491,-3025.896240,1038.246094
322,0,0.040657,-0.081602,1.552866,385.072205,-3026.024658,1038.306152
323,0,0.041693,-0.082332,1.553096,385.035858,-3026.049316,1038.304688
324,0,0.040966,-0.080769,1.553607,384.954407,-3026.053223,1038.238037
325,0,0.042819,-0.083946,1.557559,383.975677,-3025.491211,1038.294067
326,0,0.041411,-0.080620,1.553866,385.012360,-3026.133301,1038.240601
327,0,0.041866,-0.080919,1.554376,384.972137,-3026.211182,1038.215820
328,0,0.037803,-0.062248,1.562053,384.328979,-3026.486328,1038.382202
329,0,0.038086,-0.062829,1.563512,383.913239,-3026.230469,1038.384766
330,0,0.037831,-0.062298,1.561751,384.455078,-3026.598877,1038.381958
331,0,0.043982,-0.082557,1.553470,384.986450,-3026.417725,1038.090698
332,0,0.044273,-0.081394,1.553122,385.070099,-3026.440918,1038.045898
333,0,0.042777,-0.079110,1.553645,384.991638,-3026.393066,1037.921265
334,0,0.037972,-0.059842,1.563330,384.025757,-3026.320557,1038.164429
335,0,0.050731,-0.062661,1.564818,384.504639,-3026.484131,1037.874390
336,0,0.051017,-0.062247,1.565060,384.520599,-3026.491943,1037.792358
337,0,0.050795,-0.060991,1.564933,384.551727,-3026.520508,1037.718262
338,0,0.050968,-0.060633,1.564770,384.618500,-3026.538574,1037.663452
339,0,0.051726,-0.060186,1.564919,384.660767,-3026.592773,1037.608521
340,0,0.051705,-0.059140,1.564919,384.737732,-3026.651367,1037.533936
341,0,0.052326,-0.059003,1.564944,384.785095,-3026.723633,1037.481934
342,0,0.053155,-0.058748,1.564817,384.806915,-3026.764893,1037.456787
343,0,0.040290,-0.055021,1.561704,384.916718,-3026.981934,1037.617798
344,0,0.040912,-0.054880,1.561937,384.952698,-3027.094482,1037.527222
345,0,0.042098,-0.055150,1.561942,384.957397,-3027.187988,1037.484009
346,0,0.054744,-0.058673,1.565030,384.924500,-3027.062500,1037.188232
347,0,0.054657,-0.058012,1.564565,384.982635,-3027.154297,1037.149536
348,0,0.054165,-0.057958,1.565397,384.607513,-3027.002197,1037.154785
349,0,0.055415,-0.058059,1.564606,385.072998,-3027.288330,1037.082397
350,0,0.055019,-0.056814,1.564558,385.095337,-3027.378418,1037.012695
351,0,0.054921,-0.056718,1.564593,385.161102,-3027.416992,1037.013306
352,0,0.054638,-0.055816,1.564928,385.239929,-3027.462158,1036.987671
353,0,0.057187,-0.065105,1.563442,385.612915,-3027.478516,1036.852295
354,0,0.057145,-0.064700,1.563578,385.676849,-3027.547607,1036.883057
355,0,0.056600,-0.064463,1.563436,385.725098,-3027.598389,1036.889771
356,0,0.056439,-0.064391,1.563369,385.762909,-3027.704834,1036.909546
357,0,0.056415,-0.064847,1.563142,385.773193,-3027.792236,1036.961426
358,0,0.056617,-0.065589,1.563134,385.842438,-3027.872314,1036.992065
359,0,0.043613,-0.061901,1.559446,386.051178,-3028.178955,1037.289307
360,0,0.044120,-0.062238,1.559628,386.081055,-3028.228760,1037.367310
361,0,0.044200,-0.061705,1.559493,386.219147,-3028.305908,1037.441162
362,0,0.045398,-0.062027,1.559228,386.317871,-3028.430908,1037.504272
363,0,0.045786,-0.062767,1.559332,386.588654,-3028.496338,1037.640015
364,0,0.041309,-0.063127,1.552797,387.108032,-3028.246826,1037.248413
365,0,0.041807,-0.062210,1.552528,387.242920,-3028.299561,1037.313232
366,0,0.043044,-0.063233,1.552634,387.402740,-3028.365967,1037.391357
367,0,0.043043,-0.062937,1.552323,387.500916,-3028.474609,1037.482300
368,0,0.043855,-0.063218,1.552548,387.617676,-3028.572021,1037.549683
