Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
1,0,,,,,,,0.017579,-0.113436,-1.597255,2720.437012,-1577.274902,927.088013
2,0,,,,,,,0.014217,-0.133266,-1.609213,2722.846191,-1577.911743,927.059814
3,0,,,,,,,0.009427,-0.133624,-1.608078,2725.649902,-1578.670044,927.146179
4,0,,,,,,,0.009043,-0.134419,-1.608159,2728.246094,-1579.275757,927.215515
5,0,,,,,,,0.023034,-0.133949,-1.612931,2730.931152,-1580.217163,927.467407
6,0,,,,,,,0.024577,-0.133808,-1.613221,2733.569824,-1580.974243,927.477295
7,0,0.327645,0.202031,1.946867,2299.016846,-3253.500977,916.366516,0.009361,-0.134639,-1.609464,2736.200439,-1581.425293,927.269531
8,0,0.377813,0.193396,1.942324,2298.212402,-3252.244629,916.299988,0.010002,-0.134709,-1.610489,2738.755615,-1582.115967,927.234314
9,0,0.353755,0.200679,1.946546,2296.665771,-3250.598145,914.783020,0.015651,-0.134302,-1.612417,2741.267578,-1582.802002,927.162842
10,0,0.329506,0.208222,1.951696,2295.591309,-3249.286377,913.609009,0.025948,-0.135630,-1.615421,2743.767334,-1583.833252,927.593750
11,0,0.328943,0.208419,1.951461,2294.597412,-3247.814697,912.609680,0.020452,-0.136213,-1.614553,2746.351318,-1584.721191,927.683105
12,0,0.339343,0.190807,1.939801,2293.604004,-3246.294678,911.401489,0.009428,-0.137079,-1.611766,2748.810547,-1585.149292,927.345642
13,0,0.331238,0.213432,1.951655,2293.027100,-3245.328613,910.629150,0.009622,-0.137811,-1.611413,2751.236328,-1585.939331,927.404297
14,0,0.342874,0.206632,1.951373,2292.394043,-3243.790527,909.570129,0.026297,-0.137364,-1.616398,2753.609863,-1587.011963,927.671631
15,0,0.361805,0.201499,1.950033,2291.567383,-3242.324463,908.634460,0.021377,-0.137758,-1.615654,2756.035645,-1587.833862,927.776978
16,0,-0.168255,-0.020531,2.019058,2287.346924,-3239.533447,913.064514,0.021448,-0.138403,-1.615635,2758.366943,-1588.667725,927.794495
17,0,-0.160640,-0.017308,2.023059,2287.103271,-3238.509766,912.146362,0.010786,-0.138178,-1.611884,2760.580566,-1589.121704,927.277832
18,0,-0.158630,-0.019387,2.025437,2286.704102,-3237.211914,911.180298,0.027967,-0.137476,-1.616762,2763.053467,-1590.363647,927.604980
19,0,0.152475,1.076553,1.271602,2323.448242,-3236.927734,922.605835,0.023887,-0.136334,-1.615939,2765.494141,-1591.396240,927.643433
20,0,0.085305,0.944557,1.272742,2325.823730,-3239.445312,920.150452,0.028602,-0.135675,-1.617695,2767.835205,-1592.162720,927.452698
21,0,,,,,,,0.011105,-0.135076,-1.611827,2769.947754,-1592.707397,927.034973
