layout,data,timestamp
"dim: []
data_offset: 0","(0.0, 1.0, -0.011545365875269635, 0.003295964080416567, 0.9309216308762998, -0.30644980244622677, 0.049043669633612806, 0.9499975995168644, 1.5025963134765625, 2.35998388671875, 1.044410400390625, 1724786975.5518732)",1724786975.5528061
"dim: []
data_offset: 0","(0.0, 1.0, -0.013385251610823401, -0.003879961648076544, 0.9482002346071313, -0.3045031367133558, 0.05479015576303651, 0.9687589156828709, 1.5016048583984376, 2.35193115234375, 1.0392283935546875, 1724786975.610703)",1724786975.6135566
"dim: []
data_offset: 0","(0.0, 1.0, -0.015818339282098005, -0.009772374456500638, 0.9237834333097316, -0.3550391625379518, 0.06753740029715559, 0.8781073728925071, 1.4998856201171875, 2.348669677734375, 1.030796142578125, 1724786975.6598055)",1724786975.6618736
"dim: []
data_offset: 0","(0.0, 1.0, -0.018283717094793792, -0.010223686697216804, 0.87802458868297, -0.3111713466254937, 0.052125779769227484, 0.7323055318406819, 1.4987320556640624, 2.34644287109375, 1.0195043334960938, 1724786975.7211099)",1724786975.7214081
"dim: []
data_offset: 0","(0.0, 1.0, -0.028736582648887826, -0.006878643744088376, 0.8643841025880558, -0.333238958791961, 0.07669747916948891, 0.7519313868411737, 1.4845506591796875, 2.3432138671875, 0.9861354370117188, 1724786975.7900867)",1724786975.7907693
"dim: []
data_offset: 0","(0.0, 1.0, -0.049601827112014454, -0.0036873616992294045, 0.8530044072872878, -0.32016333617939674, 0.06208312468162978, 0.7513430026860668, 1.471230712890625, 2.344320068359375, 0.974875, 1724786975.8504975)",1724786975.850942
"dim: []
data_offset: 0","(0.0, 1.0, -0.07931451645564706, -0.0002733251378881089, 0.8286548110949074, -0.30745679254155395, 0.09078129599783438, 0.7293798035627256, 1.440069091796875, 2.350672119140625, 0.9598413696289062, 1724786975.9301596)",1724786975.9305422
"dim: []
data_offset: 0","(0.0, 1.0, -0.12306113558336201, 0.011369714746770196, 0.807817702376719, -0.3291852845950585, 0.0871785441126991, 0.750971193714251, 1.4196390380859376, 2.356396240234375, 0.9526634521484375, 1724786976.0151184)",1724786976.0169046
"dim: []
data_offset: 0","(0.0, 1.0, -0.1866072947822426, 0.03476763458166115, 0.7958104379026223, -0.30566574864956375, 0.10068266664181846, 0.8345570946133387, 1.3553189697265624, 2.379829833984375, 0.9416452026367188, 1724786976.1197772)",1724786976.1217988
"dim: []
data_offset: 0","(0.0, 1.0, -0.209304558217426, 0.04666427112428639, 0.7899673628278356, -0.27463175088569536, 0.11333533942328429, 0.9313200985547908, 1.333341064453125, 2.389621337890625, 0.9393826293945312, 1724786976.1721919)",1724786976.172644
