layout,data,timestamp
"dim: []
data_offset: 0","(1.0131273305279749, -0.12281068671876444, 0.9390293384921196, 0.0, 0.0, 0.0, 1.0, 16.0, 0.0, 0.0, 0.0, 1.7642974853515625e-05, 1724169219.3868449)",1724169219.387652
"dim: []
data_offset: 0","(1.0131273305279749, -0.12281068671876444, 0.9390293384921196, 0.0, 0.0, 0.0, 1.0, 16.0, 0.0, 0.0, 0.0, 1.8358230590820312e-05, 1724169219.3873646)",1724169219.3878968
"dim: []
data_offset: 0","(1.0131273305279749, -0.12281068671876444, 0.9390293384921196, 0.0, 0.0, 0.0, 1.0, 16.0, 0.0, 0.0, 0.0, 2.9325485229492188e-05, 1724169219.4125018)",1724169219.4129486
"dim: []
data_offset: 0","(1.0131273305279749, -0.12281068671876444, 0.9390293384921196, 0.0, 0.0, 0.0, 1.0, 17.0, 0.0, 0.0, 0.0, 3.0517578125e-05, 1724169219.4375405)",1724169219.4381988
"dim: []
data_offset: 0","(1.0131273305279749, -0.12281068671876444, 0.9390293384921196, 0.0, 0.0, 0.0, 1.0, 18.0, 0.0, 0.0, 0.0, 2.9802322387695312e-05, 1724169219.462538)",1724169219.463513
"dim: []
data_offset: 0","(1.0131273305279749, -0.12281068671876444, 0.9390293384921196, 0.0, 0.0, 0.0, 1.0, 19.0, 0.0, 0.0, 0.0, 2.8848648071289062e-05, 1724169219.4874737)",1724169219.4878948
"dim: []
data_offset: 0","(1.0131273305279749, -0.12281068671876444, 0.9390293384921196, 0.0, 0.0, 0.0, 1.0, 19.0, 0.0, 0.0, 0.0, 2.9802322387695312e-05, 1724169219.5125806)",1724169219.5130095
"dim: []
data_offset: 0","(1.0131273305279749, -0.12281068671876444, 0.9390293384921196, 0.0, 0.0, 0.0, 1.0, 20.0, 0.0, 0.0, 0.0, 2.9802322387695312e-05, 1724169219.5375447)",1724169219.5381706
"dim: []
data_offset: 0","(1.0131273305279749, -0.12281068671876444, 0.9390293384921196, 0.0, 0.0, 0.0, 1.0, 21.0, 0.0, 0.0, 0.0, 3.3855438232421875e-05, 1724169219.5625472)",1724169219.5632305
"dim: []
data_offset: 0","(1.0131273305279749, -0.12281068671876444, 0.9390293384921196, 0.0, 0.0, 0.0, 1.0, 22.0, 0.0, 0.0, 0.0, 3.3855438232421875e-05, 1724169219.5874996)",1724169219.5879395
