timestamp,data
1724797003.7274432,"[0.0393525908852883, -0.02910278380963304, 0.423259015354027, 0.0, 0.0, 0.0]"
1724797003.729786,"[0.03962842680270855, -0.029306775284934205, 0.4262257841532374, 0.0, 0.0, 0.0]"
1724797003.7397797,"[0.0385938418585389, -0.028945655588694632, 0.42851915204766067, 0.0, 0.0, 0.0]"
1724797003.7490213,"[0.037795141947602404, -0.02871912893228511, 0.43062755999805175, 0.0, 0.0, 0.0]"
1724797003.7583005,"[0.0373422227269141, -0.02863097073580652, 0.43303723004780503, 0.0, 0.0, 0.0]"
1724797003.7716236,"[0.03671342557711761, -0.028374035470331245, 0.435762300324047, 0.0, 0.0, 0.0]"
1724797003.779399,"[0.035850951732869056, -0.02805456593695226, 0.43847297091095494, 0.0, 0.0, 0.0]"
1724797003.7818205,"[0.041722160837582796, -0.02331933636595684, 0.43596214921133736, 0.0, 0.0, 0.0]"
1724797003.7890072,"[0.042014605890182674, -0.023482789658241583, 0.43901795866842613, 0.0, 0.0, 0.0]"
1724797003.7986488,"[0.041434166158103664, -0.02307689828046757, 0.4428679515539301, 0.0, 0.0, 0.0]"
1724797003.8089848,"[0.04058658218834134, -0.022645411127646713, 0.4460263567450856, 0.0, 0.0, 0.0]"
1724797003.81084,"[0.025928173204914386, -0.039785386870557674, 0.42946930841144126, 0.0, 0.0, 0.0]"
1724797003.8194096,"[0.026109912736724535, -0.040064256404697095, 0.43247960730217566, 0.0, 0.0, 0.0]"
1724797003.8284087,"[0.024708237329988173, -0.039737979231747246, 0.43618101671187365, 0.0, 0.0, 0.0]"
1724797003.8385339,"[0.023043946825416613, -0.039617760868512784, 0.4383740345710461, 0.0, 0.0, 0.0]"
1724797003.8488774,"[0.02239865227469816, -0.039900898315624385, 0.4406053397177086, 0.0, 0.0, 0.0]"
1724797003.8510637,"[0.02992205185056516, -0.03120351047628272, 0.41226531847231834, 0.0, 0.0, 0.0]"
1724797003.8586643,"[0.029365012091232875, -0.031194278833381, 0.41408818495128114, 0.0, 0.0, 0.0]"
1724797003.8683815,"[0.029569371517047836, -0.03141139726308979, 0.4169704172511064, 0.0, 0.0, 0.0]"
1724797003.8785677,"[0.02896462009849964, -0.031339172749232876, 0.41878349807080995, 0.0, 0.0, 0.0]"
1724797003.8889997,"[0.02666299142234036, -0.03033939529168325, 0.4230466161063375, 0.0, 0.0, 0.0]"
1724797003.8919702,"[0.01628517998852249, -0.06270134332470614, 0.4153067756724367, 0.0, 0.0, 0.0]"
1724797003.898599,"[0.015540000727372527, -0.06283183612158133, 0.4179562988041625, 0.0, 0.0, 0.0]"
1724797003.9096634,"[0.015017380778444172, -0.06335743105350913, 0.421051276698866, 0.0, 0.0, 0.0]"
1724797003.9185286,"[0.014593506737614318, -0.06393109909904346, 0.4240515303027627, 0.0, 0.0, 0.0]"
1724797003.9300513,"[0.014163633768509914, -0.06427579332526716, 0.4264540131427911, 0.0, 0.0, 0.0]"
1724797003.9325175,"[-0.0036058533122863014, -0.05689947593286868, 0.3937575554232463, 0.0, 0.0, 0.0]"
1724797003.9425697,"[-0.004210894454570067, -0.057031974125382676, 0.3966388603345588, 0.0, 0.0, 0.0]"
1724797003.948453,"[-0.004240232910984696, -0.057428935429282554, 0.39939969358784927, 0.0, 0.0, 0.0]"
1724797003.9592636,"[-0.005311938082717823, -0.05729021006881924, 0.4016893430387988, 0.0, 0.0, 0.0]"
1724797003.9688966,"[-0.005348582847884684, -0.05768341655965116, 0.4044468736018859, 0.0, 0.0, 0.0]"
1724797003.9789057,"[-0.0058131306596599245, -0.05788936988222968, 0.40638639146154154, 0.0, 0.0, 0.0]"
1724797003.9819014,"[0.010546028061520038, -0.08312820670590708, 0.39093531772005025, 0.0, 0.0, 0.0]"
1724797003.9891446,"[0.010619948818960598, -0.08371088105197652, 0.3936755185451908, 0.0, 0.0, 0.0]"
1724797003.9985232,"[0.010567528022740929, -0.08429430548788486, 0.3963914892908824, 0.0, 0.0, 0.0]"
1724797004.0086448,"[0.010434416009073313, -0.08482090897463804, 0.3984262633852868, 0.0, 0.0, 0.0]"
1724797004.0186412,"[0.009541182426946196, -0.0854910645671476, 0.4001523711073048, 0.0, 0.0, 0.0]"
1724797004.0212665,"[-0.01867026080229162, -0.06725371040084732, 0.37092842116643643, 0.0, 0.0, 0.0]"
1724797004.028267,"[-0.019453060996442707, -0.06773066036848026, 0.37238096148365496, 0.0, 0.0, 0.0]"
