Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
1,0,-0.001274,0.116899,1.490634,2226.309326,-3290.066895,1010.898499,-0.024860,-0.147338,-1.614706,2371.157227,-1275.027954,985.873596
2,0,0.004895,0.115100,1.489161,2224.274902,-3288.666748,1010.815491,-0.032193,-0.148895,-1.613086,2370.225586,-1275.477539,986.087646
3,0,0.004021,0.116728,1.491117,2221.974854,-3287.080811,1010.449646,-0.028341,-0.150215,-1.613988,2369.221436,-1275.690552,985.986328
4,0,-0.006012,0.115476,1.488532,2220.266846,-3285.971924,1010.485046,-0.024322,-0.149767,-1.614295,2367.866455,-1274.642334,984.737671
5,0,-0.005339,0.117014,1.489472,2218.153809,-3284.103760,1010.127441,-0.028286,-0.151509,-1.614440,2367.011475,-1275.104370,984.946960
6,0,-0.012085,0.116784,1.484247,2216.518799,-3282.886719,1010.023132,-0.029501,-0.152557,-1.613308,2366.113037,-1275.315674,984.883667
7,0,-0.005242,0.117761,1.492913,2214.359863,-3280.965088,1009.413574,-0.030378,-0.152116,-1.612803,2365.291260,-1275.639648,984.789856
8,0,-0.005103,0.115605,1.491444,2212.491699,-3279.457275,1009.123901,-0.031368,-0.151530,-1.612838,2364.503174,-1275.981323,984.689209
9,0,-0.006677,0.116626,1.492864,2210.443604,-3277.416016,1008.591675,-0.027362,-0.150313,-1.614426,2363.731689,-1276.309814,984.423706
10,0,-0.009719,0.118286,1.492968,2208.452881,-3275.606201,1008.151672,-0.029629,-0.148219,-1.613462,2362.933105,-1276.549194,984.225037
11,0,-0.004837,0.118322,1.491663,2206.709961,-3273.673584,1007.648010,-0.027301,-0.148319,-1.612812,2362.094482,-1276.849365,984.214478
12,0,-0.008790,0.111350,1.494633,2204.667480,-3271.583008,1007.306580,-0.027510,-0.146918,-1.612660,2361.272217,-1277.093140,984.056763
13,0,-0.010036,0.117784,1.495657,2202.985352,-3269.390869,1006.653809,-0.023205,-0.146185,-1.614462,2360.423828,-1277.248657,983.763367
14,0,-0.010773,0.118474,1.495774,2201.204102,-3267.366211,1006.264465,-0.034803,-0.144619,-1.613582,2359.749756,-1277.585327,983.855042
