layout,data,timestamp
"dim: []
data_offset: 0","(0.0, 1.0, 0.0019296877025918393, 0.05101779519206846, 0.9138297293163792, 0.1670432221492777, -0.27720884034960663, 0.8247684560934059, 1.3562122802734375, 2.66765185546875, 1.0271490478515626, 1724803481.1895924)",1724803481.1900043
"dim: []
data_offset: 0","(0.0, 1.0, 0.002089174345557528, 0.052440769778399544, 0.9131897510955637, 0.1585264327276503, -0.29332245727887274, 0.822210335275909, 1.3564942626953125, 2.6676396484375, 1.02717236328125, 1724803481.2310517)",1724803481.2314808
"dim: []
data_offset: 0","(0.0, 1.0, -2.3243906458900336e-05, 0.05703911778211361, 0.9043809999080163, 0.1334927222570299, -0.29415144107887486, 0.8196043326232645, 1.35647705078125, 2.665846923828125, 1.025486328125, 1724803481.2908216)",1724803481.29136
"dim: []
data_offset: 0","(0.0, 1.0, -0.001148994432966986, 0.05510778432608125, 0.8912800505065351, 0.13319562783681452, -0.3329293669608741, 0.8228775030471959, 1.356634765625, 2.6628857421875, 1.0197927856445312, 1724803481.3303368)",1724803481.3330352
"dim: []
data_offset: 0","(0.0, 1.0, -0.001892545502693056, 0.05068983614897975, 0.8798885037955647, 0.12872717054939706, -0.3383910885228622, 0.8229083371284525, 1.3568255615234375, 2.658604248046875, 1.0104453125, 1724803481.3705645)",1724803481.3713243
"dim: []
data_offset: 0","(0.0, 1.0, -0.0008514483692400348, 0.043508536816724175, 0.8735952605607323, 0.15565925376756068, -0.39240119262743944, 0.8557428590684132, 1.356624755859375, 2.65437255859375, 1.0017745361328125, 1724803481.410339)",1724803481.4111729
"dim: []
data_offset: 0","(0.0, 1.0, -0.0029718595594010735, 0.033044106218774336, 0.8676737084584247, 0.13818420706738038, -0.38994649768814305, 0.8963287497406401, 1.356624755859375, 2.65437255859375, 1.0017745361328125, 1724803481.4504826)",1724803481.4527678
"dim: []
data_offset: 0","(0.0, 1.0, -0.0034727923841259734, 0.026306222079644385, 0.8627287327439378, 0.1274357200955736, -0.4265745499849387, 0.9253118627916501, 1.3559747314453126, 2.64688818359375, 0.9906334838867188, 1724803481.48041)",1724803481.480944
"dim: []
data_offset: 0","(0.0, 1.0, -0.003066844135991419, 0.014442876986346932, 0.8505217971119072, 0.12786303336734753, -0.44232053717529884, 0.9103415020994318, 1.35594287109375, 2.6363681640625, 0.9793103637695313, 1724803481.5211258)",1724803481.5218484
"dim: []
data_offset: 0","(0.0, 1.0, -0.0023526473933221472, 0.004287666639984223, 0.839583423170809, 0.12786303336734767, -0.4267830129519712, 0.912838362126745, 1.35594287109375, 2.6363681640625, 0.9793103637695313, 1724803481.5515425)",1724803481.552207
"dim: []
data_offset: 0","(0.0, 1.0, 0.0013237020346230934, -0.018882497469688626, 0.8305075712726058, 0.11190120474034318, -0.4214491077622504, 0.9212590616595183, 1.3577689208984376, 2.610673583984375, 0.95926123046875, 1724803481.6111522)",1724803481.6153061
"dim: []
data_offset: 0","(0.0, 1.0, 0.0037220395254408856, -0.04540816974605227, 0.8244455482004747, 0.10058556832639583, -0.4434242745966264, 0.9514208048116323, 1.3590064697265625, 2.592668212890625, 0.9503193969726562, 1724803481.6709158)",1724803481.6759932
"dim: []
data_offset: 0","(0.0, 1.0, 0.0074151328370947525, -0.0832245829500873, 0.8179661321489942, 0.10000451213290598, -0.4788602063877353, 0.9364964942522057, 1.36322998046875, 2.55557421875, 0.9398992309570312, 1724803481.7443812)",1724803481.745694
"dim: []
data_offset: 0","(0.0, 1.0, 0.012623891401097084, -0.11816131174853599, 0.8153303486898139, 0.07464656823733616, -0.49983789725390815, 0.9274925096192069, 1.366565185546875, 2.532781982421875, 0.9367380981445312, 1724803481.8016026)",1724803481.8023794
"dim: []
data_offset: 0","(0.0, 1.0, 0.01858224267701141, -0.1462065629174391, 0.816320660472449, 0.07537349471825422, -0.47480094583529714, 0.929531908281772, 1.369711669921875, 2.51393896484375, 0.9358577270507813, 1724803481.85056)",1724803481.8517075
"dim: []
data_offset: 0","(0.0, 1.0, 0.0261536009601679, -0.17315201651470244, 0.8192185499913118, 0.07213810935983757, -0.4865303727836265, 0.9178660446209411, 1.374158935546875, 2.489764892578125, 0.9368901977539063, 1724803481.9003682)",1724803481.900789
"dim: []
data_offset: 0","(0.0, 1.0, 0.02987702242113235, -0.18813220722144022, 0.8229803736305311, 0.07213810935983767, -0.5168545338363304, 0.916666676382492, 1.3803131103515625, 2.460455810546875, 0.9408688354492187, 1724803481.9306505)",1724803481.9311652
"dim: []
data_offset: 0","(0.0, 1.0, 0.03519073931813276, -0.20806827236926542, 0.8282326102150275, 0.06530336464250147, -0.5185436537916637, 0.9219526879476683, 1.3803131103515625, 2.460455810546875, 0.9408688354492187, 1724803481.970616)",1724803481.971222
"dim: []
data_offset: 0","(0.0, 1.0, 0.041180170486926924, -0.2268903753377592, 0.8344146890719013, 0.06549165466575715, -0.5200879688810509, 0.9240423829482887, 1.3847608642578124, 2.441603515625, 0.9448849487304688, 1724803482.0103235)",1724803482.011277
"dim: []
data_offset: 0","(0.0, 1.0, 0.04655983275640059, -0.24617069174143552, 0.8394477952885754, 0.0516063052785712, -0.5203546985836291, 0.9284756954294513, 1.39065380859375, 2.41860986328125, 0.9508868408203125, 1724803482.0518606)",1724803482.0525937
"dim: []
data_offset: 0","(0.0, 1.0, 0.05285443134997723, -0.2687043278586503, 0.8456916685984672, 0.027792713909510637, -0.4863978217064699, 0.928504626882372, 1.396984375, 2.39664013671875, 0.9573207397460938, 1724803482.1007009)",1724803482.1011753
"dim: []
data_offset: 0","(0.0, 1.0, 0.060077284566174546, -0.2897204801927145, 0.8541654470366833, 0.010080068749164901, -0.459786735153538, 0.9319500406166814, 1.4019329833984375, 2.380375732421875, 0.9623502197265625, 1724803482.150665)",1724803482.151246
"dim: []
data_offset: 0","(0.0, 1.0, 0.06541631544830191, -0.30487439102658487, 0.8593403294154912, 0.002365242522921765, -0.4618278009870876, 0.9331180034326221, 1.408031005859375, 2.361605224609375, 0.968461669921875, 1724803482.1902034)",1724803482.1942024
"dim: []
data_offset: 0","(0.0, 1.0, 0.07017260973807918, -0.31919616154773955, 0.8666822870436292, -0.025059444190379837, -0.4301138785506814, 0.9224843818605859, 1.4128499755859374, 2.34778515625, 0.9730574340820313, 1724803482.2401524)",1724803482.2411196
"dim: []
data_offset: 0","(0.0, 1.0, 0.0775221308765803, -0.3366943693768031, 0.8734695016905123, -0.03735274060806451, -0.42147593509776593, 0.9146751500054694, 1.423164794921875, 2.319015380859375, 0.9823644409179687, 1724803482.3100476)",1724803482.312343
"dim: []
data_offset: 0","(0.0, 1.0, 0.08290911599812334, -0.34841903281416103, 0.8770351927386377, -0.02021588084836401, -0.39036314729197474, 0.9058683313025357, 1.4272950439453125, 2.307688720703125, 0.9856920166015625, 1724803482.380358)",1724803482.3809135
"dim: []
data_offset: 0","(0.0, 1.0, 0.084490377327721, -0.357374576048539, 0.8815002362962802, -0.046904363745081695, -0.36787455921873413, 0.9154979467497677, 1.4308052978515624, 2.293077880859375, 0.9900895385742188, 1724803482.4502516)",1724803482.4507985
