layout,data,timestamp
"dim: []
data_offset: 0","(1.5603280432595468, -0.28789070256456395, 0.8426967801599051, 0.011786818556943697, 0.057392367946613426, 0.013004856398614375, 1.0, 0.0, -2.191098786858794, 0.09906160831451416, 0.8006492853164673, 0.09443330764770508, 1724803481.161716, -0.17209875583648682, 0.008381091989576817, 0.9650683999061584, -0.010012059472501278)",1724803481.1621602
"dim: []
data_offset: 0","(1.5555897709925781, -0.30952123438079915, 0.8287091046417481, 0.019027426764250958, -0.07853808205119794, -0.01688535104765848, 1.0, 0.0, -2.2095344304312134, 0.15360724925994873, 1.1068947315216064, 0.042639970779418945, 1724803481.2062776, -0.18188783526420593, -0.008508672006428242, 0.936975359916687, -0.0167920533567667)",1724803481.2072744
"dim: []
data_offset: 0","(1.5608287446736133, -0.3249589719058579, 0.8247640689645003, 0.02744515220580993, -0.11490738844275834, -0.021315548354909328, 1.0, 0.0, -2.218513563807445, 0.0658109188079834, 0.8377280831336975, 0.05065751075744629, 1724803481.257524, -0.2043302059173584, -0.016827013343572617, 0.9102596044540405, -0.01955624297261238)",1724803481.2582393
"dim: []
data_offset: 0","(1.57747111251483, -0.3404236448049747, 0.8237468655827405, 0.06444843778747625, -0.14182051704992585, -0.02232600306160262, 1.0, 0.0, -2.692097927972119, 0.1947920322418213, 0.6292299032211304, 0.051920175552368164, 1724803481.3098104, -0.22113746404647827, -0.02499476447701454, 0.8988388180732727, -0.033852387219667435)",1724803481.310293
"dim: []
data_offset: 0","(1.5857008080094364, -0.3469556149023124, 0.823322516080812, 0.10166576706636529, -0.15942075887273946, -0.022357075885193336, 1.0, 0.0, -2.1106951828949283, -0.18293726444244385, 0.9500375986099243, 0.03848385810852051, 1724803481.3487709, -0.23752233386039734, -0.052913133054971695, 0.8814060091972351, -0.015033467672765255)",1724803481.349842
"dim: []
data_offset: 0","(1.6054776814846383, -0.35930301636850365, 0.8219079165978066, 0.1554561128720636, -0.16899207205401923, -0.0225053832431104, 1.0, 0.0, -2.358701407284018, -0.10475331544876099, 0.8967019319534302, 0.03557229042053223, 1724803481.3856857, -0.2697943150997162, -0.06982648372650146, 0.8728293776512146, -0.0207146555185318)",1724803481.3861883
"dim: []
data_offset: 0","(1.6222500249761969, -0.3802675298825454, 0.8404604115512062, 0.1849754489605685, -0.19499705481107085, -0.01657047588275696, 1.0, 0.0, -2.736216126661002, -0.406328022480011, 0.9650339484214783, 0.03940558433532715, 1724803481.4255655, -0.28980544209480286, -0.0961412563920021, 0.8834328055381775, 0.004739154130220413)",1724803481.4265535
"dim: []
data_offset: 0","(1.6211704943558665, -0.39738160357019836, 0.876341741165588, 0.20121907150931514, -0.22763444137478936, 0.0013429898974731784, 1.0, 0.0, -2.3004612082512654, -0.2556232810020447, 0.66708904504776, 0.03699469566345215, 1724803481.4630752, -0.34665748476982117, -0.12219498306512833, 0.8822537660598755, 0.04761367663741112)",1724803481.4662778
"dim: []
data_offset: 0","(1.62825447819135, -0.4145316259652979, 0.9070695807543224, 0.18592506874001602, -0.25278076776477443, 0.022762153696419457, 1.0, 0.0, -2.2152883760480786, -0.47328805923461914, 0.8008013367652893, 0.03780531883239746, 1724803481.5017128, -0.3540942072868347, -0.17167825996875763, 0.8785216808319092, 0.10142450779676437)",1724803481.505017
"dim: []
data_offset: 0","(1.6386683208656287, -0.42943815639242, 0.9117278095596086, 0.16469623994692642, -0.27398538547785595, 0.03274065504958458, 1.0, 0.0, -2.1521920085372765, -0.5145590901374817, 0.710631787776947, 0.0338587760925293, 1724803481.5365698, -0.38457271456718445, -0.23912811279296875, 0.8858552575111389, 0.14062796533107758)",1724803481.5369732
"dim: []
data_offset: 0","(1.6274008891652698, -0.4356342572039012, 0.9137287519554774, 0.08609943984771702, -0.28094877286627135, 0.03418408095829738, 1.0, 0.0, -2.8363503978577023, -0.3591838479042053, 0.8354747891426086, 0.05121469497680664, 1724803481.588436, -0.3998049199581146, -0.23508130013942719, 0.886296272277832, 0.14541997015476227)",1724803481.5906587
"dim: []
data_offset: 0","(1.6235271963274052, -0.44555001076652495, 0.9207618441373103, 0.004349964357659915, -0.27944680569851044, 0.03710464418627287, 1.0, 0.0, -2.7307009829531217, -0.19568383693695068, 0.7468864917755127, 0.048365116119384766, 1724803481.6373816, -0.41588687896728516, -0.2468855381011963, 0.8863357305526733, 0.18536581099033356)",1724803481.6378543
"dim: []
data_offset: 0","(1.6253287149517566, -0.4563965929160052, 0.9399280866007512, -0.04807966254454811, -0.2844438233224112, 0.047112925637982805, 1.0, 1.0, -2.24414595236318, -0.3120172619819641, 0.9179307222366333, 0.07932186126708984, 1724803481.7171795, -0.4305294454097748, -0.2741546630859375, 0.9171834588050842, 0.22748813033103943)",1724803481.7175734
"dim: []
data_offset: 0","(1.6149594276094685, -0.4668851682206065, 0.9404454878907633, -0.12655699286788422, -0.2899308463850545, 0.051652266823949404, 1.0, 0.0, -2.0177093061049147, -0.5750102996826172, 0.7725794315338135, 0.05607938766479492, 1724803481.7739315, -0.4384874999523163, -0.27865952253341675, 0.9297347664833069, 0.23350617289543152)",1724803481.774966
"dim: []
data_offset: 0","(1.592623791657879, -0.4814823922986972, 0.932728065141716, -0.17372102715960602, -0.29936070676434656, 0.04669344643011835, 1.0, 0.0, -2.398974259643814, -0.6299853920936584, 0.9766533374786377, 0.045102596282958984, 1724803481.820494, -0.4448114335536957, -0.30701884627342224, 0.943533718585968, 0.21053671836853027)",1724803481.8210156
"dim: []
data_offset: 0","(1.584358870288802, -0.49416780151155876, 0.928935626218082, -0.20193616894635055, -0.3115813041097944, 0.041428341722742415, 1.0, 0.0, -2.0236650529547524, -0.32426750659942627, 1.0613583326339722, 0.04053449630737305, 1724803481.8667483, -0.4637995958328247, -0.3421229124069214, 0.952929675579071, 0.17317669093608856)",1724803481.8671474
"dim: []
data_offset: 0","(1.5834686116233618, -0.5004254017662207, 0.9236405534864011, -0.2269277358010388, -0.31245463518551814, 0.03649040757301004, 1.0, 0.0, -2.7089983839870646, -0.3798145055770874, 0.8502291440963745, 0.04064226150512695, 1724803481.9078183, -0.46972474455833435, -0.328614205121994, 0.9454557299613953, 0.11493038386106491)",1724803481.908719
