header,t,pose,velocity,acceleration,acc_bias,gyr_bias,jerk,snap,motors,timestamp
"seq: 4994
stamp: 
  secs: 1724025223
  nsecs: 674531460
frame_id: ""world""",1724025223.6745315,"position: 
  x: -0.012298796581263113
  y: -0.02158421127855697
  z: 0.9507867347977722
orientation: 
  x: -0.007571168985477941
  y: 0.0005408649902431232
  z: -0.005676011347450619
  w: 0.9999550828714455","linear: 
  x: 0.10023022839094978
  y: 0.02910460240187599
  z: 0.05711462751297661
angular: 
  x: 0.00671981701699661
  y: -0.2757951838283405
  z: 0.007660947372665134","linear: 
  x: -0.10307587629468466
  y: 0.27519381779029095
  z: 0.4923235622320987
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1724025223.8079371
"seq: 4995
stamp: 
  secs: 1724025223
  nsecs: 684571028
frame_id: ""world""",1724025223.684571,"position: 
  x: -0.011754064536484752
  y: -0.02093899175986533
  z: 0.9520171861195375
orientation: 
  x: -0.007499644600445152
  y: 6.555220190234951e-06
  z: -0.005702219949028582
  w: 0.9999556190029382","linear: 
  x: 0.08397318372822814
  y: 0.0431805772925693
  z: 0.08314679927412413
angular: 
  x: 0.010587685853676825
  y: -0.19526326773760555
  z: 0.0011686647235273002","linear: 
  x: -0.2162965154108868
  y: 0.3593394214707266
  z: 0.649183971088507
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1724025223.808353
"seq: 4996
stamp: 
  secs: 1724025223
  nsecs: 693483114
frame_id: ""world""",1724025223.693483,"position: 
  x: -0.0114213092845244
  y: -0.02038003337734182
  z: 0.9528323032600629
orientation: 
  x: -0.007283381490422168
  y: 0.0004690594684874263
  z: -0.005800370880694469
  w: 0.999956543073211","linear: 
  x: 0.06915542152420023
  y: 0.051268666466357055
  z: 0.0898291420316499
angular: 
  x: 0.02502713282653408
  y: -0.07786007161177938
  z: -0.006789212364565591","linear: 
  x: -0.3107237077910462
  y: 0.3947368379046162
  z: 0.6543472668003528
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1724025223.8083928
"seq: 4997
stamp: 
  secs: 1724025223
  nsecs: 709827900
frame_id: ""world""",1724025223.709828,"position: 
  x: -0.010421315949541184
  y: -0.019667143380598606
  z: 0.9534260458562314
orientation: 
  x: -0.007343461803115181
  y: 0.0013510097584830904
  z: -0.00559083826699453
  w: 0.9999564944880608","linear: 
  x: 0.06167103379298807
  y: 0.05265677418240223
  z: 0.07337302236666006
angular: 
  x: 0.005789947300297293
  y: 0.02674888270666445
  z: 0.012461921515961162","linear: 
  x: -0.3274755396360025
  y: 0.3588660743587612
  z: 0.4625774724435353
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1724025223.8084621
"seq: 4998
stamp: 
  secs: 1724025223
  nsecs: 717286825
frame_id: ""world""",1724025223.7172868,"position: 
  x: -0.010111374200707636
  y: -0.01817256397178808
  z: 0.9511278940091231
orientation: 
  x: -0.00776904299307031
  y: 0.0025066173636318473
  z: -0.005570324592685785
  w: 0.9999511639696692","linear: 
  x: 0.054706382686675804
  y: 0.09036277432899839
  z: -0.014879463743708606
angular: 
  x: -0.032008278921755284
  y: 0.11444423573208212
  z: 0.010966777407700424","linear: 
  x: -0.3607470503140129
  y: 0.6165986567964441
  z: -0.2121388643535419
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1724025223.8085306
"seq: 4999
stamp: 
  secs: 1724025223
  nsecs: 726077795
frame_id: ""world""",1724025223.7260778,"position: 
  x: -0.00958535014589717
  y: -0.017417722984397643
  z: 0.9500883078444271
orientation: 
  x: -0.00777495291838267
  y: 0.0034186989529543165
  z: -0.005743768854191405
  w: 0.999947434480401","linear: 
  x: 0.053436157214860704
  y: 0.09374308912016076
  z: -0.045742551023624824
angular: 
  x: -0.019321205149717146
  y: 0.1544659872028874
  z: -0.009982900652952582","linear: 
  x: -0.346722486435069
  y: 0.6015479774528804
  z: -0.42606173653391777
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1724025223.8142676
"seq: 5000
stamp: 
  secs: 1724025223
  nsecs: 738958836
frame_id: ""world""",1724025223.7389588,"position: 
  x: -0.008807192760647365
  y: -0.01663090768312889
  z: 0.9492993661312935
orientation: 
  x: -0.007852186451243755
  y: 0.004416731161778083
  z: -0.005878712722179325
  w: 0.9999421365211638","linear: 
  x: 0.052563158331935915
  y: 0.08723525678787507
  z: -0.05621054482556124
angular: 
  x: -0.01568545532065798
  y: 0.15479236755983647
  z: -0.015445161623159617","linear: 
  x: -0.32068740179350175
  y: 0.4982495519501713
  z: -0.4621447176611917
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1724025223.814289
"seq: 5001
stamp: 
  secs: 1724025223
  nsecs: 744935751
frame_id: ""world""",1724025223.7449358,"position: 
  x: -0.008372877463992373
  y: -0.016565717898816393
  z: 0.9491531679544993
orientation: 
  x: -0.007892611860580238
  y: 0.004486858418041266
  z: -0.0058713686301167965
  w: 0.999941549196734","linear: 
  x: 0.05490353249397229
  y: 0.07448365102060019
  z: -0.052275777056667534
angular: 
  x: -0.015059204282484168
  y: 0.1138866794342689
  z: -0.00983144825683549","linear: 
  x: -0.28882065631294046
  y: 0.3805046756970446
  z: -0.4120141633955712
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1724025223.8143122
"seq: 5002
stamp: 
  secs: 1724025223
  nsecs: 761062145
frame_id: ""world""",1724025223.7610621,"position: 
  x: -0.006133582191814262
  y: -0.015241072695887344
  z: 0.9467664524621928
orientation: 
  x: -0.007529136093534736
  y: 0.004537768238786588
  z: -0.005933108771520237
  w: 0.9999437579131146","linear: 
  x: 0.09398063417437291
  y: 0.08294619173011109
  z: -0.10575600449286371
angular: 
  x: 0.027064761654092877
  y: 0.038754108435279204
  z: -0.008139968941498465","linear: 
  x: 0.031363368738567654
  y: 0.3975361542400688
  z: -0.7549021221307259
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1724025223.8143294
"seq: 5003
stamp: 
  secs: 1724025223
  nsecs: 767338753
frame_id: ""world""",1724025223.7673388,"position: 
  x: -0.005295199203895522
  y: -0.014790562507187877
  z: 0.9459877834672066
orientation: 
  x: -0.0073773440844167775
  y: 0.004588553191122046
  z: -0.00592507729474108
  w: 0.9999447051877038","linear: 
  x: 0.10199471772287139
  y: 0.08298344811128831
  z: -0.11364810880810339
angular: 
  x: 0.03366632221693798
  y: 0.03180476761599521
  z: -0.004703355576373344","linear: 
  x: 0.08866273772280299
  y: 0.3795198725678902
  z: -0.7780196943802602
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1724025223.8143532
