timestamp,data
1724777776.8927338,"[0.44281215635421184, -0.05543736645368865, 0.06219045408885317, 0.0, 0.0, 0.0]"
1724777776.8951674,"[0.44591597988005915, -0.05582594612509301, 0.06262636848667223, 0.0, 0.0, 0.0]"
1724777776.9033675,"[0.4490198034059064, -0.05621452579649737, 0.0630622828844913, 0.0, 0.0, 0.0]"
1724777776.9142826,"[0.45173599480530874, -0.05721415282986496, 0.06325327660199004, 0.0, 0.0, 0.0]"
1724777776.9237468,"[0.4548371012835407, -0.05760701554352607, 0.06368747426606854, 0.0, 0.0, 0.0]"
1724777776.9332142,"[0.45719663266436106, -0.06052056106625696, 0.06327616095449126, 0.0, 0.0, 0.0]"
1724777776.9546719,"[0.46036312950307057, -0.0625152347514418, 0.06384725221087273, 0.0, 0.0, 0.0]"
1724777776.9607105,"[0.4498109575262625, -0.0528550193593481, 0.05923141162063582, 0.0, 0.0, 0.0]"
1724777776.9782012,"[0.45296383806967083, -0.05322549846700709, 0.05964658506657486, 0.0, 0.0, 0.0]"
1724777776.9880352,"[0.4547064181336826, -0.054631120673339244, 0.06058231644675432, 0.0, 0.0, 0.0]"
1724777776.9897594,"[0.4578494133933569, -0.05500885545692351, 0.061001138663260464, 0.0, 0.0, 0.0]"
1724777776.997955,"[0.43251737751625713, -0.05418249265819297, 0.052228615601775163, 0.0, 0.0, 0.0]"
1724777777.0035484,"[0.4355490413773524, -0.05456227648523638, 0.05259470402889041, 0.0, 0.0, 0.0]"
1724777777.0091426,"[0.43855954751331794, -0.05614576545249798, 0.055420659338564555, 0.0, 0.0, 0.0]"
1724777777.0152624,"[0.44159106307260154, -0.056533986465103665, 0.05580398982326783, 0.0, 0.0, 0.0]"
1724777777.0222073,"[0.44475862786723774, -0.05813995430182355, 0.05836158134759134, 0.0, 0.0, 0.0]"
1724777777.0300012,"[0.447791097042657, -0.05853671092300948, 0.058760151979768596, 0.0, 0.0, 0.0]"
1724777777.04052,"[0.4310695117317325, -0.040645742359679896, 0.04758054417191028, 0.0, 0.0, 0.0]"
1724777777.0430493,"[0.43419270421711426, -0.04237753822690245, 0.05003113117404522, 0.0, 0.0, 0.0]"
1724777777.0525587,"[0.4372149321770299, -0.042672580083189596, 0.05037947899661666, 0.0, 0.0, 0.0]"
1724777777.0556676,"[0.44037979502546903, -0.04434780329007708, 0.05770586281975368, 0.0, 0.0, 0.0]"
1724777777.0653472,"[0.4431569703315749, -0.04573123895853873, 0.06230381873921497, 0.0, 0.0, 0.0]"
1724777777.0727696,"[0.44529669903573627, -0.04693418587202966, 0.06455596474508307, 0.0, 0.0, 0.0]"
1724777777.082744,"[0.44536544143292195, -0.048696401959161834, 0.06940818643533266, 0.0, 0.0, 0.0]"
1724777777.0862575,"[0.44404190883555916, -0.07122361906200608, 0.05891926025078758, 0.0, 0.0, 0.0]"
1724777777.092843,"[0.44566775007733717, -0.07252204519127711, 0.060756332850531655, 0.0, 0.0, 0.0]"
